"Cnidoscolus_halteris"	"Tacinga_palmadora"	"Oxalis_psoraleoides"	"Melocactus_zehntneri"	"Melochia_tomentosa"	"Tabebuia_impetiginosa"	"Unidentified_sp1_M_PL_067"	"Cnidoscolus_obtusifolius"	"Cissus_simsiana"	"Bauhinia_cheilantha"	"Plumbago_scandens"	"Jatropha_mollissima"	"Encholirium_spectabile"	"Ipomoea_sp1_M_PL_067"	"Tacinga_inamoena"	"Ruellia_asperula"	"Allamanda_blanchetii"	"Cissus_verticillata"	"Pithecoseris_pacourinoides"	"Pilosocereus_sp1_M_PL_067"	"Ceiba_glaziovii"	"Conocliniopsis_prasiifolia"	"Dioclea_grandiflora"	"Hyptis_pectinata"	"Anadenanthera_macrocarpa"	"Caesalpinia_pyramidalis"	"Croton_blanchetianus"	"Pilosocereus_gounellei"	"Psidium_sp1_M_PL_067"	"Staelia_galioides"	"Walteria_rotundifolia"	"Chlorostilbon_lucidus"	"Eupetomena_macroura"	"Heliomaster_squamosus"	"Chrysolampis_mosquitus"	"Calliphlox_amethystina"
"Cnidoscolus_halteris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.389911680557283	0.0772484139818385	0.0258738649085707	0.00286105236969772	0.00410498818260978
"Tacinga_palmadora"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.483195941661382	0.000951173113506658	0.0152187698161065	0.000317057704502219	0.000317057704502219
"Oxalis_psoraleoides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0
"Melocactus_zehntneri"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.492090395480226	0.00790960451977401	0	0	0
"Melochia_tomentosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.494047619047619	0.00170068027210884	0.000850340136054422	0.00340136054421769	0
"Tabebuia_impetiginosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.292957746478873	0.0450704225352113	0.136619718309859	0.0253521126760563	0
"Unidentified_sp1_M_PL_067"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0
"Cnidoscolus_obtusifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0
"Cissus_simsiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0
"Bauhinia_cheilantha"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.403508771929825	0.0614035087719298	0.0263157894736842	0.0087719298245614	0
"Plumbago_scandens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.494791666666667	0.00520833333333333	0	0	0
"Jatropha_mollissima"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.481927710843373	0.00602409638554217	0	0.0120481927710843	0
