"Fuchsia_regia"	"Spirotheca_rivieri"	"Inga_sp1_M_PL_069_02"	"Aegiphila_obducta"	"Nematanthus_australis"	"Justicia_carnea"	"Vriesea_altodaserrae"	"Vriesea_incurvata"	"Heliconia_farinosa"	"Nidularium_inocentii"	"Clytolaema_rubricauda"	"Thalurania_glaucopis"	"Phaethornis_eurynome"	"Amazilia_versicolor"
"Fuchsia_regia"	0	0	0	0	0	0	0	0	0	0	0.330472103004292	0.169527896995708	0	0
"Spirotheca_rivieri"	0	0	0	0	0	0	0	0	0	0	0.488505747126437	0.0114942528735632	0	0
"Inga_sp1_M_PL_069_02"	0	0	0	0	0	0	0	0	0	0	0.448717948717949	0.0512820512820513	0	0
"Aegiphila_obducta"	0	0	0	0	0	0	0	0	0	0	0	0.295918367346939	0.204081632653061	0
"Nematanthus_australis"	0	0	0	0	0	0	0	0	0	0	0.1875	0.3125	0	0
"Justicia_carnea"	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
"Vriesea_altodaserrae"	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0.2
"Vriesea_incurvata"	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
"Heliconia_farinosa"	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
"Nidularium_inocentii"	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
"Clytolaema_rubricauda"	0.197689345314506	0.163671373555841	0.134788189987163	0	0.00192554557124519	0	0.00192554557124519	0	0	0	0	0	0	0
"Thalurania_glaucopis"	0.351111111111111	0.0133333333333333	0.0533333333333333	0.0644444444444444	0.0111111111111111	0	0	0	0.00666666666666667	0	0	0	0	0
"Phaethornis_eurynome"	0	0	0	0.303030303030303	0	0.0909090909090909	0	0.0757575757575758	0	0.0303030303030303	0	0	0	0
"Amazilia_versicolor"	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0
