"Sorex_araneus"	"Apodemus_uralensis"	"Clethrionomys_glareolus"	"Microtus_agrestis"	"Clethrionomys_rutilus"	"Microtus_arvalis"	"Sorex_caecutiens"	"Arvicola_terrestris"	"Sicista_betulina"	"Hystrichopsylla_talpae"	"Amalaraeus_penicilliger"	"Rhadinopsylla_integella"	"Megabothris_walkeri"	"Amphipsylla_sibirica"	"Corrodopsylla_birulai"	"Ctenophthalmus_assimilis"	"Ceratophyllus_sciurorum"
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0.397408207343413	0.00107991360691145	0.0928725701943845	0	0	0.00539956803455724	0.00323974082073434	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0.433823529411765	0.0294117647058824	0.0220588235294118	0	0.0147058823529412	0	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0	0.372093023255814	0	0.0116279069767442	0.0581395348837209	0	0.0465116279069767	0.0116279069767442
"Microtus_agrestis"	0	0	0	0	0	0	0	0	0	0.0365853658536585	0.0853658536585366	0.0487804878048781	0.170731707317073	0.0609756097560976	0.0853658536585366	0.0121951219512195	0
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0.0606060606060606	0	0.0151515151515152	0.121212121212121	0.181818181818182	0.0606060606060606	0.0606060606060606	0
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0.0416666666666667	0	0	0.25	0	0.0416666666666667	0.125	0.0416666666666667
"Sorex_caecutiens"	0	0	0	0	0	0	0	0	0	0	0.277777777777778	0	0	0.0555555555555556	0	0	0.166666666666667
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0.1875	0	0	0	0.1875	0	0.125	0
"Sicista_betulina"	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0.0833333333333333	0	0	0	0.0833333333333333
"Hystrichopsylla_talpae"	0.485488126649077	0	0	0.00395778364116095	0.00527704485488127	0.00131926121372032	0	0.00395778364116095	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.00462962962962963	0.273148148148148	0.148148148148148	0.0324074074074074	0	0	0.0231481481481481	0	0.0185185185185185	0	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0.452631578947368	0.0210526315789474	0	0.0210526315789474	0.00526315789473684	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_walkeri"	0	0.0454545454545455	0.0151515151515152	0.212121212121212	0.121212121212121	0.0909090909090909	0	0	0.0151515151515152	0	0	0	0	0	0	0	0
"Amphipsylla_sibirica"	0	0	0.0961538461538462	0.0961538461538462	0.230769230769231	0	0.0192307692307692	0.0576923076923077	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0.131578947368421	0.0526315789473684	0	0.184210526315789	0.105263157894737	0.0263157894736842	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_assimilis"	0.0882352941176471	0	0.117647058823529	0.0294117647058824	0.117647058823529	0.0882352941176471	0	0.0588235294117647	0	0	0	0	0	0	0	0	0
"Ceratophyllus_sciurorum"	0	0	0.0833333333333333	0	0	0.0833333333333333	0.25	0	0.0833333333333333	0	0	0	0	0	0	0	0
