"Nephrosperma_vanhoutteanum"	"Chrysobalanus_icaco"	"Memecylon_eleagni"	"Erythroxylum_sechellarum"	"Dillenia_ferruginea"	"Phoenicophorium_borsigianum"	"Northea_hornei"	"Roscheria_melanochaetes"	"Campnosperma_seychellarum"	"Psychotria_pervillei"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp2_M_PL_121"	"Rhiparida_seychellensis"	"Neophyllomyza_approximatonervis"	"Phelsuma_sp1_M_PL_121"	"Unidentified_sp4_M_PL_121"	"Unidentified_sp6_M_PL_121"	"Unidentified_sp1_M_PL_121"	"Hemipyrellia_germana"	"Ornidia_obesa"	"Unidentified_sp3_M_PL_121"	"Cratopus_aurostriatus"	"Polistes_olivaceus"	"Simosyrphus_aegyptius"	"Unidentified_sp5_M_PL_121"	"Forcipomyia_litoraurea"	"Forcipomyia_sp1_M_PL_121"	"Lygistorrhina_sp1_M_PL_121"	"Nectarinia_dussumieri"	"Pachycerina_seychellensis"	"Unidentified_sp7_M_PL_121"	"Xylocopa_caffra"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0	0	0.0970149253731343	0.0746268656716418	0.223880597014925	0.0373134328358209	0.0223880597014925	0.00746268656716418	0	0	0	0.00746268656716418	0	0	0.00746268656716418	0.00746268656716418	0	0.00746268656716418	0	0	0.00746268656716418	0	0	0	0
"Chrysobalanus_icaco"	0	0	0	0	0	0	0	0	0	0	0.425	0	0	0	0	0	0	0	0	0.025	0.025	0	0	0.025	0	0	0	0	0	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0	0	0.35	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0	0	0.236842105263158	0.131578947368421	0	0	0	0	0	0.131578947368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0	0	0	0.117647058823529	0.205882352941176	0	0.0588235294117647	0	0	0	0	0	0.0294117647058824	0.0294117647058824	0	0	0	0	0	0	0	0	0	0.0294117647058824	0	0.0294117647058824
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0	0	0	0	0	0.115384615384615	0	0	0.0384615384615385	0.0384615384615385	0.153846153846154	0	0	0	0.0384615384615385	0	0.0384615384615385	0	0	0.0384615384615385	0	0	0	0	0	0.0384615384615385	0
"Northea_hornei"	0	0	0	0	0	0	0	0	0	0	0.363636363636364	0	0	0	0	0.0909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0454545454545455	0	0	0
"Roscheria_melanochaetes"	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0.1	0	0.05	0	0	0	0	0.15	0	0	0	0	0.05	0.05	0	0	0	0	0
"Campnosperma_seychellarum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Psychotria_pervillei"	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
