"Geissomeria_schottiana"	"Justicia_scheidweileri"	"Ruellia_brevifolia"	"Passiflora_speciosa"	"Mendoncia_velloziana"	"Fridericia_speciosa"	"Corymborkis_flava"	"Heliconia_simulans"	"Mutisia_speciosa"	"Lantana_camara"	"Rubus_rosaefolius"	"Passiflora_kermesina"	"Hyptis_asperrima"	"Ruellia_subsessilis"	"Thalurania_glucopis"	"Phaethornis_squalidus"	"Phaethornis_ruber"	"Calliphlox_amethystina"	"Chlorostilbon_aureoventris"	"Phaethornis_pretrei"	"Amazilia_fimbriata"	"Amazilia_lactea"
"Geissomeria_schottiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.324074074074074	0.12962962962963	0.0277777777777778	0	0	0.00925925925925926	0.00925925925925926	0
"Justicia_scheidweileri"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257575757575758	0.0606060606060606	0.181818181818182	0	0	0	0	0
"Ruellia_brevifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.175	0	0	0.025	0	0
"Passiflora_speciosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
"Mendoncia_velloziana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0.05	0	0	0	0	0.05
"Fridericia_speciosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0.222222222222222	0.111111111111111	0	0	0
"Corymborkis_flava"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.375	0	0	0.125	0	0	0
"Heliconia_simulans"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0.0625	0.3125	0	0	0	0	0
"Mutisia_speciosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0
"Lantana_camara"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.2	0	0	0	0	0
"Rubus_rosaefolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.4	0	0	0	0	0
"Passiflora_kermesina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0
"Hyptis_asperrima"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0
"Ruellia_subsessilis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0
"Thalurania_glucopis"	0.282258064516129	0.137096774193548	0	0	0.0645161290322581	0	0	0.0161290322580645	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phaethornis_squalidus"	0.127272727272727	0.0363636363636364	0.109090909090909	0.1	0	0.0272727272727273	0.0545454545454545	0.00909090909090909	0	0.0272727272727273	0.00909090909090909	0	0	0	0	0	0	0	0	0	0	0
"Phaethornis_ruber"	0.0319148936170213	0.127659574468085	0.074468085106383	0	0.0106382978723404	0	0	0.0531914893617021	0.074468085106383	0.0212765957446809	0.0425531914893617	0.0425531914893617	0	0.0212765957446809	0	0	0	0	0	0	0	0
"Calliphlox_amethystina"	0	0	0	0	0	0.4	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0
"Chlorostilbon_aureoventris"	0	0	0	0	0	0.2	0.2	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0
"Phaethornis_pretrei"	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amazilia_fimbriata"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amazilia_lactea"	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
