"Nephrosperma_vanhoutteanum"	"Erythroxylum_sechellarum"	"Memecylon_eleagni"	"Dillenia_ferruginea"	"Soulamea_terminaloides"	"Lasioglossum_mahense"	"Apis_mellifera"	"Unidentified_sp1_M_PL_093"	"Lygistorrhina_sp1_M_PL_093"	"Cratopus_aurostriatus"	"Ornidia_obesa"	"Pachycerina_seychellensis"	"Plagiostenopterina_cyanosoma"	"Unidentified_sp2_M_PL_093"	"Unidentified_sp4_M_PL_093"	"Unidentified_sp5_M_PL_093"	"Hemipyrellia_sp1_M_PL_093"	"Phelsuma_sp1_M_PL_093"	"Unidentified_sp3_M_PL_093"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0.032258064516129	0.225806451612903	0.129032258064516	0.0483870967741935	0	0	0	0	0.032258064516129	0	0	0	0.0161290322580645	0.0161290322580645
"Erythroxylum_sechellarum"	0	0	0	0	0	0.37037037037037	0	0	0.0185185185185185	0	0	0.037037037037037	0.037037037037037	0	0	0.037037037037037	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0.3125	0.1875	0	0	0	0	0	0	0	0	0	0	0	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0.0714285714285714	0	0	0.142857142857143	0.142857142857143	0	0	0	0.142857142857143	0	0	0	0
"Soulamea_terminaloides"	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0
"Lasioglossum_mahense"	0.037037037037037	0.37037037037037	0.0925925925925926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.388888888888889	0	0.0833333333333333	0.0277777777777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_093"	0.444444444444444	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_093"	0.375	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cratopus_aurostriatus"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pachycerina_seychellensis"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Plagiostenopterina_cyanosoma"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_093"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp4_M_PL_093"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp5_M_PL_093"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_sp1_M_PL_093"	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phelsuma_sp1_M_PL_093"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_093"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
