"Diplopterys_pubipetala"	"Byrsonima_gardnerana"	"Banisteriopsis_muricata"	"Heteropterys_sp1_M_PL_059"	"Heteropterys_sp2_M_PL_059"	"Dicella_bracteosa"	"Carolus_chasei"	"Stigmaphyllon_paralias"	"Banisteriopsis_stellaris"	"Banisteriopsis_schizoptera"	"Stigmaphyllon_auriculatum"	"Stigmaphyllon_ciliatum"	"Janusia_anisandra"	"Centris_aenea"	"Centris_fuscata"	"Centris_caxiensis"	"Centris_tarsata"	"Centris_flavifrons"	"Centris_trigonoides"	"Centris_obsoleta"	"Epicharis_sp1_M_PL_059"	"Apis_mellifera"	"Centris_sp1_M_PL_059"	"Centris_sp2_M_PL_059"	"Xylocopa_sp1_M_PL_059"	"Xylocopa_grisescens"
"Diplopterys_pubipetala"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120762711864407	0.120409604519774	0.0653248587570621	0.0406073446327684	0.0367231638418079	0.0225988700564972	0	0.028954802259887	0.0321327683615819	0.0324858757062147	0	0	0
"Byrsonima_gardnerana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111918604651163	0.0387596899224806	0.255329457364341	0.0562015503875969	0.0343992248062015	0	0	0	0.00339147286821705	0	0	0	0
"Banisteriopsis_muricata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0498489425981873	0.0589123867069486	0.013595166163142	0.0176233635448137	0.0342396777442095	0.0820745216515609	0.114803625377644	0.0458207452165156	0.00553877139979859	0	0.0463242698892246	0.0206445115810675	0.0105740181268882
"Heteropterys_sp1_M_PL_059"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123704663212435	0.110103626943005	0.0854922279792746	0.0498704663212435	0.0654145077720207	0.0485751295336788	0	0.00453367875647668	0	0	0	0.0123056994818653	0
"Heteropterys_sp2_M_PL_059"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131578947368421	0.116642958748222	0.0938833570412518	0.0590327169274538	0	0.0576102418207681	0	0.0206258890469417	0.0206258890469417	0	0	0	0
"Dicella_bracteosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133653846153846	0.123076923076923	0.0855769230769231	0.0317307692307692	0.125961538461538	0	0	0	0	0	0	0	0
"Carolus_chasei"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178909952606635	0.133886255924171	0.127962085308057	0.0592417061611374	0	0	0	0	0	0	0	0	0
"Stigmaphyllon_paralias"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.190909090909091	0.309090909090909	0	0	0	0	0	0	0	0	0	0	0
"Banisteriopsis_stellaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153361344537815	0.157563025210084	0.128151260504202	0.0609243697478992	0	0	0	0	0	0	0	0	0
"Banisteriopsis_schizoptera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163793103448276	0.160919540229885	0.0890804597701149	0.0862068965517241	0	0	0	0	0	0	0	0	0
