"Erythroxylum_sechellarum"	"Cinnamomum_verum"	"Memecylon_eleagni"	"Soulamea_terminaloides"	"Dillenia_ferruginea"	"Roscheria_melanochaetes"	"Lasioglossum_mahense"	"Unidentified_sp4_M_PL_092"	"Unidentified_sp1_M_PL_092"	"Apis_mellifera"	"Lygistorrhina_sp1_M_PL_092"	"Amblypsilopus_sp1_M_PL_092"	"Cratopus_aurostriatus"	"Eristalinus_vicarians"	"Unidentified_sp2_M_PL_092"	"Unidentified_sp3_M_PL_092"
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0.266666666666667	0.0666666666666667	0.133333333333333	0	0.0333333333333333	0	0	0	0	0
"Cinnamomum_verum"	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0.125	0	0	0.1875	0	0	0.0625	0.0625	0	0.0625
"Soulamea_terminaloides"	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0.166666666666667	0	0	0.166666666666667	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
"Roscheria_melanochaetes"	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.4	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp4_M_PL_092"	0.1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_092"	0.333333333333333	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0	0	0.3	0	0.2	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_092"	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0
"Amblypsilopus_sp1_M_PL_092"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
"Cratopus_aurostriatus"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eristalinus_vicarians"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_092"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_092"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
