"Cecropia_schreberiana"	"Guarea_guidonia"	"Schefflera_morototoni"	"Alchornea_latifolia"	"Dendropanax_arboreus"	"Ocotea_floribunda"	"Inga_vera"	"Ficus_sp1_M_SD_006"	"Miconia_prasina"	"Musa_acuminata"	"Phytolacca_rivinoides"	"Tournefortia_hisutissima"	"Casearia_sylvestris"	"Citrus_sinensis"	"Coffea_arabica"	"Miconia_laevigatta"	"Momordica_charantia"	"Murraya_paniculata"	"Piper_amalaga"	"Roystonea_borinquena"	"Solanum_rugosum"	"Spindalis_portoricensis"	"Loxigilla_portoricensis"	"Vireo_altiloquous"	"Turdus_plumbeus"	"Coereba_flaveola"	"Tyrannus_dominicensis"	"Nesospingus_speculiferus"	"Melanerpes_portoricensis"	"Tyrannus_caudifasciatus"	"Columba_squamosa"	"Euphonia_musica"	"Icterus_dominicensis"	"Myarchus_antillarum"	"Vireo_flavirostris"	"Vireo_latimeri"
"Cecropia_schreberiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.223684210526316	0.0526315789473684	0.0657894736842105	0.0263157894736842	0.0657894736842105	0.0131578947368421	0.0263157894736842	0.0131578947368421	0	0	0.0131578947368421	0	0	0	0
"Guarea_guidonia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.270833333333333	0.104166666666667	0	0	0.0208333333333333	0	0.0208333333333333	0.0416666666666667	0	0	0	0.0208333333333333	0.0208333333333333	0
"Schefflera_morototoni"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21875	0	0	0.125	0.03125	0.125	0	0	0	0	0	0	0	0	0
"Alchornea_latifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.3	0	0	0	0	0	0	0	0	0	0	0	0
"Dendropanax_arboreus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.3	0	0.1	0	0	0	0	0	0	0	0	0	0	0
"Ocotea_floribunda"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0.1	0	0	0	0.1	0	0	0	0	0
"Inga_vera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0.125	0	0.25	0	0	0	0	0	0	0	0	0	0
"Ficus_sp1_M_SD_006"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0
"Miconia_prasina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0.166666666666667	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0
"Musa_acuminata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0
"Phytolacca_rivinoides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0
"Tournefortia_hisutissima"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0
"Casearia_sylvestris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
"Citrus_sinensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
"Coffea_arabica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
"Miconia_laevigatta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Momordica_charantia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0
"Murraya_paniculata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
"Piper_amalaga"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Roystonea_borinquena"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Solanum_rugosum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Spindalis_portoricensis"	0.257575757575758	0	0.106060606060606	0	0.0151515151515152	0	0	0.0151515151515152	0	0.0151515151515152	0.0151515151515152	0.0151515151515152	0	0	0	0.0151515151515152	0	0	0.0151515151515152	0.0151515151515152	0.0151515151515152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
