Node	Module
R1	2
C1	1
C11	4
C15	4
C19	4
C20	4
C29	2
C31	1
C34	3
C37	2
C38	3
C39	4
C40	1
C42	3
C45	3
C47	1
C58	2
C65	2
C71	2
C74	1
C80	2
C84	4
C87	2
C88	1
C91	4
C93	2
C94	2
C96	4
C99	2
C100	0
C103	1
C106	2
C110	2
C111	3
C113	3
C116	2
C119	2
C122	2
C123	2
C124	1
C128	2
C129	2
C131	2
C135	2
C139	3
C140	2
C141	2
C144	2
C145	2
C146	2
C147	2
C154	2
C155	2
C159	4
C162	1
C163	2
C164	2
C165	2
C167	1
C181	2
C187	0
C190	2
C191	2
C196	0
C198	0
C204	0
C206	2
C214	2
C221	0
C222	0
C223	2
C230	2
C231	2
C235	2
C236	2
C238	2
C239	2
C244	1
C247	3
C248	2
C250	2
C253	1
C254	0
C255	4
C258	3
C259	2
C261	2
C264	2
C269	2
C270	2
C271	3
C275	2
C278	3
C281	2
C282	2
C283	2
C285	2
C288	2
C290	2
C293	2
C305	2
C308	2
C314	2
C315	0
C325	2
C327	2
C328	0
C335	3
C338	2
C343	0
C374	2
C381	2
C389	2
C391	2
C392	2
C402	4
C407	4
C408	2
C410	2
C417	2
C423	3
C427	4
C428	1
C433	4
C434	3
C438	1
C443	4
C453	3
C455	1
C456	4
C463	4
C465	3
C466	3
C467	3
C468	0
C469	4
C480	1
C484	2
C487	2
C489	1
C495	2
C496	1
C497	2
C503	3
C506	1
C507	1
C508	1
C509	2
C510	3
C511	2
C514	3
C517	3
R2	1
R3	1
R4	4
C17	4
R5	0
C379	0
R6	2
C81	2
C173	2
C188	2
C193	0
C224	3
C242	1
C268	2
C292	3
C339	2
C490	2
C505	2
R7	1
C66	1
C72	1
C112	0
C161	1
C431	1
C472	3
R8	4
R9	1
R10	1
C9	1
C22	4
C46	1
C52	1
C89	1
C346	1
C414	4
C430	1
R11	1
C14	4
C28	1
C53	1
C56	1
C85	1
C121	1
C172	2
C326	3
R12	2
C61	2
C152	2
C365	2
R13	4
C21	4
C36	4
C401	4
C426	4
C513	4
R14	4
C304	4
C416	4
C448	1
R15	1
C243	3
C485	3
