Node	Module
R1	1
C1	2
C2	2
C3	2
C5	0
C6	2
C7	2
C8	4
C9	0
C10	2
C11	6
C13	1
C16	1
C18	2
C21	1
C22	6
C23	1
C24	1
C26	1
C28	4
C29	1
C32	0
C33	1
C39	1
C43	1
C45	1
C47	1
C49	1
C52	4
C53	4
C55	4
C59	2
C61	1
C63	1
C66	3
C70	4
C72	2
C82	1
C86	1
C98	4
C118	4
C120	4
C122	1
C125	4
C129	4
C132	1
C145	1
C151	1
C152	1
C173	1
C174	1
C175	1
C206	1
R2	4
C4	2
C12	1
C15	1
C20	2
C37	6
C48	6
C51	4
C73	4
C90	3
C119	4
C161	4
C164	4
C165	4
C166	4
C177	4
C178	4
C216	4
C217	4
C239	4
C242	4
C248	4
C250	4
C260	4
C262	4
C264	4
R3	1
C27	6
C30	1
C31	1
C35	4
C38	4
C58	4
C67	1
C71	6
C84	1
C88	1
C92	1
C97	6
C104	1
C116	1
C141	1
C142	1
C204	1
C212	1
C268	1
R4	1
C34	2
C41	6
C134	1
C184	1
C195	1
C197	1
C205	1
C237	1
C255	1
C267	1
R5	0
C36	0
C42	0
C57	0
C60	0
C64	0
C74	0
C75	0
C85	0
C87	0
C93	0
C94	0
C113	0
C127	5
C150	0
C170	0
C171	0
C225	0
C256	5
R6	6
C19	2
C50	6
C69	6
C83	6
C95	6
C100	6
C103	6
C107	6
C109	6
C121	6
C123	6
C128	6
C144	6
C193	6
C194	6
C200	6
C201	6
C202	6
C210	6
C218	6
C219	6
C222	6
C223	6
C238	6
C252	6
C259	6
R7	6
C17	6
C25	2
C62	6
C65	3
C110	6
C126	6
C137	6
C213	6
C245	6
C253	6
C261	6
R8	1
C44	5
C56	2
C133	1
C140	1
C149	1
C180	1
C181	1
C186	1
C198	1
C271	1
R9	1
C77	1
C102	1
C179	1
C183	1
C188	1
C196	1
R10	1
C160	1
C199	1
C247	1
C263	1
R11	1
C91	1
C130	2
C159	1
C208	1
R12	4
C68	4
C78	4
C79	4
C124	4
C229	4
R13	0
C96	0
C114	0
C163	0
C167	0
R14	2
C14	2
C40	2
C135	2
C136	2
C138	2
C146	2
C147	2
C148	2
R15	2
C46	2
C112	2
C182	2
R16	4
C155	4
C207	4
R17	1
C105	1
C106	1
C187	1
R18	4
R19	0
R20	5
C101	5
C190	5
C203	5
C224	5
C236	5
R21	1
R22	1
R23	2
R24	2
R25	2
C89	2
R26	2
C154	2
C158	2
C215	2
R27	6
C220	6
R28	3
C54	3
C172	3
C176	3
R29	4
C258	4
R30	0
C117	0
C169	0
C244	0
R31	4
C221	4
R32	3
C111	3
C230	3
C235	3
C243	3
C251	3
R33	0
R34	0
R35	3
C81	3
C115	3
C234	3
C254	3
C257	3
C269	3
R36	2
C76	7
C211	2
R37	2
R38	6
R39	2
C80	2
R40	2
R41	2
R42	3
C228	3
C232	3
C270	3
R43	4
R44	2
R45	2
R46	2
R47	0
C168	0
C227	0
C241	0
R48	6
C139	6
C191	6
R49	2
R50	2
C143	2
C185	2
R51	6
C157	6
C226	6
R52	5
C192	5
R53	2
R54	2
C108	2
C214	2
R55	2
R56	2
C131	2
C266	2
R57	2
R58	6
C153	6
C189	6
R59	2
R60	5
C156	5
C209	5
C240	5
R61	2
R62	2
R63	2
R64	2
R65	2
R66	0
R67	2
R68	2
R69	6
C246	6
R70	6
R71	6
C231	6
C249	6
R72	6
R73	0
R74	8
C162	8
R75	2
R76	2
R77	2
C99	2
R78	2
R79	7
C233	7
R80	4
R81	3
C265	3
R82	2
R83	2
R84	7
R85	2
R86	0
R87	6
R88	3
R89	1
