Node	Module
R1	3
C1	1
C2	1
C3	2
C5	4
C8	3
C9	3
C10	3
C12	3
C15	3
C16	4
C17	3
C18	3
C21	3
C22	4
C24	3
C25	2
C27	3
C30	2
C31	3
C33	3
C34	3
C37	1
C40	3
C46	3
C47	3
R2	3
C4	1
C6	1
C7	1
C11	4
C13	2
C14	1
C19	0
C20	4
C23	4
C26	1
R3	4
C32	4
C36	4
C42	4
R4	3
C28	4
C29	1
C43	3
R5	3
C45	3
R6	0
C48	0
R7	1
C38	1
C39	1
R8	1
R9	2
C41	2
R10	4
R11	3
R12	1
R13	4
R14	2
C44	2
R15	1
R16	3
R17	1
R18	1
R19	1
R20	4
R21	1
R22	0
C35	0
R23	1
R24	1
R25	1
R26	2
R27	0
R28	4
R29	1
R30	2
R31	3
R32	2
R33	2
R34	4
R35	4
R36	2
R37	4
R38	2
R39	3
R40	1
R41	2
