Node	Module
R1	3
C4	3
R2	3
R3	3
R4	3
R5	3
R6	3
R7	3
R8	2
C2	2
C3	2
R9	2
R10	1
C1	1
R11	1
R12	2
R13	2
R14	1
R15	1
R16	1
R17	1
R18	2
R19	3
R20	1
R21	2
R22	1
R23	1
R24	1
R25	1
R26	1
R27	1
R28	1
R29	1
R30	1
R31	1
R32	1
R33	1
R34	1
R35	1
R36	0
C5	0
R37	1
R38	1
R39	1
R40	1
R41	1
R42	2
R43	1
R44	1
R45	1
R46	1
R47	0
R48	0
R49	1
R50	1
R51	1
R52	1
R53	0
R54	0
R55	0
R56	0
R57	0
R58	3
R59	3
R60	3
R61	3
R62	3
R63	2
R64	3
R65	3
R66	1
R67	1
R68	1
R69	0
R70	0
R71	0
R72	0
R73	0
R74	2
R75	2
R76	3
R77	3
R78	2
R79	3
R80	2
R81	2
R82	2
R83	2
R84	2
R85	2
R86	2
R87	2
R88	2
R89	2
R90	2
R91	2
R92	1
R93	1
