Node	Module
R1	3
C1	6
C4	6
C7	6
C10	6
C11	2
C12	3
C13	3
C14	4
C15	3
C16	3
C18	2
C20	2
C24	3
C25	3
C33	4
C34	1
C35	3
C38	2
C44	3
C54	3
C55	3
C57	3
C59	3
C62	3
C64	3
C66	3
C67	3
C69	3
C71	3
C73	3
C77	3
C82	3
C84	3
C87	3
C88	3
C90	3
R2	2
C2	6
C19	2
C30	2
C37	0
C63	2
C78	2
C89	2
C91	2
R3	0
C3	6
C8	6
C21	4
C22	4
C41	0
C56	0
C58	0
C70	0
C80	0
C81	0
C95	0
C97	0
R4	6
C5	6
C9	4
C36	6
C79	6
C85	6
C92	6
R5	6
C68	6
R6	5
C42	5
C47	5
C48	5
C50	5
C51	5
C52	5
C53	5
C61	5
R7	6
C86	6
R8	4
C31	4
C96	4
R9	3
C17	3
C27	3
C39	4
C60	3
C94	3
R10	4
C23	4
R11	6
C40	6
R12	0
C32	0
C65	0
R13	0
C6	4
C76	0
R14	2
C26	2
C28	2
C45	2
C46	2
R15	2
C72	2
R16	4
C93	4
R17	3
C29	3
C83	3
R18	4
C74	4
R19	6
C49	6
C75	6
R20	4
R21	6
R22	3
R23	2
R24	6
R25	0
R26	1
R27	1
C43	1
R28	2
R29	3
R30	3
R31	3
R32	4
R33	4
R34	6
R35	3
R36	6
