Node	Module
R1	8
C2	9
C4	8
C7	0
C8	9
C11	8
C12	4
C13	8
C15	0
C16	0
C20	8
C22	8
C25	9
C30	3
C36	8
C38	8
C39	8
C45	8
C52	8
C57	3
C59	8
C62	8
C68	8
C69	9
C83	8
C84	7
C92	4
C93	8
C94	8
C97	4
C98	3
C102	8
C115	8
C117	8
C141	8
C142	8
C144	8
C145	8
C175	8
C195	8
C228	8
C231	6
C232	8
C245	8
C248	8
C249	8
R2	0
C1	9
C3	9
C6	0
C9	0
C10	0
C18	1
C19	0
C27	0
C31	5
C32	0
C37	0
C43	0
C48	0
C49	0
C55	0
C65	0
C72	0
C73	0
C74	0
C99	4
C148	0
C150	0
C163	0
C164	0
C167	0
C169	0
C221	0
R3	0
C14	3
C29	0
C35	9
C77	0
C78	2
C119	0
C129	0
C161	0
C162	0
C165	0
C176	0
C196	0
R4	0
C75	0
C76	0
C86	0
C171	0
R5	4
C5	3
C80	4
C81	4
C82	4
C95	4
C104	4
C130	4
C134	4
C180	4
C190	4
C201	4
C210	4
C224	4
C234	4
C238	4
C242	4
C243	4
R6	8
C34	5
C158	8
C179	8
C212	8
R7	0
C70	0
C122	0
C149	0
C168	0
C178	0
C233	0
R8	0
C47	2
C147	0
C153	0
C157	0
R9	8
C17	3
C96	8
C123	8
C137	8
C174	8
C220	9
R10	3
C21	3
C26	3
C33	3
C56	1
C67	5
C103	3
C105	3
C107	3
C108	3
C111	3
C112	3
C113	3
C209	3
R11	7
C23	7
C24	7
C28	7
C44	7
C54	9
C85	7
C87	7
C90	6
C128	7
C225	7
C241	7
C247	7
R12	1
C41	1
C46	1
C60	1
C61	1
C66	1
C124	1
C131	1
C160	1
C199	1
C216	1
R13	3
C121	3
C181	3
C186	3
C211	3
C239	3
R14	9
C58	7
C125	9
C126	9
C127	9
C166	9
R15	7
C53	7
C222	7
C226	7
R16	2
C156	2
C172	2
C173	2
R17	0
C88	6
C132	0
C208	0
R18	8
C133	8
C146	8
C204	8
C207	8
C244	8
R19	5
C170	5
C177	5
C200	5
C202	5
R20	9
C64	9
C110	9
C139	9
C140	9
C154	9
R21	6
C40	6
C100	6
C214	6
C218	6
R22	3
C63	3
C89	3
C246	3
R23	5
C50	5
C138	5
C182	5
C183	5
C191	5
R24	9
C114	9
C118	9
C189	9
C230	9
R25	6
C101	6
C106	6
C227	6
R26	1
C42	1
C136	1
C159	1
C217	1
R27	4
C187	4
C236	4
R28	9
R29	3
C51	3
C109	3
C155	3
C240	3
R30	6
C135	6
C215	6
C219	6
R31	8
C116	8
C151	8
C193	8
R32	1
C91	1
R33	9
C120	9
C197	9
R34	3
C184	3
C194	3
R35	4
C185	4
C188	4
C198	4
R36	9
C71	9
R37	1
R38	3
C143	3
R39	3
R40	9
R41	7
R42	7
C223	7
R43	7
C237	7
R44	9
C79	9
R45	9
R46	9
C229	9
R47	8
C152	8
R48	5
C203	5
C235	5
R49	9
R50	9
R51	9
R52	9
C205	9
C206	9
R53	9
R54	9
R55	3
R56	5
C192	5
R57	9
C213	9
R58	3
R59	3
R60	3
R61	2
