Node	Module
R1	2
C1	4
C2	0
C4	3
C5	4
C6	0
C7	1
C9	2
C10	0
C11	1
C13	3
C16	2
C17	2
C18	2
C19	2
C24	1
C25	2
C26	2
C27	2
C28	1
C29	2
C30	1
C33	2
C38	2
C39	5
C40	2
C41	0
C43	1
C44	2
C47	0
C65	2
C70	2
C78	2
R2	2
C12	1
C34	3
C36	1
C45	1
C48	1
C49	2
C62	2
C63	2
C64	2
R3	1
C14	5
C20	5
C42	1
C46	1
C61	1
C73	1
C74	1
C77	1
R4	5
C3	5
C8	5
C23	5
C32	5
C35	5
C54	5
C56	5
C71	5
C72	5
R5	5
C50	5
C52	5
C68	5
R6	1
C15	1
C53	1
C57	1
C58	1
C60	1
C66	1
R7	1
C31	3
R8	3
R9	0
R10	3
C37	3
C55	3
C76	3
R11	0
C67	0
R12	2
R13	5
R14	4
C21	4
C22	4
C51	4
R15	4
C59	4
R16	5
R17	2
C69	2
R18	4
R19	0
R20	1
R21	4
R22	3
R23	2
C75	2
R24	4
R25	4
R26	3
R27	4
R28	0
R29	4
R30	2
R31	4
R32	5
R33	5
R34	5
R35	4
R36	4
R37	3
