Node	Module
R1	4
C1	4
C2	4
R2	4
R3	4
R4	4
R5	4
R6	4
R7	4
C3	4
R8	4
R9	4
C11	4
R10	1
C4	1
C7	1
R11	1
C5	1
R12	1
C6	1
C10	1
R13	1
C8	1
R14	1
R15	1
C9	1
C12	3
R16	1
R17	1
R18	1
R19	1
R20	1
R21	1
R22	1
R23	1
R24	1
R25	1
R26	3
R27	2
C13	2
C14	3
C22	5
R28	3
R29	3
R30	1
R31	3
R32	3
R33	3
R34	3
R35	3
R36	3
R37	4
R38	3
R39	2
R40	4
C15	4
C16	4
R41	2
C17	2
R42	3
C18	3
R43	3
C19	3
R44	3
R45	3
R46	3
R47	2
R48	3
R49	5
C23	5
R50	5
C21	5
R51	5
R52	5
C20	5
R53	5
R54	5
R55	5
R56	5
R57	5
R58	5
R59	5
R60	5
R61	5
R62	5
R63	5
R64	0
C25	0
C26	0
R65	5
R66	0
R67	0
C30	0
R68	5
C24	5
C27	5
R69	5
R70	0
C28	0
R71	0
C31	0
C32	0
R72	0
C29	0
R73	0
R74	0
R75	0
R76	0
R77	0
R78	0
R79	0
R80	0
C33	0
