Node	Module
R1	2
C1	2
C2	1
C3	0
C4	0
R2	2
R3	2
R4	2
R5	2
R6	2
R7	2
R8	2
R9	2
R10	2
R11	2
R12	2
R13	2
R14	2
R15	2
R16	2
R17	2
R18	2
R19	2
R20	2
R21	2
R22	0
R23	2
R24	0
R25	2
R26	0
R27	2
R28	2
R29	2
R30	0
R31	2
R32	2
R33	2
R34	1
R35	2
R36	2
R37	2
R38	2
R39	2
R40	2
R41	1
R42	0
R43	2
R44	2
R45	1
R46	2
R47	2
R48	2
R49	2
R50	2
R51	2
R52	0
R53	2
R54	2
R55	2
R56	2
R57	2
R58	2
R59	2
R60	2
R61	0
R62	2
R63	2
R64	1
R65	0
R66	2
R67	0
R68	2
R69	2
R70	2
R71	2
R72	2
R73	2
R74	2
R75	2
R76	2
R77	1
R78	0
R79	2
R80	2
R81	1
R82	2
R83	2
R84	2
R85	2
R86	2
R87	2
R88	2
