Node	Module
R1	1
C14	2
C16	1
C23	1
C34	1
C36	1
C38	1
R2	1
C8	1
C15	1
C39	1
R3	1
C10	1
C26	2
C29	1
R4	1
R5	1
R6	1
C27	0
R7	1
C1	3
C20	1
C24	3
R8	1
R9	2
R10	3
C6	3
C9	3
C12	3
C13	3
C30	3
C31	3
C32	3
R11	3
C18	3
C33	3
R12	1
R13	3
C28	3
C45	3
R14	1
R15	1
R16	3
C19	3
C25	3
C35	3
C40	3
C41	3
C43	3
C46	3
R17	2
C2	2
R18	2
R19	2
R20	2
R21	3
C4	3
C17	3
R22	1
R23	3
C3	2
C37	3
R24	1
R25	1
R26	1
R27	0
R28	0
R29	2
R30	1
R31	3
C21	3
C22	3
C42	3
C44	3
R32	1
R33	1
R34	3
R35	1
R36	3
R37	3
R38	3
C11	3
R39	2
R40	3
R41	3
R42	1
R43	0
R44	1
R45	3
C5	3
C7	3
