Node	Module
R1	1
C1	1
C2	0
C3	1
C5	0
C6	1
C9	2
C10	1
C11	1
C13	1
C14	1
C15	1
C16	5
C17	1
C18	1
C20	2
C23	2
C30	1
C31	1
C32	3
C36	5
C40	1
C42	1
C43	1
C55	1
C57	1
C59	2
C61	2
C65	4
C72	3
C73	1
C74	1
C134	1
C140	1
C141	1
C160	1
C161	1
C164	1
R2	5
C4	5
C8	5
C19	5
C26	3
C41	5
C44	5
C47	5
C50	5
C51	5
C52	3
C53	5
C54	5
C67	5
C68	5
C89	5
C120	5
C121	5
C124	5
C125	5
C126	5
C137	5
C142	5
C152	5
C155	5
R3	3
C25	3
C27	3
C28	3
C33	2
C37	3
C48	3
C63	3
C75	3
C76	3
C77	3
C78	3
C95	3
C97	3
C114	3
C153	3
R4	5
C34	2
C83	5
C94	5
C115	5
R5	4
C22	4
C38	2
C45	4
C49	4
C64	4
C69	0
C70	2
C84	4
C99	4
C103	4
C106	4
C159	4
R6	2
C7	1
C24	0
C29	4
C79	2
C80	2
C85	2
C86	2
C96	2
C109	2
C113	2
C136	2
R7	1
C12	1
C21	1
C35	1
C39	1
C60	3
C143	1
C151	1
R8	4
C62	4
C71	4
C91	4
C100	4
C105	4
C131	4
C138	4
C146	4
R9	1
C92	1
C123	1
C156	1
R10	1
C129	1
C133	1
C163	1
R11	1
C88	1
R12	1
C150	1
R13	0
C46	0
C58	0
C127	0
C135	0
C144	0
C162	0
R14	5
C81	5
C107	5
C147	5
R15	2
C56	2
C154	2
R16	1
R17	3
C110	3
C119	3
C149	3
R18	0
C82	0
C87	0
C116	0
C139	0
C157	0
R19	1
C122	1
R20	3
C98	3
C112	3
C117	3
R21	4
C66	4
C132	4
R22	2
C102	2
C108	2
R23	4
C93	4
C104	4
C128	4
R24	0
C118	0
C145	0
C158	0
R25	2
C148	2
R26	1
R27	1
R28	3
C111	3
R29	4
C90	4
C101	4
C130	4
R30	0
R31	2
R32	3
R33	3
R34	1
R35	1
R36	5
