"Dillenia_ferruginea"	"Erythroxylum_sechellarum"	"Campnosperma_seychellarum"	"Craterispermum_microdon"	"Soulamea_terminaloides"	"Excoecaria_benthiamiana"	"Memecylon_eleagni"	"Colea_seychellarum"	"Cinnamomum_verum"	"Lasioglossum_mahense"	"Apis_mellifera"	"Unidentified_sp1_M_PL_100"	"Lygistorrhina_sp1_M_PL_100"	"Scaptodrosophila_sp1_M_PL_100"	"Eristalinus_vicarians"	"Nectarinia_dussumieri"	"Parasarcophaga_hirticeps"	"Phelsuma_sp1_M_PL_100"	"Rhiparida_seychellensis"	"Cratopus_aurostriatus"	"Unidentified_sp2_M_PL_100"	"Unidentified_sp3_M_PL_100"
"Dillenia_ferruginea"	2.7746982090599	1.54454960297266	0	0.560366019380556	0	0	0.287658047492795	0	0.0958860158309316	2.2373403693884	1.60534487404022	0	0	0.25216470872125	0	0	0	0.312153548519239	0	0.156076774259619	0.0868809151672122	0.0868809151672121
"Erythroxylum_sechellarum"	1.54454960297266	2.81191718478507	0	0.448348015947547	0	0	0.343757318273671	0	0.11458577275789	2.67366803101744	1.28443403827936	0	0	0.201756607176396	0	0	0	0.173761830334424	0	0.0868809151672121	0.15817034164416	0.15817034164416
"Campnosperma_seychellarum"	0	0	5.26315789473685	0	0	0	0	0	0	0	0	3.55263157894737	0	0	0	0	0	0	1.18421052631579	0	0	0
"Craterispermum_microdon"	1.49430938501482	1.19559470919346	0	2.32107062949696	0	0	0.189137378273709	0	0.063045792757903	1.4710684976844	1.83462271079961	0	0	1.04448178327363	0	0	0	0.168109805814167	0	0.0840549029070834	0.067252202392132	0.067252202392132
"Soulamea_terminaloides"	0	0	0	0	4.00186857676736	1.26128931796948	0	0	0	0	0	0	2.33572095920274	0	1.20056057303021	0	1.20056057303021	0	0	0	0	0
"Excoecaria_benthiamiana"	0	0	0	0	2.52257863593896	2.74057925879788	0	0	0	0	0	0	3.22329492369978	0	0.756773590781688	0	0.756773590781688	0	0	0	0	0
"Memecylon_eleagni"	1.53417625329491	1.83337236412625	0	0.378274756547418	0	0	1.3880008905762	0	0.129333630192068	3.01778470448159	1.08368712662751	0	0	0.170223640446338	0	0	0	0.172594828495677	0	0.0862974142478384	0.103127195482102	0.103127195482101
"Colea_seychellarum"	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0
"Cinnamomum_verum"	1.53417625329491	1.83337236412625	0	0.378274756547418	0	0	0.388000890576204	0	1.12933363019207	3.01778470448159	1.08368712662751	0	0	0.170223640446338	0	0	0	0.172594828495677	0	0.0862974142478384	0.103127195482102	0.103127195482101
"Lasioglossum_mahense"	1.70464028143878	2.03708040458472	0	0.420305285052687	0	0	0.431112100640227	0	0.143704033546742	3.35309411609066	1.2040968073639	0	0	0.189137378273709	0	0	0	0.191772031661863	0	0.0958860158309316	0.114585772757891	0.11458577275789
"Apis_mellifera"	1.97580907574181	1.58084189326691	0	0.846748943445974	0	0	0.250081644606349	0	0.0833605482021162	1.94507945804938	2.42577891761282	0	0	0.381037024550688	0	0	0	0.222278521020954	0	0.111139260510477	0.0889223564962635	0.0889223564962635
"Unidentified_sp1_M_PL_100"	0	0	4.73684210526316	0	0	0	0	0	0	0	0	4.19736842105263	0	0	0	0	0	0	1.06578947368421	0	0	0
"Lygistorrhina_sp1_M_PL_100"	0	0	0	0	2.80286515104329	1.93397695421987	0	0	0	0	0	0	3.58143880411087	0	0.840859545312987	0	0.840859545312987	0	0	0	0	0
"Scaptodrosophila_sp1_M_PL_100"	1.34487844651333	1.07603523827411	0	2.08896356654726	0	0	0.170223640446338	0	0.0567412134821127	1.32396164791596	1.65116043971965	0	0	1.94003360494627	0	0	0	0.15129882523275	0	0.075649412616375	0.0605269821529189	0.0605269821529188
"Eristalinus_vicarians"	0	0	0	0	3.60168171909063	1.13516038617253	0	0	0	0	0	0	2.10214886328247	0	2.08050451572719	0	1.08050451572719	0	0	0	0	0
"Nectarinia_dussumieri"	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0
"Parasarcophaga_hirticeps"	0	0	0	0	3.60168171909063	1.13516038617253	0	0	0	0	0	0	2.10214886328247	0	1.08050451572719	0	2.08050451572719	0	0	0	0	0
"Phelsuma_sp1_M_PL_100"	2.49722838815391	1.39009464267539	0	0.5043294174425	0	0	0.258892242743515	0	0.0862974142478384	2.01360633244956	1.4448103866362	0	0	0.226948237849125	0	0	0	1.28093819366731	0	0.140469096833657	0.0781928236504911	0.0781928236504909
"Rhiparida_seychellensis"	0	0	4.73684210526316	0	0	0	0	0	0	0	0	3.19736842105263	0	0	0	0	0	0	2.06578947368421	0	0	0
"Cratopus_aurostriatus"	2.49722838815391	1.39009464267539	0	0.5043294174425	0	0	0.258892242743515	0	0.0862974142478384	2.01360633244956	1.4448103866362	0	0	0.226948237849125	0	0	0	0.280938193667315	0	1.14046909683366	0.0781928236504911	0.0781928236504909
"Unidentified_sp2_M_PL_100"	1.39009464267539	2.53072546630657	0	0.403513214352793	0	0	0.309381586446304	0	0.103127195482101	2.4063012279157	1.15599063445143	0	0	0.181580946458757	0	0	0	0.156385647300982	0	0.0781928236504909	1.14235330747974	0.142353307479744
"Unidentified_sp3_M_PL_100"	1.39009464267539	2.53072546630657	0	0.403513214352793	0	0	0.309381586446304	0	0.103127195482101	2.4063012279157	1.15599063445143	0	0	0.181580946458757	0	0	0	0.156385647300982	0	0.0781928236504909	0.142353307479744	1.14235330747974
