"Cecropia_membranacea"	"Cecropia_tessmannii"	"Cecropia_ficifolia"	"Cecropia_sp1_M_PA_002"	"Cecropia_polystachya"	"Cecropia_engleriana"	"Azteca_xanthochroa"	"Azteca_ovaticeps"	"Camponotus_balzani"	"Pachycondyla_luteola"
"Cecropia_membranacea"	3.01618191222726	0.392729992532218	0.80222018926056	0.539191180551847	0.268590446791053	0.244244173373902	1.51537390612611	1.65298812860336	1.24922859273331	0.319251477800384
"Cecropia_tessmannii"	0.671441600135728	3.94378974933575	0.348815917306557	0.16286962321603	0.0777649500652275	0.0584760546775519	0.457738156750934	0.380298244713495	0.692886294661283	3.20591940913744
"Cecropia_ficifolia"	1.77156958461707	0.450553893187636	1.96341458447203	0.67960783711539	0.225938628500432	0.17207336684428	1.91000895398443	1.02741671860534	1.43315971950151	0.366256713171885
"Cecropia_sp1_M_PA_002"	1.68100779819105	0.296997548217467	0.959446358280551	1.90752391917832	0.236209128819966	0.181973142049483	2.55055741991293	1.00013963853858	0.94471478180906	0.241430265002586
"Cecropia_polystachya"	2.03361338284654	0.34438763600315	0.774646726287195	0.573650741419917	1.27821680702961	0.258642601150429	1.61222103797754	1.74921008803671	1.09545715901408	0.279953820234819
"Cecropia_engleriana"	2.15749019813614	0.302126282500685	0.688293467377121	0.515590569140203	0.301749701342168	1.29790767624053	1.44904539039403	2.08116859402887	0.961028691194532	0.245599429645718
"Azteca_xanthochroa"	1.8677864424345	0.329997275797185	1.06605150920061	1.00835991019814	0.26245458757774	0.202192380054982	2.83395268879215	1.11126626504287	1.04968309089896	0.268255850002873
"Azteca_ovaticeps"	2.50309630902795	0.33683558817481	0.704514321329373	0.48578211014731	0.349842017607342	0.356771758976378	1.36526998276695	2.55263820569659	1.07143497007959	0.273814736193716
"Camponotus_balzani"	2.06903485671454	0.671233597953118	1.07486978962613	0.501879727836063	0.239631253534331	0.180192879598975	1.41051165339547	1.17188199852455	2.13511628577106	0.54564795704576
"Pachycondyla_luteola"	0.604297440122155	3.54941077440217	0.313934325575901	0.146582660894427	0.0699884550587048	0.0526284492097967	0.411964341075841	0.342268420242145	0.623597665195155	3.8853274682237
