"Decagonocarpus_cornutus"	"Retiniphyllum_rhabdocalyx"	"Aechmea_chantiniii"	"Aphelandra_macrostachya"	"Isertia_hypoleuca"	"Monotagma_secundum"	"Payparola_hulkiana"	"Tachia_occidentalis"	"Drymonia_semicordata"	"Satyria_panurensis"	"Billbergia_decora"	"Passiflora_vitifolia"	"Aechmea_contracta"	"Heliconia_sp1_M_PL_071"	"Alloplectus_savanarum"	"Pepinia_sp1_M_PL_071"	"Ischnosiphon_lasiocoleus"	"Palicourea_sp1_M_PL_071"	"Symphonia_globulifera"	"Ryania_pyrifera"	"Markea_coccinea"	"Pslicourea_quadrifolia"	"Psychotria_bahiensis"	"Psychotria_platypoda"	"Tabernamontana_macrocalyx"	"Psychotria_peppigiana"	"Psittacanthus_lasianthus"	"Aechmea_corymbosa"	"Vriesea_chrysostachys"	"Zygia_lathetica"	"Costus_scaber"	"Columnea_ericae"	"Isertia_rosea"	"Amasonia_arborea"	"Bromelia_sp1_M_PL_071"	"Calathea_zingiberea"	"Heliconia_tarumaensis"	"Passiflora_sp1_M_PL_071"	"Aechmea_rubiginosa"	"Ferdinandusa_sprucei"	"Gurania_rufipila"	"Justicia_cuatrecasii"	"Palicourea_subspicata"	"Renealmia_sp1_M_PL_071"	"Phaethornis_bourcieri"	"Chlorostilbon_olivaresi"	"Phaethornis_malaris"	"Thalurania_furcata"	"Phaethornis_ruber"	"Amazilia_versicolor"	"Florisuga_mellivora"	"Topaza_pyra"
"Pepinia_sp1_M_PL_071"	0.178962818471914	0.282477411254033	0.1328634915038	0.353799433036374	0.43762059343329	0.185384459421599	0.191910587904907	0.215961804803617	0.14614079090655	0.0926195227733454	0.162935513738774	0.194720559841845	0.11501867929262	0.1989192405499	0.121042905400534	1.15214387117598	0.0559235050955129	0.0830069376065382	0.0640452013902	0.0639028744086058	0.070081126165791	0.0472293327194943	0.0592830493180783	0.0462366289137741	0.0634758934638233	0.0585931324281446	0.0505821477927863	0.0488276103567872	0.0328056410860706	0.0434030959750798	0.034179327249751	0.0277164215293774	0.0442991603321518	0.0233067352538368	0.0334952469221282	0.0212535158090039	0.0334952469221282	0.0257942366808712	0.0146482831070361	0.00839183590767703	0.0146482831070361	0.0146482831070361	0.0146482831070361	0.00271517547200915	2.34915058716543	0.309968280359851	1.51822764066019	0.458696715414426	0.0814552641602744	0.00419521234569047	0.00757420257865301	0.00757420257865316
"Ischnosiphon_lasiocoleus"	0.21122855498935	0.254669731670537	0.184190827100728	0.165657126773088	0.134746789648316	0.204062850999586	0.309809264570919	0.112950949341323	0.107823722634574	0.083702399152734	0.0818031180451941	0.0722136328847024	0.143150818469738	0.0657084817373575	0.078726782021145	0.058866847468961	1.96886289693443	0.0640100701539047	0.0593630137178208	0.0567594795824944	0.0557049642591961	0.10085077959018	0.157119732522645	0.0472926095787648	0.0489488771765154	0.045183578932168	0.0397238506296435	0.0376529824434734	0.0267335258384242	0.0262207689427601	0.0263570877104314	0.022204534763077	0.0163375742540748	0.0179727839825652	0.0160866383187391	0.0180519818157227	0.0160866383187391	0.0166820553642239	0.011295894733042	0.00790703461668753	0.011295894733042	0.011295894733042	0.011295894733042	0.0565489588497489	1.81152682200266	0.365853379556717	0.38592101107004	0.469172714075048	1.69646876549247	0.00323510111686152	0.00233215597468232	0.00233215597468242
"Palicourea_sp1_M_PL_071"	0.229524719286543	0.346770356634632	0.172136935436855	0.277135045119353	0.212384590806785	0.238183267509279	0.240366863240455	0.189750378461138	0.18301269272279	0.116875334123896	0.137219985412007	0.119543865971961	0.150606296167715	0.108095689144266	0.133177373968998	0.0976552207135743	0.0715406666425994	1.10876356879061	0.0769836726170441	0.0785307896727516	0.0906712054529795	0.0548478301173273	0.075740480710829	0.052493452291736	0.0831721408398744	0.0767742838521917	0.0662288122227729	0.0639785698768264	0.0428876266179888	0.0381875620180578	0.0447849989137785	0.0357388172449658	0.0229898528838095	0.0305386968385811	0.0269389650984001	0.0266926355761531	0.0269389650984001	0.0241674756561465	0.0191935709630479	0.0108983416795756	0.0191935709630479	0.0191935709630479	0.0191935709630479	0.00345558545101377	3.07808008407398	0.397542814450548	0.623934527570038	0.52076837591008	0.103667563530413	0.00549696543094434	0.00367588714857888	0.00367588714857904
"Symphonia_globulifera"	0.232931858954961	0.579741636585356	0.149018402691772	0.207572962613844	0.206432168766714	0.23568010620518	0.206508698746994	0.140014091950237	0.130056611010757	0.146840481652878	0.101794985119026	0.0929156421202113	0.107524380306812	0.0858502356472785	0.0958204965553382	0.0753472957531764	0.0663468976846233	0.0769836726170441	1.15374175253903	0.130023781228119	0.0807197832765464	0.138997946924655	0.0802709353600328	0.152949411868118	0.0588698672953867	0.0543414159649723	0.0475681589801726	0.0452845133041436	0.0317379993345442	0.0528801754812929	0.0316991593129005	0.0335672146426517	0.0348898110177802	0.0216155194769185	0.0201053015095533	0.0354352699724028	0.0201053015095533	0.0341667924011436	0.0135853539912431	0.00909574268247241	0.0135853539912431	0.0135853539912431	0.0135853539912431	0.00336999970728203	2.17868825118824	0.403444069431795	0.525217994530549	1.51735527646942	0.101099991218461	0.00389079350584522	0.00357286445942382	0.00357286445942395
"Ryania_pyrifera"	0.232239783709813	0.532419345345365	0.153714354655617	0.221702760622775	0.207641254493604	0.236188560845075	0.213386138409729	0.150116775147763	0.140813315108514	0.140753811061054	0.108990688303538	0.098324500090098	0.116275394466058	0.090368843388854	0.103408612279988	0.0798785930107573	0.0674018820042122	0.0834389640272986	0.138150267554877	1.11956426731843	0.0827411659061343	0.121904954448166	0.0793506867594133	0.132544295079165	0.0638062666091107	0.0588980922545637	0.0513586041700758	0.0490817435454698	0.0340027673764939	0.0498957383715733	0.0343572204818288	0.0340083214212467	0.0324726320218174	0.0234280398785062	0.0214933894260378	0.0336594223606646	0.0214933894260378	0.032135681187316	0.0147245230636409	0.009461895603759	0.0147245230636409	0.0147245230636409	0.0147245230636409	0.00338738431147754	2.36137721724316	0.402245377013729	0.545269790304195	1.31492356229331	0.101621529344326	0.00421704717813098	0.00359379094315844	0.00359379094315858
"Markea_coccinea"	0.2301682901128	0.390776042847547	0.167770101473895	0.26399554064609	0.211260244421438	0.237710448151838	0.233971432169468	0.180355746564634	0.173009877288295	0.122535417546037	0.130528596467777	0.11451409035552	0.142468600949544	0.10389377015039	0.126121074901974	0.093441501554388	0.0705596213949817	0.102760699513377	0.0914824210467526	0.0882572436332099	1.08879149237521	0.0707428521809336	0.0765962332556786	0.0714684668783859	0.0785817113925822	0.0725369643623836	0.0627040221658373	0.0604474703019863	0.0407815859088937	0.0409628334500022	0.0423132292113904	0.0353286256423065	0.0252376227535595	0.0288532077813782	0.0256481619760624	0.0283440220732225	0.0256481619760624	0.0260562354857571	0.0181342410905959	0.0105578507579006	0.0181342410905959	0.0181342410905959	0.0181342410905959	0.00343941925497555	2.90819496008445	0.398657495947006	0.605288071329246	0.709012568237956	0.103182577649267	0.00519357740064784	0.00365642730729404	0.00365642730729419
"Pslicourea_quadrifolia"	0.2322013421543	0.622311482817158	0.145026716858218	0.183767304393843	0.198958674035393	0.232419815700167	0.204797098898727	0.123225269406823	0.11270639840996	0.150613325180298	0.0897798779975491	0.0834311301660215	0.0976973559993855	0.0776995000629189	0.0834685553994311	0.0674704753135632	0.136868915158102	0.0666009365710403	0.168783221265652	0.139319947940761	0.0757959130510003	1.16070261918162	0.0877384100303433	0.174060495594374	0.0509301279660896	0.047012425814852	0.0414535052589874	0.0391770215123766	0.0280591804006475	0.0550732604316892	0.0274239150586637	0.0320214032986436	0.0369087377861312	0.0187002489319222	0.0177745828043233	0.0366188915386236	0.0177745828043233	0.0357119275626911	0.011753106453713	0.00847066964445922	0.011753106453713	0.011753106453713	0.011753106453713	0.00759020652091921	1.88485003498434	0.402178795234571	0.485063372688054	1.72679063089657	0.227706195627576	0.00336604480774594	0.00344351551215096	0.00344351551215107
"Psychotria_bahiensis"	0.227637793226668	0.402788639104398	0.167043380362884	0.238218988992542	0.198181654099151	0.231975581662264	0.241175934105602	0.162389769188173	0.154931777735199	0.120675377737613	0.117617896205676	0.10390337004505	0.136337487035474	0.0945748996626697	0.113143101333892	0.0846900704543976	0.213233922709304	0.0919705837202924	0.0974718500800399	0.0906864991536152	0.0820673927739414	0.0877384100303433	1.0901091232203	0.0821586247972011	0.0703304463743413	0.0649204120378535	0.0563320864357276	0.0541003433648779	0.0369236921606261	0.0407371552359461	0.0378702403554145	0.032918644882239	0.0255402116537653	0.0258235529187965	0.0231317356365459	0.0279670494090635	0.0231317356365459	0.026007831386117	0.0162301030094634	0.00987352047818717	0.0162301030094634	0.0162301030094634	0.0162301030094634	0.0119066972962546	2.6028276307769	0.394274609183445	0.555964850514983	0.815065722194455	0.357200918887638	0.00464823952538317	0.00343006709017753	0.00343006709017767
"Psychotria_platypoda"	0.234351500483468	0.67681300323149	0.139385680714654	0.178588761569881	0.203951992916685	0.234637122328473	0.192401130208053	0.119290639237361	0.107991576964077	0.159325959789954	0.0870345683302838	0.0818205488486488	0.0895735820314364	0.0765812966902005	0.0802551309663131	0.0660523270196773	0.0641828272854665	0.0637420492113938	0.185724285839857	0.151479194376189	0.0765733573696992	0.174060495594374	0.0821586247972011	1.19480606169161	0.0487439199851835	0.0449943876786309	0.0397928867957558	0.0374953230655258	0.0270923212997756	0.0590020977576408	0.026246726145868	0.0326623802250208	0.0398481269069347	0.017897528909559	0.0172579416808672	0.0390780343041735	0.0172579416808672	0.0383331743782256	0.0112485969196577	0.00834465976701274	0.0112485969196577	0.0112485969196577	0.0112485969196577	0.00333433898072714	1.80394165415252	0.405902925673981	0.484086105764095	1.93259981836915	0.100030169421814	0.00322155520372058	0.00352993833894255	0.00352993833894266
"Tabernamontana_macrocalyx"	0.229524719286543	0.346770356634632	0.172136935436855	0.277135045119353	0.212384590806785	0.238183267509279	0.240366863240455	0.189750378461138	0.18301269272279	0.116875334123896	0.137219985412007	0.119543865971961	0.150606296167715	0.108095689144266	0.133177373968998	0.0976552207135743	0.0715406666425994	0.108763568790605	0.0769836726170441	0.0785307896727516	0.0906712054529795	0.0548478301173273	0.075740480710829	0.052493452291736	1.08317214083987	0.0767742838521917	0.0662288122227729	0.0639785698768264	0.0428876266179888	0.0381875620180578	0.0447849989137785	0.0357388172449658	0.0229898528838095	0.0305386968385811	0.0269389650984001	0.0266926355761531	0.0269389650984001	0.0241674756561465	0.0191935709630479	0.0108983416795756	0.0191935709630479	0.0191935709630479	0.0191935709630479	0.00345558545101377	3.07808008407398	0.397542814450548	0.623934527570038	0.52076837591008	0.103667563530413	0.00549696543094434	0.00367588714857888	0.00367588714857904
