"Alticola_strelzowi"	"Alticola_barakshin"	"Alticola_argentatus"	"Spermophilus_undulatus"	"Meriones_meridianus"	"Cricetulus_longicaudatus"	"Cricetulus_barabensis"	"Phodopus_sungorus"	"Allactaga_sibirica"	"Meriones_unguiculatus"	"Apodemus_peninsulae"	"Amphipsylla_primaris"	"Paradoxopsyllus_scorodumovi"	"Callopsylla_caspia"	"Paramonopsyllus_scalonae"	"Citellophilus_tesquorum"	"Wagnerina_tuvensis"	"Paradoxopsyllus_dashidorzhii"	"Frontopsylla_elatoides"	"Nosopsyllus_laeviceps"	"Amphipsylla_vinogradovi"	"Frontopsylla_hetera"	"Pectinoctenus_pavlovskii"	"Neopsylla_mana"	"Frontopsylla_wagneri"	"Neopsylla_bidentatiformis"	"Amphipsylla_longispina"	"Ophthalmopsylla_praefecta"	"Oropsylla_alaskensis"	"Rhadinopsylla_li"	"Neopsylla_pleskei"	"Echidnophaga_oschanini"	"Frontopsylla_luculenta"	"Ophthalmopsylla_kukuschkini"	"Amphalius_runatus"	"Ctenophyllus_hirticrus"	"Rhadinopsylla_rothschildi"
"Apodemus_peninsulae"	0.723057531517103	0.555704905846134	0.566493920453415	0.333170564508641	0.104694242444967	0.351600438906116	0.52064698866063	0.11081432159439	0	0.0148915963866263	1.98208338441882	0.683822558984565	0.387842546137547	0.223957192855021	0.137489127939617	0.313538276695632	0.137288348678129	0.0982694207420098	0.116963274492465	0.0814280910866025	0.378490320614872	0.0823113484654109	0.0938644798692745	0.473017159285352	0	0.0799834329778133	0.0180326079932062	0	0.00870542442748386	0.00787127234930884	0.00279217432249243	0.00677088566582078	0	1.39181727411452	0.0038690775233261	0.00435890502134481	0.00435890502134481
"Amphipsylla_primaris"	1.53637329404597	1.43662916472085	1.26028121853901	0.155998890306229	0.0896224920646784	0.116326694711998	0.0617910149390563	0.0621415703398896	0	0.0155830062248643	0.00209475937061303	2.51671342892325	0.738810325102709	0.529657278631722	0.311430688785085	0.123019949337198	0.260637304409894	0.220570958300861	0.156845369793733	0.0740035828510535	0.093445858827332	0.0989236180998505	0.045251379573583	0.0427645265941379	0	0.0187683871515176	0.0108634383935957	0	0.00407610003703372	0.00645369427722055	0.00292181366716207	0.00317030002880401	0	0.00198365168450029	0.00181160001645941	0.000517320125071169	0.000517320125071169
"Paradoxopsyllus_scorodumovi"	1.77788738601511	1.08335706577702	1.2967266507197	0.186494715678423	0.089059594957741	0.1606496426685	0.0722933715753832	0.053311168736563	0	0.014658526410722	0.00240398272399306	1.4949206164957	1.82165210878268	0.478264252489554	0.279527838595682	0.146147762163262	0.256663419821602	0.186080332393448	0.159224122344258	0.0736535670609149	0.115762311946399	0.100172341407486	0.0473140189506044	0.0485872590893884	0	0.020526407606391	0.0112934405606164	0	0.00487292644192009	0.00629236749818738	0.00274847370201038	0.00379005389927119	0	0.00228803473858905	0.00216574508529779	0.000605246831793906	0.000605246831793906
"Callopsylla_caspia"	1.48480057225096	1.76150964581022	1.01539278567314	0.147590640085217	0.0905755503763195	0.112851914823071	0.0581903281114618	0.0490558487898592	0	0.0149367282508919	0.00193809109201461	1.49628181213462	0.667730475591185	1.584975272215	0.338266123498403	0.116219250814407	0.270418908614456	0.257408964808385	0.139735756718175	0.0740734989391339	0.0887882926347476	0.100232495035399	0.0423279749277012	0.0392039130627044	0	0.017217781045079	0.0098487121785965	0	0.00385640059577504	0.00624005858567297	0.00280063654704224	0.00299942268560281	0	0.00184383860441316	0.00171395582034444	0.000487174840002936	0.000487174840002936
"Paramonopsyllus_scalonae"	1.3891067412869	1.71761036947999	1.07539882407266	0.182580362615795	0.119023388480317	0.114559651027988	0.0613154232597233	0.0528080135086335	0	0.0224402973607893	0.001999034170366	1.47816375387816	0.655693734476462	0.568330805231566	1.33265307067462	0.140772232768315	0.263466593296156	0.251955562471947	0.146525315320969	0.0977192232011575	0.0912506111392098	0.0998890582854214	0.0432578196697557	0.039976993071314	0	0.018093381952497	0.0111335128592306	0	0.00477064818447724	0.00652789107383838	0.004207555755148	0.0037105041434823	0	0.00191266234654691	0.00212028808198986	0.000513338427290706	0.000513338427290706
"Citellophilus_tesquorum"	0.694369675689413	0.60594014889033	0.574150555670116	2.11083338783961	0.202862109885412	0.184223996852412	0.268066637052173	0.0634246131414711	0	0.0275754840849391	0.00539549615728621	0.691075738341659	0.405748662831848	0.231105202384289	0.166611877788885	2.45871648363646	0.125621939202476	0.142891377441882	0.202518491405702	0.155068805309538	0.204921904195913	0.116526781987387	0.0532196942065162	0.0714984207098599	0	0.0438479470672234	0.0337291064652414	0	0.0551540336822607	0.0218108554265274	0.00517040326592606	0.0428975817528696	0	0.00602112613193249	0.0245129038587821	0.00224427882183214	0.00224427882183214
"Wagnerina_tuvensis"	1.56740513980435	1.50615791789141	1.08643850904572	0.157188655667352	0.0924958912983615	0.1827069130798	0.0727608335296283	0.0542042514064985	0	0.01510784904369	0.00237614449635224	1.4726007699159	0.716683241501858	0.540837817228911	0.31362657932754	0.126346681159414	1.26628172604408	0.229837640526065	0.146189816448124	0.0756823708424749	0.121956261644154	0.101092594391356	0.0514044403745989	0.0475616271880319	0	0.0201228827630461	0.0111772100244741	0	0.00410718745453404	0.0063056478811032	0.00283272169569189	0.00319447913130426	0	0.00227246161420625	0.00182541664645955	0.000609160466759678	0.000609160466759679
"Paradoxopsyllus_dashidorzhii"	1.32397735487721	1.86831276320938	0.872904391523709	0.214017921042971	0.206123592732227	0.108794656301136	0.0621279046589691	0.0490420223705204	0	0.0296062145499333	0.00193528399710741	1.41802511047687	0.591222412768679	0.585788453830897	0.341270225755219	0.163527768932394	0.261522041736442	1.27381079785468	0.135823360170634	0.160244606196255	0.0913066582452768	0.102337335887079	0.0419029986565646	0.0377198387983603	0	0.0175962918075109	0.0133948026524786	0	0.0055920811627357	0.00677205812167998	0.00555116522811251	0.00434939645990555	0	0.00187483939512005	0.00248536940566028	0.000520140597144857	0.000520140597144857
"Frontopsylla_elatoides"	1.18624033644004	1.12557971060381	1.40047917316974	0.42674163220832	0.18031775323299	0.180514583189929	0.11754661237889	0.0903794878904847	0	0.0259098712964776	0.00313294485247673	1.37146338230353	0.688075671559115	0.432515437461017	0.269938006499046	0.315229675610661	0.226246144503049	0.184735939279702	1.18484959412921	0.140263308593286	0.143764759532041	0.100895079015409	0.0599838945880462	0.0550404010102256	0	0.0280570723791631	0.0182466118314346	0	0.0111503458738303	0.0090708742705732	0.00485810086808956	0.00867249123520135	0	0.00317717257013837	0.00495570927725785	0.000984111173404659	0.000984111173404659
"Nosopsyllus_laeviceps"	0.665610410777855	0.633788291102904	0.472043377200369	0.254099343171676	1.98195423025627	0.12735188855749	0.0977695003266083	0.0539516163734717	0	0.448092337913843	0.00218110958267685	0.647090852429748	0.318288629084668	0.229275115763986	0.180024402266418	0.24137197969312	0.117127478684783	0.21795174116574	0.140263308593286	2.61725553309104	0.167809151750222	0.118995452647444	0.0382474782641755	0.0326631302089405	0	0.0277758440915977	0.0609370809821104	0	0.00663936993448569	0.00532686448816355	0.084017313358846	0.0051639543934889	0	0.0023453120594454	0.00295083108199362	0.000818535351571604	0.000818535351571604
