"Aphloia_theiformis"	"Stillingia_lineata"	"Syzygium_coriaceum"	"Molinaea_macrantha"	"Casearia_coriacea"	"Gaertnera_sp1_M_PL_082"	"Syzygium_petrinese"	"Croton_grangeroides"	"Labourdonnaisia_callophylloides"	"Phyllanthus_phillyreifolius"	"Cordemoya_integrifolia"	"Erythroxylum_macrocarpum"	"Musca_domestica"	"Apis_mellifera"	"Technomyrmex_albipes"	"Brachymyrmex_sp1_M_PL_082"	"Chaetocnema_sp1_M_PL_082"	"Eristalinus_flaveolus"	"Chrysomya_megacephala"	"Dysauxes_florida"	"Villa_unifasciata"	"Panara_naso"	"Paragus_borbonicus"	"Stomorhina_lunata"	"Melanostoma_annulipes"	"Nacoleia_sp1_M_PL_082"	"Phorinia_sp1_M_PL_082"	"Sarcophaga_arno"	"Allograpta_nasuta"	"Episyrphus_sp1_M_PL_082"	"Hippotion_eson"	"Leptotes_pirithous"	"Lygaeidae_sp1_M_PL_082"	"Macroglossum_milvus"	"Mordellidae_sp1_M_PL_082"	"Ornidia_obesa"	"Orthellia_albigena"	"Stomoxys_calcitrans"	"Syritta_sp1_M_PL_082"
"Aphloia_theiformis"	2.08642148813875	0.682014341630296	0.46227174162547	0.439483303960745	0.470437250121915	0.234704105851185	0.267215003692771	0.161016891142994	0.189069361316953	0.109683201272699	0.0861325449882304	0.0747086609948334	0.970469190616645	0.838859038853541	0.604580206506844	0.385718684175929	0.344530179952922	0.373806346137426	0.174521433842843	0.0744185610023829	0.165614240818938	0.144444564563452	0.0550135777474169	0.116337501652592	0.0962963763756347	0.0330581945135349	0.0345058009987657	0.0380944460848186	0.0180533208078608	0.0162487457896974	0.0162487457896974	0.0180533208078608	0.0481481881878173	0.0481481881878173	0.0481481881878173	0.0211696762554862	0.0180533208078608	0.0162487457896974	0.0180533208078608
"Stillingia_lineata"	0.782310568340634	2.33749875124486	0.496298400340145	0.196326801750905	0.333138710196129	0.249831054202686	0.236021796669304	0.161321191950039	0.160099810750006	0.141145289123937	0.0713140444031332	0.0978514757650644	1.50101015343433	0.574446426267173	0.270079198175848	0.34683259661129	0.285256177612533	0.305331041061055	0.451178089420879	0.0792474224706047	0.0691512043824082	0.0541599624235823	0.139759914964434	0.0538082763659194	0.0361066416157216	0.0393125781073254	0.0830467603133075	0.0795766016949148	0.0618749669447169	0.017295996060186	0.017295996060186	0.061874966944717	0.0180533208078608	0.0180533208078608	0.0180533208078608	0.0149912419588258	0.0618749669447169	0.017295996060186	0.0618749669447169
"Syzygium_coriaceum"	0.783852083625797	0.733658504850648	2.41403381236825	0.183355551061068	0.290759078849598	0.201334832546825	0.178954420361304	0.129042581341399	0.112213470867853	0.099063844685223	0.0588454056518365	0.0780443085270397	1.18674242063842	0.47247493333777	0.252235149607818	1.54757287100124	0.235381622607346	0.284163465271799	0.15403149954808	0.0613149059856871	0.0673508412607871	0.0542666827125552	0.0500620914612314	0.0495993700021346	0.0361777884750368	0.0314985347487487	0.0342799488900065	0.0328419537143209	0.019420372187223	0.0139385653301648	0.0139385653301648	0.0194203721872231	0.0180888942375184	0.0180888942375184	0.0180888942375184	0.0130841585482319	0.019420372187223	0.0139385653301648	0.019420372187223
"Molinaea_macrantha"	0.81618327878424	0.317862440930037	0.200817984495455	3.09902468568125	0.190893811888022	0.113110184576997	0.111605108973165	0.098887592744975	0.077752587473666	0.153899830490857	0.0467005403286339	0.0364198483695508	0.452558304485638	0.342084197660437	2.88754718665145	0.163399518209939	0.186802161314535	0.151567430798588	0.0777330392664463	0.0586845079618196	0.0650952177584853	0.0565049962235243	0.0246032703260156	0.0460403806553369	0.0376699974823496	0.0160251709692487	0.0314989803629531	0.0167843889623119	0.0084140057893245	0.00783070508609979	0.00783070508609979	0.00841400578932451	0.0188349987411748	0.0188349987411748	0.0188349987411748	0.008590221534961	0.0084140057893245	0.0078307050860998	0.0084140057893245
"Casearia_coriacea"	0.917352637737733	0.566335807333419	0.334372940677037	0.200438502482423	1.91222531877821	0.236462298140812	0.428780580675761	0.108365483054603	0.376010049524677	0.0710809920290056	0.0578609999505451	0.0538722843526201	0.67146168116007	1.72926737503159	0.275735506060476	0.251685889282683	0.23144399980218	0.644046183557944	0.126108369967267	0.049673722704008	0.149559168111478	0.0635090287664584	0.0675834888701193	0.0744978960616543	0.0423393525109723	0.0284917307737034	0.0256533907631766	0.0471497855095078	0.0149912419588258	0.0163704667943639	0.0163704667943639	0.0149912419588258	0.0211696762554862	0.0211696762554862	0.0211696762554862	0.0860501393450194	0.0149912419588258	0.0163704667943639	0.0149912419588258
"Gaertnera_sp1_M_PL_082"	0.704112317553555	0.653404295607025	0.356207780659768	0.182716452008995	0.363788150985865	1.67739769794824	0.241104432990096	0.365475207264983	0.180077570823183	0.146107838398497	0.232108278559299	0.160657871937336	1.04122271762008	0.798669112803215	0.25135596572666	0.255514536862032	0.928433114237194	0.21174834137551	0.137320718210999	0.153487250375168	0.0651167041634562	0.0487462373690923	0.0525997492026902	0.0505803240536521	0.0324974915793949	0.152275554120779	0.0392121718199606	0.0353788285344432	0.0172959960601859	0.116127532934878	0.116127532934878	0.017295996060186	0.0162487457896974	0.0162487457896974	0.0162487457896974	0.0163704667943639	0.0172959960601859	0.116127532934878	0.0172959960601859
"Syzygium_petrinese"	0.868448762001506	0.668728423896362	0.342995972359167	0.195308940703039	0.714634301126268	0.261196469072604	1.49729447022503	0.123965416391165	0.37603468965963	0.0849094553729468	0.0631890706066061	0.0664519233225244	0.887162039670363	1.72147824780421	0.268678966046508	0.254827554987481	0.252756282426424	0.321940613439417	0.143952568528343	0.0573639682067615	0.0922819193815556	0.0601233758308735	0.0730067384663587	0.152379335820793	0.0400822505539157	0.0330345152218252	0.0304380530561398	0.129998720017075	0.0177016347501978	0.0180828324742572	0.0180828324742572	0.0177016347501978	0.0200411252769578	0.0200411252769578	0.0200411252769578	0.032158543550682	0.0177016347501978	0.0180828324742572	0.0177016347501978
"Croton_grangeroides"	0.627965875457678	0.548492052630133	0.296797937085217	0.207663944764448	0.216730966109206	0.475117769444477	0.148758499669398	1.88579120689639	0.098812854328084	0.272077578869647	0.348597102883742	0.136352106598428	0.866131590393688	0.423583243285122	0.285675267929928	0.214804357537353	1.39438841153497	0.157135088532697	0.116123871131394	0.719696471313146	0.0532274540835228	0.0434745606086085	0.0389190999838155	0.0401399278809439	0.028983040405739	0.0635719926384947	0.0553305441059506	0.0256757947507084	0.0145189072755035	0.0328927686538484	0.0328927686538484	0.0145189072755035	0.0144915202028695	0.0144915202028695	0.0144915202028695	0.00975289347491428	0.0145189072755035	0.0328927686538484	0.0145189072755035
"Labourdonnaisia_callophylloides"	0.819300565706798	0.6048215072778	0.286767758884515	0.181422704105221	0.835577887832616	0.260112046744597	0.50137958621284	0.109792060364538	1.47892364830203	0.0711201898940973	0.058813787250669	0.0551261521611272	0.676007569901711	2.06572892462205	0.249576206705595	0.217355425651956	0.235255149002676	0.344475083478374	0.130976803656699	0.0501931702153482	0.0943218133475537	0.056720808395086	0.179912326980204	0.0754173412293537	0.0378138722633907	0.0304111413185719	0.0266780095591152	0.0536134500409636	0.0160099810750006	0.0180077570823183	0.0180077570823183	0.0160099810750006	0.0189069361316953	0.0189069361316953	0.0189069361316953	0.0376010049524677	0.0160099810750006	0.0180077570823183	0.0160099810750006
"Phyllanthus_phillyreifolius"	0.712940808272545	0.799823305035642	0.379744737960022	0.538649406718	0.236936640096685	0.316566983196744	0.169818910745894	0.453462631449412	0.106680284841146	1.26936531356699	0.173788162706854	0.105380710146916	1.14096170336784	0.441276112446737	0.740999183844867	0.270658187626345	0.695152650827416	0.186985977029689	0.164655033771039	0.353651344356836	0.0600195893770655	0.0493574405727146	0.0530116152212956	0.0456413786877518	0.0329049603818098	0.0456268355428306	0.211576590403638	0.0339082116745325	0.0211717933685905	0.0219161757597746	0.0219161757597746	0.0211717933685905	0.0164524801909049	0.0164524801909049	0.0164524801909049	0.0106621488043508	0.0211717933685905	0.0219161757597746	0.0211717933685905
