"Clethrionomys_rutilus"	"Clethrionomys_rufocanus"	"Tamias_sibiricus"	"Apodemus_peninsulae"	"Microtus_maximowiczii"	"Sciurus_vulgaris"	"Megabothris_advenarius"	"Amphipsylla_marikovskii"	"Catallagia_dacenkoi"	"Catallagia_ioffi"	"Ceratophyllus_indages"	"Amalaraeus_ioffi"	"Catallagia_striata"	"Amalaraeus_penicilliger"	"Hystrichopsylla_microti"	"Neopsylla_acanthina"	"Peromyscopsylla_ostsibirica"	"Ctenophthalmus_pisticus"	"Rhadinopsylla_integella"	"Stenoponia_montana"	"Ctenophthalmus_congeneroides"	"Tarsopsylla_octodecimdentata"	"Frontopsylla_elata"	"Ctenophyllus_armatus"	"Megabothris_bispinosa"	"Nosopsyllus_fasciatus"	"Ceratophyllus_anisus"
"Clethrionomys_rutilus"	4.0269916831898	0.86743390178282	0.26418489567014	0.0813995310839459	0.0231478830101411	0	1.07513150043005	0.758052477579435	0.536009264957068	0.520148637777321	0.170283293373041	0.350713510768689	0.297268430474826	0.29350908611718	0.169830778666791	0.103127605587558	0.12030083686957	0.0534503821728566	0.123791347269305	0.093207680353875	0.0281083718727944	0	0.00947562206288285	0.011933230293554	0.0110299654957313	0.00635584158625038	0.00511424155438027
"Clethrionomys_rufocanus"	2.9601355942059	1.89659158967854	0.285424655922523	0.0959043435146386	0.0251017114152484	0	1.08400596633756	0.840945951878594	0.555873071786165	0.452745488890888	0.185396779147781	0.32145574183578	0.26398239258118	0.255762814263151	0.181219981016437	0.119798657268909	0.162788057548324	0.0560069883960351	0.107364310822304	0.0776081512767012	0.0278958922950894	0	0.0146146535342704	0.00877180350117459	0.0117452928080964	0.00510076571707325	0.00375934435764625
"Tamias_sibiricus"	1.4664675931977	0.464280837179456	3.20647873491578	0.110389825355053	0.015540904088859	0	0.525425936021323	0.309494871293874	0.21427245446233	0.241415848771423	1.86812563022408	0.135218876658282	0.113612569478706	0.111600437439566	0.0860088277036191	0.415765372399629	0.0791284029456297	0.500761404326308	0.0470091971691351	0.0350143542112553	0.019119270774437	0	0.00728321688391794	0.00434560011154538	0.00444542143910227	0.0169320129011953	0.00186240004780516
"Apodemus_peninsulae"	2.47222004406384	0.853548657280284	0.603990044442648	1.2287960561958	0.104603092754273	0	1.03838228242717	0.537723293734103	0.370336754734783	0.343177393548493	0.362824726555855	0.231538726518719	0.19409059847522	0.190391430939655	0.165719095148991	0.259047174173756	0.498842069119954	0.191233454266145	0.0801708189836422	0.0595401146081284	0.13801184922983	0	0.0516694384054918	0.00732595779755513	0.00769893868863009	0.00597829170808214	0.0031396961989522
"Microtus_maximowiczii"	2.13966953389391	0.679928965726076	0.258789837653609	0.318357238817351	1.8664123186459	0	0.835667222049175	0.452139197248382	0.312960333344957	0.290065237282229	0.160475687087484	0.197420041618399	0.165858751368126	0.162912028723727	0.110896969095335	0.10560511945287	0.170179446513048	0.0677100856046884	0.0686220918811258	0.0511063274580041	1.26247152533666	0	0.303267153691482	0.00634050708538648	0.0064934153953514	0.0039336048472751	0.00271736017945135
"Sciurus_vulgaris"	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0
"Megabothris_advenarius"	3.32711727789562	0.983021422166377	0.292923047301553	0.105803143769872	0.0279772141297395	0	1.9599567136731	0.686329684572808	0.477097302984008	0.445422635312515	0.185557402487722	0.303227788950948	0.255223576277983	0.250963290820761	0.153695685906164	0.1045927340372	0.125857648026396	0.05853734349913	0.10573982453112	0.0789324057034329	0.0310945800087706	0	0.0113599799372014	0.00985928450176031	0.0098825363775005	0.00560206948471546	0.00422540764361156
"Amphipsylla_marikovskii"	3.31608964471991	1.07800273255219	0.243902336842703	0.0774498571221959	0.021397534026158	0	0.970182084982549	1.70619423350791	0.488146771545322	0.448661753210175	0.157621082148439	0.307189915333424	0.257925620924734	0.253253698969854	0.156137914812232	0.097630926625637	0.120544839156475	0.0488439190867114	0.106666624235463	0.0793803816961929	0.0252361516964001	0	0.0100126689483287	0.00982660619084453	0.0101336190586192	0.00535767995430751	0.00421140265321908
"Catallagia_dacenkoi"	3.3714665600554	1.02458261456444	0.242799852245776	0.076696961039748	0.021296117357793	0	0.969721441272229	0.7018915117486	1.4871157080679	0.452160424219106	0.15683659187762	0.3087085878234	0.259653387322962	0.25521298112822	0.155546739581789	0.0967655883414538	0.11833947027246	0.0487112142469218	0.107519296508632	0.0801901008419147	0.0252471807974257	0	0.00974591908990267	0.00999070523440689	0.0100964888210707	0.00542282672608366	0.00428173081474581
"Catallagia_ioffi"	3.46657054518678	0.884202004949915	0.289850376424624	0.0753053841642462	0.0209137945375902	0	0.959264421503754	0.683541103636818	0.479091609360682	1.45618911960289	0.183616186081165	0.308857561818147	0.260864082269532	0.257032067159798	0.152649807963613	0.099894449756976	0.112128846612156	0.0559514739005908	0.108351308915326	0.081229395529743	0.0251225881416634	0	0.00904190276679845	0.0102725279561038	0.00989219670846878	0.00576473307143363	0.00440251198118736
"Ceratophyllus_indages"	1.40318713841506	0.447682920190184	2.77322525727062	0.0984408172825964	0.0143059721046982	0	0.494100525228933	0.296914131488921	0.205468093235022	0.227029315348417	2.61637418896122	0.129557721199952	0.108834115970543	0.106893917118996	0.08078328773556	0.362424889014757	0.0733882800552936	0.433556677316484	0.0450253547963397	0.0335282506666186	0.0175493094892181	0	0.00671072978687788	0.00415808041957425	0.00426352334358407	0.0148154690950021	0.00178203446553182
"Amalaraeus_ioffi"	3.46798569253132	0.93147407983112	0.240878277954056	0.0753847016572574	0.0211193532894102	0	0.968918562833961	0.694392087683926	0.485318617136322	0.458258428930181	0.155469265439943	1.31135555633653	0.262664795828972	0.258627909768709	0.154516351376921	0.0952573479495584	0.1144956250495	0.048479916495246	0.109005460690837	0.0816013999188086	0.0252664039566884	0	0.00928098772333273	0.0102767214783383	0.0100317727151791	0.00553637421888544	0.00440430920500214
"Catallagia_striata"	3.49167228281481	0.908624478331906	0.240406707791958	0.0750626623937313	0.0210759739307564	0	0.968721529850687	0.69255166723437	0.484877596216359	0.459754929524756	0.155133712267403	0.312005144216735	1.26340382028587	0.259465961391011	0.154263485622582	0.0948872133317327	0.113552313764226	0.0484231541214357	0.109370177624929	0.0819477443392808	0.0252711214783416	0	0.00916688973563445	0.010346912220947	0.010015890849629	0.00556423970908122	0.00443439095183442
"Amalaraeus_penicilliger"	3.50561975890519	0.895169849921028	0.240129031119964	0.0748730346391902	0.021050430677785	0	0.968605510077882	0.691467964603083	0.484617907985047	0.460636120359412	0.154936127060118	0.312387643821755	0.263838983212208	1.25995943490597	0.154114589600803	0.0946692653843684	0.112996859752497	0.0483897304905088	0.109584935454449	0.0821516838031614	0.025273899316759	0	0.00909970493037812	0.0103882429356081	0.0100065390629269	0.00558064786464946	0.00445210411526059
