"Guarea_guidonia"	"Cecropia_schreberiana"	"Schefflera_morototoni"	"Miconia_prasina"	"Cupania_americana"	"Alchornea_latifolia"	"Myrcia_sp1_M_SD_003"	"Byrsonima_coriacea"	"Clusia_rosea"	"Henriettea_fascicularis"	"Casearia_arborea"	"Ocotea_leucoxylon"	"Miconia_affinis"	"Phoradendron_sp1_M_SD_003"	"Psychotria_berteroana"	"Inga_vera"	"Ficus_sp1_M_SD_003"	"Myrcine_coriacea"	"Anthurium_scandens"	"Dendropanax_arboreus"	"Inga_laurina"	"Miconia_serrulata"	"Tournefortia_hisutissima"	"Unidentified_sp2_M_SD_003"	"Unidentified_sp3_M_SD_003"	"Loxigilla_portoricensis"	"Spindalis_portoricensis"	"Vireo_altiloquous"	"Turdus_plumbeus"	"Columba_squamosa"	"Coereba_flaveola"	"Tyrannus_dominicensis"	"Euphonia_musica"	"Margarops_fuscatus"	"Icterus_dominicensis"	"Zenaida_zenaida"	"Molothrus_bonariensis"	"Nesospingus_sp1_M_SD_003"	"Tiaris_bicolor"	"Todus_mexicanus"	"Unidentified_sp1_M_SD_003"
"Guarea_guidonia"	2.06143295448135	0.655365285573616	0.341481591854889	0.408667645574843	0.448511768574697	0.187460065413972	0.130630508861948	0.114897261017313	0.153423584810918	0.141150954394288	0.122603132359062	0.0554994733147079	0.102065397755723	0.0592668823621171	0.0622541023696743	0.0500081847260931	0.0225003552821241	0.0341635726165695	0.0255163494389309	0.0122459176435811	0.0153574984066889	0.0122459176435811	0.0122459176435811	0.0219176549729883	0.0122459176435811	2.26811995012719	0.789181359253006	0.584470799279689	0.1913690098049	0.160331811798045	0.171087968837064	0.220014609767968	0.0750011842737471	0.102045676478784	0.0511916613556297	0.0421785147181437	0.0192219329389156	0.0147457189254064	0.0147457189254064	0.0147457189254064	0.0183904698538593
"Cecropia_schreberiana"	0.704517681991637	1.89987807268251	0.551350196648622	0.513777086281781	0.342463961202953	0.122546229798288	0.162143441256594	0.110426717324139	0.0948211390358185	0.12065645530581	0.0873179179719793	0.0762254841857909	0.0673477930072145	0.0739641940404153	0.0791251219036837	0.058362397353057	0.0380848305257411	0.0343086015557436	0.0168369482518036	0.0207627245506267	0.0124068492056427	0.0207627245506267	0.0207627245506267	0.0135458770051169	0.0207627245506267	1.49661762238254	1.33804224881816	0.361223386803118	0.335651475705428	0.220206954314507	0.365576800477179	0.130651286998798	0.126949435085804	0.13697734444363	0.0413561640188091	0.0275729017046149	0.014677026908698	0.0427472566353564	0.0427472566353564	0.0427472566353564	0.0130976876957969
"Schefflera_morototoni"	0.524418158920008	0.78764313806946	1.86565497516089	0.518807485344621	0.282061744543431	0.0919034807438848	0.168902280936159	0.144853229348776	0.092778858244643	0.126504564001554	0.0864867569428222	0.13397902193616	0.0480311226294965	0.0392740566635458	0.0898571516082267	0.0639073612912758	0.0181775173374478	0.0392039129233284	0.0120077806573741	0.0259497903169509	0.0116520135595554	0.0259497903169509	0.0259497903169509	0.0132541226063776	0.0259497903169509	1.06735828065548	1.67231982042572	0.353443269503402	0.681193958259179	0.387050507815572	0.185584654151618	0.107455564471834	0.0605917244581592	0.0840987113147571	0.0388400451985181	0.0206782831673741	0.0120883604804327	0.0177219706065629	0.0177219706065629	0.0177219706065629	0.0129730135414233
"Miconia_prasina"	0.70290835038873	0.822043338050849	0.581064383585976	1.5810487372572	0.314652448405215	0.122572826458553	0.188817984548841	0.106269032338046	0.0851151707962882	0.123052627934674	0.0826981064888371	0.0643180139992491	0.0684740151895523	0.0488438629204883	0.0958418035381804	0.069600703624583	0.0211502394154002	0.0384004100273529	0.0171185037973881	0.0262410999135974	0.0120436262032938	0.0262410999135974	0.0262410999135974	0.0121593101137555	0.0262410999135974	1.52164478199005	1.69109310554295	0.324248269700146	0.271564777137178	0.185807595997831	0.270277544688831	0.122739416044627	0.0705007980513339	0.129863763255986	0.0401454206776461	0.0275788859531744	0.0134851049316521	0.0184959751061441	0.0184959751061441	0.0184959751061441	0.0124047159733256
"Cupania_americana"	0.918381240414856	0.652312307053244	0.376082326057907	0.374586248101447	1.6580266472047	0.152263215205963	0.11240361537203	0.111352997493331	0.157389902344289	0.143054798757793	0.141311900559011	0.0578661462523573	0.0791565138906284	0.0493858671998916	0.0554160416996164	0.0435404039572967	0.0197311591514897	0.0343599095057897	0.0197891284726571	0.0118756377423198	0.0367607033097901	0.0118756377423198	0.0118756377423198	0.0224842717634699	0.0118756377423198	1.75903364201396	0.765318876727274	0.599580580359197	0.254365730250911	0.167168866951254	0.271825967984593	0.485990360242893	0.0657705305049655	0.0747064984173171	0.1225356776993	0.0342592234213417	0.0710582848802016	0.014677026908698	0.014677026908698	0.014677026908698	0.0211967850838517
"Alchornea_latifolia"	1.0075978516001	0.612731148991442	0.321662182603597	0.383040082682977	0.399690939915653	1.4344414872177	0.120011082124599	0.110998534556001	0.152399502085344	0.13412260054492	0.11253341981456	0.052540697286278	0.0977565828922796	0.0564093355105675	0.058915912461982	0.0474236568823447	0.0213134598583317	0.0332636130204007	0.0244391457230699	0.0114922555796374	0.0141262792053889	0.0114922555796374	0.0114922555796374	0.0217713574407634	0.0114922555796374	2.17236850871732	0.740612026243297	0.58056953175369	0.179124714460239	0.151784236604803	0.158343265340668	0.161836197954353	0.071044866194439	0.0759528487792913	0.0470875973512963	0.322749334623982	0.0171296117106708	0.0137864508523075	0.0137864508523075	0.0137864508523075	0.0168800129721839
"Myrcia_sp1_M_SD_003"	0.702138985132973	0.81071720628297	0.591157983276556	0.590056201715128	0.295059490351579	0.120011082124599	1.20540764885892	0.106418958053763	0.0841065765081384	0.121871205318945	0.0811019905921759	0.0645879559466376	0.0669548902231356	0.0479244086318764	0.0974297570530835	0.0705327455539837	0.0207904573840617	0.0389122367145482	0.0167387225557839	0.0268970114990999	0.0116361212461364	0.0268970114990999	0.0268970114990999	0.0120152252154483	0.0268970114990999	1.48788644940301	1.73336296327533	0.320406005745289	0.273053039176211	0.186587428290286	0.195462819971764	0.117429603458885	0.0693015246135389	0.208028590288076	0.0387870708204548	0.0270024934780348	0.0126454067293534	0.0182411371413668	0.0182411371413668	0.0182411371413668	0.0121652985888264
"Byrsonima_coriacea"	0.705797460534925	0.631009813280793	0.579412917395104	0.379532258350164	0.334058992479993	0.126855468064001	0.121621666347158	1.26123735857255	0.196043335572582	0.101053380840908	0.149453098212746	0.291099676575612	0.058528835987966	0.0400480631724852	0.0624310951110707	0.0464981330730443	0.0169439027836625	0.0439391528341096	0.0146322089969915	0.0159329620380264	0.0112230376027876	0.0159329620380264	0.0159329620380264	0.0280061907960832	0.0159329620380264	1.30064079973258	1.02679088689504	0.746831754562218	0.256142420202139	0.840954621218436	0.155343996119793	0.137863858488362	0.0564796759455416	0.0705135453502371	0.0374101253426253	0.0285424803144002	0.0143168139634283	0.0141977207988178	0.0141977207988178	0.0141977207988178	0.0224179647319118
"Clusia_rosea"	0.942459163838498	0.541835080204677	0.371115432978572	0.303982752843886	0.472169707032868	0.174170859526107	0.0961218017235867	0.196043335572582	1.44169943244292	0.0961331147586311	0.146045316377265	0.0731568936609246	0.0606410732413225	0.0388341960202081	0.0475275479849181	0.0367384547600556	0.0157826184732517	0.0738890121452796	0.0151602683103306	0.0107890932248625	0.0133955410210936	0.0107890932248625	0.0107890932248625	0.0630999189204171	0.0107890932248625	1.34757940536272	0.695297118935583	1.68266450454446	0.188456787855875	0.211342137242671	0.147697472511242	0.182773643930706	0.0526087282441722	0.0658655498811834	0.0446518034036455	0.0391884433933741	0.0202358445871229	0.0121912893046052	0.0121912893046052	0.0121912893046052	0.0219067974565897
"Henriettea_fascicularis"	0.867070148422052	0.68946545889034	0.506018256006214	0.439473671195265	0.429164396273379	0.153282972051337	0.139281377507365	0.101053380840908	0.0961331147586311	1.19675894330722	0.0984395017240461	0.0593553762086282	0.0868078944820525	0.0535443484205027	0.0705167054559128	0.0542451281774462	0.0212282498666597	0.0300048793868424	0.0217019736205131	0.0162715772784665	0.0707925069192863	0.0162715772784665	0.0162715772784665	0.0137333021083759	0.0162715772784665	1.92906432182339	1.04861275794562	0.36622138955669	0.381449410456883	0.171471086824926	0.177018433781863	0.161418444001721	0.0707608328888657	0.0806641326333675	0.235975023064288	0.0344886687115509	0.0183927598402877	0.0155129728250327	0.0155129728250327	0.0155129728250327	0.0147659252586069
