"Miconia_argentea"	"Miconia_lacera"	"Miconia_minutiflora"	"Miconia_impetiolaris"	"Pipra_mentalis"	"Pipra_coronata"	"Catharus_ustulatus"	"Tachyphonus_luctuosus"	"Eucometis_penicillata"	"Euphonia_fulvicrissa"	"Manacus_vitellinus"	"Mionectes_oleagineus"	"Catharus_minimus"	"Dendroica_pensylvanica"	"Catharus_fuscescens"	"Dendroica_striata"	"Empidonax_virescens"	"Habia_fuscicauda"	"Leptotila_cassinii"	"Oryzoborus_angolensis"	"Ramphocelus_dimidiatus"	"Schiffornis_turdinus"	"Seiurus_aurocapillus"
"Miconia_argentea"	2.91105133497808	0.899614157791309	0.827844406229771	0.624647995737682	1.59772998159276	1.00967085129608	0.638629382679124	0.448148692358468	0.361765617781877	0.0991411520831239	0.136064712223327	0.0869878767457521	0.0507865736850125	0.0689459526705335	0.0165235253471873	0.0344729763352667	0.0165235253471873	0.0344729763352667	0.0344729763352667	0.0344729763352668	0.0344729763352667	0.0170358544292095	0.0165235253471873
"Miconia_lacera"	1.39531991820693	2.23211549775008	0.91009846788913	0.725624010890702	1.62154606387009	1.40825399500819	0.471336134281576	0.214805829513435	0.185024999223438	0.24598823852756	0.154622621706691	0.0753174911511432	0.101498189535382	0.0330470506943746	0.0409980397545934	0.0165235253471873	0.0409980397545934	0.0165235253471873	0.0165235253471873	0.0165235253471873	0.0165235253471873	0.0197897457515646	0.0409980397545933
"Miconia_minutiflora"	1.49800416365387	1.06178154587065	1.96415618746418	0.739215997748143	1.6952215875402	1.41622544479322	0.559394018907198	0.230613798878293	0.197555666208602	0.117012660157174	0.114804138638111	0.122078081612753	0.0810932812123379	0.0354790459812759	0.0195021100261957	0.0177395229906379	0.0195021100261957	0.0177395229906379	0.017739522990638	0.017739522990638	0.0177395229906379	0.0201604363022221	0.0195021100261956
"Miconia_impetiolaris"	1.43858326291103	1.07744171314074	0.940820360770364	1.80631255791471	1.65938069259956	1.53238104693917	0.418833817076959	0.221466107579724	0.219621614053405	0.118738474509388	0.172177339884169	0.106619796794964	0.0597399278053513	0.034071708858419	0.0197897457515646	0.0170358544292095	0.0197897457515646	0.0170358544292095	0.0170358544292095	0.0170358544292095	0.0170358544292095	0.0492630697613104	0.0197897457515646
"Pipra_mentalis"	1.75981853044999	1.15153271202369	1.03187400980708	0.793616852982399	2.47419467668947	1.16385090620859	0.487880705988914	0.270919431661381	0.230043658806876	0.126903604998529	0.127269306210324	0.0867072241209485	0.0644127875906136	0.0416799125632893	0.0211506008330881	0.0208399562816447	0.0211506008330881	0.0208399562816447	0.0208399562816447	0.0208399562816447	0.0208399562816447	0.0216440959904291	0.0211506008330881
"Pipra_coronata"	1.42101823515744	1.2778601065815	1.10150867928361	0.936455084240601	1.48714282459986	2.26943960065563	0.447625109532149	0.218762017780817	0.193818159331666	0.140825399500819	0.131676863108114	0.0895750464636945	0.0705455572468265	0.0336556950432026	0.0234708999168031	0.0168278475216013	0.0234708999168031	0.0168278475216013	0.0168278475216013	0.0168278475216013	0.0168278475216013	0.0255396841156528	0.0234708999168031
"Catharus_ustulatus"	2.11025361233102	1.00415089477379	1.02150212148271	0.600935476675638	1.46364211796674	1.05094590933635	1.53652458636592	0.324867990319381	0.266287603455712	0.110661527179153	0.119645165272513	0.0851576571223231	0.0587765069010137	0.0499796908183662	0.0184435878631921	0.0249898454091831	0.0184435878631921	0.0249898454091831	0.0249898454091831	0.0249898454091831	0.0249898454091831	0.016389149363881	0.0184435878631921
"Tachyphonus_luctuosus"	2.61994620148027	0.809652742012178	0.745059965606794	0.562183196163914	1.43795698343348	0.90870376616647	0.574766444411212	1.40333382312262	0.325589056003689	0.0892270368748114	0.122458241000994	0.0782890890711769	0.0457079163165113	0.0620513574034801	0.0148711728124686	0.0310256787017401	0.0148711728124686	0.0310256787017401	0.0310256787017401	0.0310256787017401	0.0310256787017401	0.0153322689862886	0.0148711728124686
"Eucometis_penicillata"	2.49947154103842	0.82420226926804	0.754303452796478	0.658864842160216	1.44300113251586	0.951470963991813	0.556783170861944	0.384787066186178	1.31395909206227	0.090830454164233	0.125412910536881	0.0798953370752034	0.0464404634718117	0.0591980101824889	0.0151384090273722	0.0295990050912445	0.0151384090273722	0.0295990050912445	0.0295990050912445	0.0295990050912445	0.0295990050912445	0.0179690411498241	0.0151384090273722
"Euphonia_fulvicrissa"	1.25578792638624	2.00890394797507	0.819088621100218	0.653061609801633	1.45939145748308	1.26742859550737	0.424202520853419	0.193325246562092	0.166522499301094	1.2213894146748	0.139160359536022	0.0677857420360289	0.0913483705818441	0.0297423456249372	0.036898235779134	0.0148711728124686	0.036898235779134	0.0148711728124686	0.0148711728124686	0.0148711728124686	0.0148711728124686	0.0178107711764082	0.036898235779134
"Manacus_vitellinus"	1.72348635482881	1.26275141060464	0.803628970466779	0.946975369362929	1.46359702141872	1.18509176797303	0.458639800211298	0.265326188835488	0.229923669317616	0.139160359536021	1.13885940214426	0.0806775494075578	0.0636074073077239	0.0408194136669981	0.0231933932560036	0.0204097068334991	0.0231933932560036	0.0204097068334991	0.0204097068334991	0.0204097068334991	0.0204097068334991	0.0258266009826254	0.0231933932560036
"Mionectes_oleagineus"	1.65276965816929	0.922639266601504	1.28181985693391	0.879613323558454	1.49569961608636	1.20926312725988	0.489656528453358	0.254439539481325	0.219712176956809	0.101678613054043	0.121016324111337	1.0984968632724	0.0613604393808839	0.0391445445355885	0.0169464355090072	0.0195722722677942	0.0169464355090072	0.0195722722677942	0.0195722722677942	0.0195722722677942	0.0195722722677942	0.0239894542788669	0.0169464355090072
