"Cordia_nodosa"	"Hirtella_myrmecophila"	"Maieta_guianensis"	"Myrcia_madida"	"Hirtella_physophora"	"Tococa_bullifera"	"Tachigalia_spp."	"Duroia_saccifera"	"Azteca_r.am.1"	"Allomerus_octoarticulatus"	"Pheidole_minutula"	"Myrcidris_sp."	"Crematogaster_laevis"	"Pseudomyrmex_concolor"	"Allomerus_septemarticulatus"	"Crematogaster_brasiliensis"	"Solenopsis_sp2"	"Pseudomyrmex_nigriceps"
"Cordia_nodosa"	5.26315789473684	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0
"Hirtella_myrmecophila"	0	5.02631578947368	0	0	0.236842105263158	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0
"Maieta_guianensis"	0	0	4.89061278304997	0	0	0.372545111686878	0	0	0	0	2.64093090284698	0	1.65575605194168	0	0	0	0.440155150474497	0
"Myrcia_madida"	0	0	0	5.26315789473684	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0
"Hirtella_physophora"	0	4.02631578947368	0	0	1.23684210526316	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0
"Tococa_bullifera"	0	0	3.72545111686878	0	0	1.53770677786806	0	0	0	0	2.01174360310914	0	2.38980790163583	0	0	0	0.335290600518191	0
"Tachigalia_spp."	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	4.06015037593985	0	0.338345864661654	0	0.338345864661654
"Duroia_saccifera"	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	4.73684210526316	0	0	0
"Azteca_r.am.1"	4.73684210526316	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0
"Allomerus_octoarticulatus"	0	4.47368421052632	0	0	0.263157894736842	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0
"Pheidole_minutula"	0	0	4.40155150474497	0	0	0.33529060051819	0	0	0	0	3.37683781256228	0	1.49018044674751	0	0	0	0.396139635427047	0
"Myrcidris_sp."	0	0	0	4.73684210526316	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0
"Crematogaster_laevis"	0	0	4.1393901298542	0	0	0.597451975408957	0	0	0	0	2.23527067012127	0	2.6553421129287	0	0	0	0.372545111686878	0
"Pseudomyrmex_concolor"	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	4.65413533834586	0	0.304511278195488	0	0.304511278195489
"Allomerus_septemarticulatus"	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	5.26315789473684	0	0	0
"Crematogaster_brasiliensis"	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	3.65413533834586	0	1.30451127819549	0	0.304511278195489
"Solenopsis_sp2"	0	0	4.40155150474497	0	0	0.33529060051819	0	0	0	0	2.37683781256228	0	1.49018044674751	0	0	0	1.39613963542705	0
"Pseudomyrmex_nigriceps"	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	3.65413533834586	0	0.304511278195489	0	1.30451127819549
