"Phoenicophorium_borsigianum"	"Nephrosperma_vanhoutteanum"	"Erythroxylum_sechellarum"	"Memecylon_eleagni"	"Canthium_bibracteatum"	"Alstonia_macrophylla"	"Lasioglossum_mahense"	"Rhiparida_seychellensis"	"Apis_mellifera"	"Phelsuma_sp1_M_PL_097"	"Unidentified_sp1_M_PL_097"	"Cratopus_aurostriatus"	"Eagris_sabadius"	"Hemipyrellia_germana"	"Hemipyrellia_sp1_M_PL_097"	"Neophyllomyza_approximatonervis"	"Rhynchium_brunneum"
"Phoenicophorium_borsigianum"	3.57338211931219	0.933085423955299	0.535634271222374	0.186285422898574	0.0347706573484046	0	1.61722190733802	2.55521296750817	0.348196658461167	0.040634365236763	0.0390868251973084	0.0580268027089132	0	0.0135447884122545	0.0440553959915203	0.0104311972045214	0.0104311972045214
"Nephrosperma_vanhoutteanum"	1.09863283788285	2.76307901899296	1.01646798439567	0.324382483298923	0.0605955701664371	0	2.81836729685228	0.785597727910752	0.810489938311031	0.120327634698081	0.0741746907531979	0.0378734746596736	0	0.0401092115660267	0.0135447884122544	0.0181786710499311	0.0181786710499311
"Erythroxylum_sechellarum"	1.05679194051982	1.70327067655491	2.11076889561603	0.334163490248091	0.0581628917979919	0	2.70522072295993	0.755678620481295	0.936996212266748	0.0741746907531979	0.15402908157198	0.038091203501043	0	0.0247248969177325	0.0130289417324362	0.0174488675393976	0.0174488675393976
"Memecylon_eleagni"	1.13323632263299	1.6759761637111	1.03033742826495	1.36693012036959	0.0566778597582141	0	2.63615023275427	0.810341589608797	0.953379464287163	0.0729860587422578	0.0751867853058205	0.116491165745112	0	0.0243286862474191	0.0139714067173931	0.0170033579274642	0.0170033579274642
"Canthium_bibracteatum"	0.846085995477846	1.25230845010637	0.717342332175233	0.226711439032857	2.22070967794454	0	2.1765634652873	0.605009437862241	0.459916356192472	0.0545360131497934	0.0523466026181927	0.0274345551319856	0	0.0181786710499312	0.0104311972045214	0.666212903383363	0.666212903383363
"Alstonia_macrophylla"	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	4.73684210526316	0	0	0	0
"Lasioglossum_mahense"	1.2973318597327	1.92020629016309	1.09992490933536	0.347624206517047	0.0717548395149659	0	3.33739731344052	0.927681138055436	0.705205079495124	0.0836218868296832	0.0802647906812288	0.0420663178690446	0	0.0278739622765609	0.0159945023802662	0.0215264518544898	0.0215264518544898
"Rhiparida_seychellensis"	3.21604390738097	0.83977688155977	0.482070844100136	0.167656880608717	0.0312935916135642	0	1.45549971660422	3.29969167075735	0.313376992615051	0.0365709287130867	0.0351781426775775	0.0522241224380219	0	0.0121903095710292	0.0396498563923684	0.00938807748406926	0.00938807748406926
"Apis_mellifera"	0.977629079525585	1.93270677597246	1.3334176866873	0.44002129120946	0.0530672718683622	0	2.46821777823293	0.699071752756651	1.79739534469822	0.0841662628246072	0.0973034528123161	0.0450545580951345	0	0.0280554209415356	0.0120529612544251	0.0159201815605087	0.0159201815605087
"Phelsuma_sp1_M_PL_097"	0.988769554094567	2.48677111709366	0.914821185956107	0.291944234969031	0.0545360131497934	0	2.53653056716706	0.707037955119677	0.729440944479928	1.10829487122827	0.0667572216778781	0.0340861271937062	0	0.036098290409424	0.012190309571029	0.016360803944938	0.016360803944938
"Unidentified_sp1_M_PL_097"	0.951112746467837	1.53294360889942	1.89969200605443	0.300747141223282	0.0523466026181927	0	2.43469865066394	0.680110758433166	0.843296591040073	0.0667572216778782	1.13862617341478	0.0342820831509387	0	0.0222524072259592	0.0117260475591926	0.0157039807854578	0.0157039807854578
"Cratopus_aurostriatus"	2.11797829887533	1.17407771444988	0.704687264769295	0.698946994470673	0.0411518326979785	0	1.91401746304153	1.51449955070264	0.585709255236749	0.0511291907905594	0.051423124726408	1.07853308580431	0	0.0170430635968531	0.0261120612190111	0.0123455498093935	0.0123455498093935
"Eagris_sabadius"	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	5.26315789473684	0	0	0	0
"Hemipyrellia_germana"	0.988769554094567	2.48677111709366	0.914821185956107	0.291944234969031	0.0545360131497934	0	2.53653056716706	0.707037955119677	0.729440944479928	0.108294871228273	0.0667572216778781	0.0340861271937062	0	1.03609829040942	0.012190309571029	0.016360803944938	0.016360803944938
"Hemipyrellia_sp1_M_PL_097"	3.21604390738097	0.83977688155977	0.482070844100136	0.167656880608717	0.0312935916135642	0	1.45549971660422	2.29969167075735	0.313376992615051	0.0365709287130867	0.0351781426775775	0.0522241224380219	0	0.0121903095710291	1.03964985639237	0.00938807748406926	0.00938807748406926
"Neophyllomyza_approximatonervis"	0.761477395930062	1.12707760509573	0.64560809895771	0.204040295129571	1.99863871015009	0	1.95890711875857	0.544508494076017	0.413924720573225	0.049082411834814	0.0471119423563734	0.0246910996187871	0	0.0163608039449381	0.00938807748406928	1.59959161304503	0.599591613045027
"Rhynchium_brunneum"	0.761477395930062	1.12707760509573	0.64560809895771	0.204040295129571	1.99863871015009	0	1.95890711875857	0.544508494076017	0.413924720573225	0.049082411834814	0.0471119423563734	0.0246910996187871	0	0.0163608039449381	0.00938807748406928	0.599591613045027	1.59959161304503
