"Pittosporum_senacia"	"Aphloia_theiformis"	"Embelia_angustifolia"	"Stillingia_lineata"	"Memecylon_ovatifolium"	"Syzygium_coriaceum"	"Diospyros_revaughanii"	"Gaertnera_sp1_M_PL_068"	"Casearia_coriacea"	"Calophyllum_eputamen"	"Olea_lancea"	"Labourdonnaisia_callophylloides"	"Tabernaemontana_persicarifolia"	"Antidesma_madagascariense"	"Euodia_chapelieri"	"Turraea_rigida"	"Warneckea_trinervis"	"Xylopia_lamarckii"	"Technomyrmex_albipes"	"Brachymyrmex_sp1_M_PL_068"	"Apis_mellifera"	"Paragus_borbonicus"	"Nacoleia_sp1_M_PL_068"	"Stomorhina_lunata"	"Chrysomya_megacephala"	"Chaetocnema_sp1_M_PL_068"	"Episyrphus_sp1_M_PL_068"	"Graphomya_maculata"	"Melanostoma_annulipes"	"Villa_unifasciata"	"Allograpta_nasuta"	"Musca_domestica"	"Pachycerina_crinicornis"	"Ahasverus_advena"	"Cheloninae_sp1_M_PL_068"	"Eristalinus_flaveolus"	"Ischiodon_aegyptius"	"Orthellia_albigena"	"Phorinia_sp1_M_PL_068"	"Siphona_sp1_M_PL_068"	"Unidentified_sp1_M_PL_068"	"Cephonodes_trochilus"	"Cerambycidae_sp1_M_PL_068"	"Drosophila_sp1_M_PL_068"	"Henotesia_narcissus"	"Hyadina_sp1_M_PL_068"	"Hyperaspis_hottentota"	"Macroglossum_milvus"	"Nacoleia_sp2_M_PL_068"	"Panara_naso"	"Papillio_manlius"	"Pelecophora_intemipta"	"Phelsuma_cepediana"	"Polistes_hebraeus"	"Sapromyza_sp1_M_PL_068"	"Sarcophaga_arno"	"Scolia_oryctophaga"	"Zosterops_mauritianus"
"Pittosporum_senacia"	2.49329274195884	0.922677795886694	0.0308327052794727	0.425473255132004	0.262799524140589	0.172694526597952	0.180434345707235	0.119922255378913	0.252508554061063	0.107823218788572	0.0588461504873599	0.0780827222191041	0.0420601092557519	0.0141273599441062	0.0393136534013626	0.0393136534013626	0	0.0229553230964603	2.47407371150738	0.0270379107835376	0.527101754269074	0.27391809475067	0.151883727867993	0.138692399219012	0.122098283237621	0.0680697235377612	0.0921293556928524	0.0685890843941047	0.0928527918641551	0.145860836317696	0.0475848277738282	0.0478657412023505	0.0288826025523949	0.017653845146208	0.034600417345751	0.0223281068964647	0	0.0258294205734041	0.0449658980618075	0.0239328706011753	0.0659989255224392	0.00899416915341849	0.0173002086728758	0.0173002086728756	0.00899416915341849	0.00423820798323187	0.0119664353005876	0.00899416915341849	0.0103616715958771	0.00899416915341849	0.0089941691534185	0.00423820798323187	0.0135325759280426	0.0173002086728756	0.0119664353005876	0.0103616715958771	0.0173002086728759	0.0140548899994387
"Aphloia_theiformis"	1.30712687750615	2.08409617198353	0.0304067510401501	0.419595336373364	0.356392306816463	0.207300161445964	0.171080920242313	0.0960758199305473	0.229535734464144	0.0885936603980666	0.0565291052750663	0.0761792993710083	0.0317937783238409	0.0139321902759216	0.0368264481695121	0.0368264481695121	0	0.0208668849512858	2.24898648919414	0.0266643816813624	0.51425259258729	0.320928329665179	0.114810866169425	0.248933491619227	0.127183724910572	0.0596099378130341	0.0974884777065797	0.0720804947155191	0.188382520512246	0.0805914481712534	0.0556775452844834	0.0472044753420034	0.0284835890085509	0.0169587315825199	0.0781536064493824	0.0242391285222587	0	0.0231917323152523	0.0291013275083764	0.0236022376710017	0.0346004173457505	0.00720568649479105	0.0390768032246914	0.0390768032246913	0.00720568649479104	0.00417965708277649	0.0118011188355009	0.00720568649479105	0.0124380096867579	0.00720568649479105	0.00720568649479105	0.00417965708277649	0.0128310690181734	0.0390768032246913	0.0118011188355009	0.0124380096867579	0.0390768032246915	0.0137122738867815
"Embelia_angustifolia"	0.0537595886924139	0.0374236935878771	4.89530307418112	0.134169446134184	0.018445681543743	0.0209074814828765	0.00548527095960752	0.00327808671018084	0.00853996252044236	0.0057979026833877	0.00409144142599624	0.00241845292160955	0.0011100443722784	0.0690853550595769	0.00128302611620832	0.00128302611620832	0	0.000776360229131124	0.0836743802507989	4.29280423428191	0.0163259008058209	0.0255974466830954	0.0040084935665609	0.00821150425540554	0.0240543122579041	0.00407748253386213	0.00486180231533001	0.0176029604680409	0.00446688835802765	0.0035915405026726	0.00920714268398473	0.0150940626900957	0.141241170344024	0.00122743242779887	0.00140338850954539	0.00502796456149652	0	0.00451896030324521	0.00448503964051176	0.00754703134504786	0.00142304793597564	0.000245856503263563	0.000701694254772701	0.000701694254772699	0.000245856503263563	0.0207256065178731	0.00377351567252393	0.000245856503263563	0.00125444888897259	0.000245856503263563	0.000245856503263563	0.0207256065178731	0.000411395321970564	0.000701694254772699	0.00377351567252393	0.00125444888897259	0.000701694254772708	0.00043532152588972
"Stillingia_lineata"	0.904130667155509	0.629393004560045	0.163519012476037	2.2564664982696	0.310220125672869	0.351622764262741	0.0922514813238984	0.0551309784237176	0.143625392211755	0.0975093327299534	0.0688100068487998	0.0406736269135107	0.0186687655782216	0.0749234271211273	0.0215779786758128	0.0215779786758128	0	0.0130568538374323	1.4072386913677	0.143393595555909	0.274569578125594	0.430498765150158	0.0674149868102447	0.138101369474163	0.404546275719083	0.0685752457063705	0.0817659635769832	0.296047212766859	0.0751242866525617	0.0604026554104873	0.154846051838223	0.253852481055329	0.153176784336527	0.0206430020546399	0.0236022376710017	0.0845604861195969	0	0.0760000344719693	0.07542955556442	0.126926240527665	0.0239328706011749	0.00413482338177882	0.011801118835501	0.0118011188355009	0.00413482338177882	0.0224770281363382	0.0634631202638324	0.00413482338177882	0.0210973658557645	0.00413482338177882	0.00413482338177882	0.0224770281363382	0.00691886109929237	0.0118011188355009	0.0634631202638324	0.0210973658557645	0.0118011188355011	0.00732125284443193
"Memecylon_ovatifolium"	0.893518382078002	0.855341536359511	0.0359690790102989	0.496352201076591	1.85347213078535	0.397166416182744	0.168432588674404	0.0880269092039069	0.128061044795126	0.0787290046586809	0.0808324386088662	0.0757981162968711	0.0282920813222626	0.0164808154662573	0.0275216185273878	0.0275216185273878	0	0.0116419131631933	1.25473952981083	0.0315421154398005	0.511679395068489	0.643866790168067	0.102165849219281	0.505011829624631	0.111623066324742	0.0667414991709096	0.42885720801303	0.103499592563046	0.230963106997645	0.0574262149442793	0.19473230308124	0.0558396226211165	0.0336941116199039	0.0242497315826599	0.0320753076134817	0.0377898906262438	0	0.0240822062542524	0.0257858842416056	0.0279198113105582	0.0236519571726527	0.00660201819029302	0.0160376538067409	0.0160376538067409	0.00660201819029302	0.0049442446398772	0.0139599056552791	0.00660201819029302	0.0238299849709646	0.00660201819029302	0.00660201819029302	0.0049442446398772	0.0126324441505803	0.0160376538067409	0.0139599056552791	0.0238299849709646	0.016037653806741	0.0136436609334368
"Syzygium_coriaceum"	0.782881853910714	0.663360516627086	0.0543594518554789	0.750128563760514	0.529555221576992	1.87161553788583	0.0956489304932568	0.0545834482941493	0.11199506704578	0.0839699933592476	0.131147730796646	0.0424851016265857	0.0181739371360695	0.0249071735926442	0.0190819985222043	0.0190819985222043	0	0.0101813697314346	1.09732540438795	0.0476690577809584	0.28679803881369	1.2134585842385	0.0656281063246953	0.281198895875005	0.149383876417222	0.0914049048684861	0.1295115964507	0.308983327969358	0.0974120086889607	0.0522428283868402	0.0898547016534582	0.0843894634230578	0.0509213326782948	0.0393443192389938	0.0248760193735157	0.133394298128914	0	0.0318935078590963	0.0314590374516416	0.0421947317115289	0.020723343191754	0.0040937586220612	0.0124380096867579	0.0124380096867579	0.00409375862206119	0.00747215207779326	0.0210973658557645	0.0040937586220612	0.11229693227315	0.0040937586220612	0.0040937586220612	0.00747215207779326	0.00717366978699426	0.0124380096867579	0.0210973658557645	0.11229693227315	0.012438009686758	0.00764731829278542
"Diospyros_revaughanii"	1.022461292341	0.684323680969251	0.0178271306187244	0.246003950197062	0.280720981124007	0.119561163116571	1.61607525840148	0.455819384100133	0.127541313550877	0.109914426564725	0.052333376465447	0.223791113165377	0.170064069172128	0.00816828392898077	0.058478903076408	0.058478903076408	0	0.0115946648682616	1.2496472135793	0.0156330222348814	1.51071434226249	0.189507823246103	0.61412024978824	0.121660166612589	0.0678768115419703	0.0659455839415592	0.0766947966809441	0.0420227839711581	0.0765891643738544	0.0682621585562065	0.0391026104997453	0.0276754443971695	0.0166996026992496	0.0157000129396341	0.0256621380363469	0.0140925308862866	0	0.0210507159433284	0.020451437027335	0.0138377221985848	0.0270651518560848	0.03418645380751	0.0128310690181736	0.0128310690181735	0.03418645380751	0.00245048517869423	0.00691886109929238	0.03418645380751	0.00717366978699426	0.03418645380751	0.03418645380751	0.00245048517869423	0.121205644380111	0.0128310690181735	0.00691886109929238	0.00717366978699426	0.0128310690181736	0.0402824003697678
"Gaertnera_sp1_M_PL_068"	0.679559447147175	0.384303279722189	0.0106537818080877	0.147015942463247	0.146711515339845	0.0682293103676866	0.455819384100133	2.57471003854514	0.0792380042217573	0.0579095155782605	0.028282081566365	0.104536318429222	0.455896694550154	0.00488149868798668	0.0291038136401726	0.0291038136401726	0	0.00720345492925067	0.776372364597016	0.00934254712401539	0.705678225129708	0.108163570654654	1.64629361920889	0.0659265955526905	0.0410087959388825	0.0350634641421933	0.0420042601048836	0.0247268107712377	0.0420267823597503	0.0434221857594503	0.0214736831441437	0.0165392935271153	0.00997995287321722	0.00848462446990949	0.0144113729895821	0.00822858200384002	0	0.0115803325275552	0.0131289925351973	0.00826964676355765	0.0179883383068367	0.193103252890885	0.00720568649479109	0.00720568649479107	0.193103252890885	0.00146444960639601	0.00413482338177882	0.193103252890885	0.0040937586220612	0.193103252890885	0.193103252890885	0.00146444960639601	0.03418645380751	0.00720568649479106	0.00413482338177882	0.0040937586220612	0.00720568649479117	0.0188165373172599
"Casearia_coriacea"	1.5609619705593	1.00161047766172	0.0302780489361138	0.417819322797833	0.232838263263866	0.152720545971518	0.139135978419139	0.0864414591510079	1.28877712791453	0.0931529987356234	0.0506442674575118	0.0609446361189643	0.0296663769470798	0.0138732197466475	0.0390203674409708	0.0390203674409708	0	0.0262524661740477	2.82943246542514	0.0265515198362844	0.411410151934186	0.234358933724064	0.10712858342001	0.13667262781729	0.109946997965106	0.058720362725335	0.073048400021184	0.0653311393313385	0.096076229518377	0.0946159772704084	0.044457780601126	0.0470046738147563	0.0283630270375904	0.0151932802372536	0.0375603929123145	0.0209144012119802	0	0.0237279825768406	0.0324109592405033	0.0235023369073781	0.0413195815736278	0.00648310943632559	0.0187801964561575	0.0187801964561574	0.00648310943632559	0.00416196592399424	0.0117511684536891	0.00648310943632559	0.00916323275829111	0.00648310943632559	0.00648310943632559	0.00416196592399424	0.0104351983814354	0.0187801964561574	0.0117511684536891	0.00916323275829111	0.0187801964561577	0.0109700345014136
"Calophyllum_eputamen"	1.04742555394613	0.607499385586742	0.0323026006645886	0.445756949622644	0.224940013310517	0.179935700055531	0.188424731253814	0.099273455277018	0.146383283727408	1.54942420388272	0.534865809537591	0.0846979110632493	0.0320163011688491	0.0148008571606978	0.0310517836156969	0.0310517836156969	0	0.0133075712479462	1.43426045672309	0.0283268959674084	0.571757954071968	0.293465377777927	0.115614420887511	0.106970098917204	0.100475084001389	0.838324664360965	0.0644744882676827	0.0717399408392111	0.0658070551169522	0.254663624447616	0.0453184296142203	0.0501476568325475	0.0302595301952043	0.160459742861277	0.0227812269595028	0.0233330562114687	0	0.211748597564487	0.0263998994809533	0.0250738284162737	0.0277259705456325	0.00744550914577635	0.0113906134797516	0.0113906134797515	0.00744550914577634	0.00444025714820934	0.0125369142081369	0.00744550914577635	0.0107961420033318	0.00744550914577635	0.00744550914577635	0.00444025714820933	0.014131854844036	0.0113906134797515	0.0125369142081369	0.0107961420033318	0.0113906134797516	0.0152456239913849
