"Nephrosperma_vanhoutteanum"	"Phoenicophorium_borsigianum"	"Erythroxylum_sechellarum"	"Memecylon_eleagni"	"Canthium_bibracteatum"	"Paragenipa_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"	"Megachile_seychellensis"	"Chalcidoma_disjunctum"	"Unidentified_sp3_M_PL_091"	"Cratopus_aurostriatus"	"Hemipyrellia_germana"	"Ceratina_tabescens"	"Neophyllomyza_approximatonervis"	"Phelsuma_sp1_M_PL_091"	"Tricimba_seychellensis"	"Polistes_olivaceus"	"Rhiparida_seychellensis"	"Unidentified_sp1_M_PL_091"	"Unidentified_sp4_M_PL_091"	"Geron_seychellarum"	"Lygistorrhina_sp1_M_PL_091"	"Melanostoma_annulipes"	"Unidentified_sp2_M_PL_091"
"Nephrosperma_vanhoutteanum"	2.52149392510902	0.94945970506285	0.837266608992615	0.452569465125136	0.213585013448199	0.288783176999017	1.93887327305468	1.29141978657874	0.173416536754675	0.171500007836894	0.166734387230549	0.125050790422912	0.165466025858444	0.0480566280258448	0.103786204895058	0.103786204895058	0.0679380451596533	0.0416835968076373	0.0621026080874209	0.047175837859655	0.0825216193672045	0.0412608096836022	0.0235481233779173	0.0412608096836022	0.0412608096836022
"Phoenicophorium_borsigianum"	1.27366545801114	2.52445019566923	0.721673440606755	0.360175334512389	0.132575453621888	0.25061801231544	1.48329347479162	1.21262187307059	0.102872860332362	0.136487495183642	0.443318083141914	0.332488562356435	0.173354915996934	0.0298294770649248	0.187086079582036	0.187086079582036	0.0960088914268692	0.110829520785479	0.0762565587965579	0.040802175615601	0.0416835968076373	0.0208417984038187	0.020297065517065	0.0208417984038187	0.0208417984038187
"Erythroxylum_sechellarum"	1.43905198420606	0.924644095777404	1.94858391812388	0.4690635149458	0.165765884275175	0.316048497408524	2.00197597753437	1.3618753900686	0.126115764273182	0.17775038461104	0.16237652413652	0.12178239310239	0.111238501167882	0.0372973239619144	0.0844393199291122	0.0844393199291122	0.129904910911533	0.04059413103413	0.0438451888949823	0.080662436121568	0.0470962467558346	0.0235481233779173	0.0548039226972342	0.0235481233779173	0.0235481233779173
"Memecylon_eleagni"	1.31006950430961	0.777220458684628	0.7900017093824	1.96554827385853	0.159174451265259	0.261143497236424	1.99126068668812	1.05536277989153	0.119926692699991	0.744839345883231	0.136487495183642	0.102365621387732	0.0984343767347457	0.0358142515346832	0.0726203116734775	0.0726203116734775	0.0614985330507152	0.0341218737959105	0.038498437877567	0.0435850842139056	0.0428750019592235	0.0214375009796117	0.02221879807638	0.0214375009796117	0.0214375009796117
"Canthium_bibracteatum"	0.734198483728184	0.339724599906088	0.33153176855035	0.189019660877495	3.55982725932438	0.108856122350344	0.84408807094194	0.433256062224962	2.21465727371342	0.0716285030693665	0.0596589541298496	0.0447442155973872	0.050957209551846	0.800961133347986	0.0343862648051548	0.0343862648051548	0.0261060312471884	0.0149147385324624	0.0194715262726924	0.0182307410009613	0.0240283140129224	0.0120141570064612	0.00932433099047861	0.0120141570064612	0.0120141570064612
"Paragenipa_wrightii"	1.44391588499508	0.934121682266639	0.919413810642979	0.451066040681096	0.158336177964137	1.35630429818691	1.84565807173937	1.55558775255638	0.121598224597047	0.170930289100205	0.164040880788288	0.123030660591216	0.111893363642285	0.0356256400419307	0.0851430447773457	0.0851430447773457	0.0722221369472036	0.041010220197072	0.0441328245802737	0.136828865094172	0.0472554289634754	0.0236277144817377	0.0258585134243338	0.0236277144817377	0.0236277144817377
"Apis_mellifera"	1.66621921903137	0.950234882288379	1.00098798876719	0.591155516360534	0.211022017735485	0.317222481080205	2.70762340061973	1.14538808248158	0.157835278876163	0.224016827252413	0.166870515914057	0.125152886935543	0.123513845185509	0.0474799539904841	0.0898418488701028	0.0898418488701028	0.0771643888574113	0.0417176289785142	0.0481242198915886	0.054107353817912	0.054530810804663	0.0272654054023315	0.0281527871840771	0.0272654054023315	0.0272654054023315
"Lasioglossum_mahense"	1.61427473322343	1.1299431089976	0.9904548291408	0.455724836771341	0.157547658990895	0.388896938139094	1.66601902906411	2.18638807563396	0.123898018726091	0.172695727618613	0.198429033775188	0.148821775331391	0.12885347262022	0.0354482232729515	0.10082629239117	0.10082629239117	0.0805167133610685	0.049607258443797	0.0512190339473728	0.0596753824627836	0.0528308094509486	0.0264154047254743	0.027856542069585	0.0264154047254743	0.0264154047254743
"Megachile_seychellensis"	0.794825793458929	0.351482272802236	0.336308704728485	0.189883930108318	2.95287636495123	0.11146503921396	0.841788154006202	0.454292735329	2.84009849107017	0.0719560156199944	0.0617237161994171	0.0462927871495628	0.0544496498196562	0.664397182114027	0.036152633831382	0.036152633831382	0.0266328291659044	0.0154309290498543	0.0207217047815278	0.0185785491652672	0.0260124805132013	0.0130062402566006	0.00945868232048865	0.0130062402566006	0.0130062402566006
"Chalcidoma_disjunctum"	1.17906255387865	0.699498412816165	0.711001538444159	1.76899344647267	0.143257006138733	0.235029147512782	1.7921346180193	0.949826501902373	0.107934023429992	1.67035541129491	0.122838745665278	0.0921290592489584	0.0885909390612711	0.0322328263812149	0.0653582805061298	0.0653582805061298	0.0553486797456437	0.0307096864163195	0.0346485940898103	0.039226575792515	0.0385875017633011	0.0192937508816505	0.019996918268742	0.0192937508816505	0.0192937508816505
