"Microtus_arvalis"	"Apodemus_sylvaticus"	"Prometheomys_schaposchnikowi"	"Apodemus_mystacinus"	"Microtus_majori"	"Dryomys_nitedula"	"Cricetulus_migratorius"	"Sorex_araneus"	"Chionomys_nivalis"	"Myoxus_glis"	"Ctenophthalmus_proximus"	"Ctenophthalmus_hypanis"	"Ctenophthalmus_inornatus"	"Megabothris_turbidus"	"Ctenophthalmus_shovi"	"Amphipsylla_rossica"	"Myoxopsylla_jordani"	"Nosopsyllus_fasciatus"	"Leptopsylla_segnis"	"Leptopsylla_taschenbergi"	"Hystrichopsylla_talpae"	"Amphipsylla_georgica"	"Hystrichopsylla_satunini"	"Rhadinopsylla_integella"	"Ceratophyllus_sciurorum"	"Amalaraeus_penicilliger"	"Ctenophthalmus_euxinicus"	"Palaeopsylla_caucasica"
"Microtus_arvalis"	3.17186184725305	0.940008948205229	0.399980075656141	0.215963034128162	0.266678090538091	0.0552924527988297	0.152275129522472	0.0269052842055019	0.0318874726360354	0.00230555979333323	0.721991128331048	1.41670440212222	0.413356389136045	0.802164666197054	0.363210703938336	0.601625624634728	0.0602007279370343	0.0713985037490785	0.0597547966455782	0.045379742327149	0.077198105638239	0.0411481977282021	0.0211008592547711	0.0100800653170523	0.00648282033244986	0.015627786473692	0.00455547025114091	0.00486211524933739
"Apodemus_sylvaticus"	0.986829317272922	2.99670586704589	0.19686666829848	0.492042718461787	0.317035706636357	0.102297058124188	0.0842551658096344	0.0629965616553061	0.0194676906233741	0.0046611408088993	2.03083481724608	0.501008711374211	0.209707196179961	0.514861799351937	0.439736533751748	0.221772593193391	0.121707565565704	0.206897158068589	0.154285805931299	0.144668559098767	0.0420565253020581	0.0313076268043468	0.0479031074158956	0.0186858248625889	0.0206669370141096	0.00486211524933739	0.0103790260925533	0.0155002027605822
"Prometheomys_schaposchnikowi"	0.836599547555592	0.392230537602315	3.67744110303085	0.0823977400444419	0.0926906472672366	0.0209153795420746	0.10585780742335	0.0101934612543222	0.0439491302138516	0.000882540802810532	0.290664573999167	0.461433265268484	3.17876573246289	0.277902646356233	0.116419120028569	0.240003528880076	0.023044120962275	0.0289781730730182	0.0235771684072917	0.0189352673325256	0.0214947455140867	0.0277043562622696	0.00810512598075418	0.00922045449594631	0.0027050381903608	0.00412193207737245	0.00173807732906245	0.0020287786427706
"Apodemus_mystacinus"	0.924591739861193	2.00661171122698	0.168657874153467	1.55304655894977	0.323440878246875	0.125546596238959	0.0732232954725957	0.0660611416851891	0.0161853103488914	0.00579278855292116	2.03811084639766	0.481210663932802	0.177887205997596	0.45477093988839	0.458623272497623	0.201243966037339	0.151256145548497	0.267588140189767	0.204480185553713	0.0968709101971644	0.0357174123812573	0.0251472774736746	0.0693748340920246	0.0130275314223719	0.0138387014567378	0.00455547025114092	0.0327595758528468	0.0103790260925533
"Microtus_majori"	1.40518840014302	1.59127537369402	0.233509130615538	0.398081080919231	1.36944296673354	0.0756068472181893	0.111623940745919	0.0532056709931897	0.0219308556640056	0.0032936280101897	1.44532738193741	0.699342117639994	0.242664322015086	0.751410217157315	0.654839315727614	0.317819367469323	0.0860002869327311	0.124292460918408	0.136306502971027	0.0768201904541943	0.0619339173782134	0.0332743927743596	0.0604667678051242	0.0118194201638126	0.0109743129220278	0.00692337350435428	0.00839702280064003	0.00823073469152081
"Dryomys_nitedula"	0.352328652718124	0.620919352800302	0.0637189469770179	0.186860050216125	0.0914315361708336	3.7633627139279	0.0316514055248051	0.0151234759231574	0.00626544153371023	0.13149631894487	0.472750629844109	0.172038020508498	0.0668832612892219	0.226335209988574	0.115540121743243	0.0755938812096649	3.43351499467162	0.0518244141695234	0.0396592473980388	0.0299754170317387	0.0123164660427251	0.0100202808897489	0.0129818952966071	0.00423690589398173	0.00428220243310553	0.00173592584368419	0.00394157918424639	0.00321165182482915
"Cricetulus_migratorius"	1.77546321230457	0.935770139417641	0.5901009690408	0.199416634478559	0.246997656118629	0.0579153377687923	1.39859929371548	0.0244254964310659	0.032082528952491	0.00238662650881592	0.700316379621924	0.914170111717692	0.650823942939075	0.909554459760104	0.272599537749823	0.602238309940995	0.0623174699524156	0.0694341269306419	0.057375956586979	0.0451751101787827	0.0470219373710977	0.35138874542401	0.02008801595444	0.0100900587503421	0.00645358716839752	0.00874772020661012	0.00420644463353209	0.00484019037629814
"Sorex_araneus"	0.921505984038439	2.05526282400436	0.166917928039526	0.528489133481512	0.345836861455733	0.0812886830869712	0.0717498957662561	1.07242893069025	0.0159862449320919	0.00369140924169466	2.15985952681184	0.459536133215527	0.17644326978204	0.439727051328054	0.544978684891885	0.201284201900431	0.0963867968664717	0.162045786090207	0.240822437362941	0.0992195846071073	0.03629079684134	0.0249482574514389	0.0415599968248231	0.0132466007682207	0.0141742263724439	0.00454026670967844	0.0111478176593757	0.0106306697793329
"Chionomys_nivalis"	1.58857590950431	0.923830409581933	1.04678837418447	0.1883381567871	0.207346271732417	0.0489843610817345	0.13707989643337	0.0232527199012245	1.09689602301401	0.00206577251628102	0.677339868957895	0.919010917018804	1.20336070366599	0.65369946131386	0.247746432670131	0.509417258963843	0.0539396157028933	0.0676481215037394	0.054623491216537	0.0445987094280933	0.0422837940654485	0.0373097665332925	0.0186440941230916	0.184270509646212	0.00637124420401333	0.00782692510157232	0.00397275799472788	0.00477843315301
"Myoxus_glis"	0.315861691686652	0.608278875561359	0.0578064225840898	0.185369233693477	0.0856343282649323	2.82717085731471	0.028042861478587	0.0147656369667786	0.00568087441977281	1.13454711276648	0.463283354270986	0.15544619232946	0.0608017374113909	0.196173742178735	0.110500947049494	0.0681794414327091	3.5131746111247	0.0510133618261792	0.0388889279944577	0.0293651870960656	0.0113721650460921	0.00907839590229124	0.0126804920145188	0.00407586767833349	0.00419502672800937	0.00155625286049993	0.00391013227322178	0.00314627004600703
