"Marmota_caudata"	"Apodemus_uralensis"	"Spermophilus_fulvus"	"Ellobius_tancrei"	"Cricetulus_migratorius"	"Alticola_argentatus"	"Dryomys_nitedula"	"Microtus_juldaschi"	"Citellophilus_lebedewi"	"Oropsylla_silantiewi"	"Pectinoctenus_nemorosa"	"Citellophilus_transcaucasicus"	"Amphipsylla_dumalis"	"Leptopsylla_taschenbergi"	"Amphipsylla_kuznetzovi"	"Ctenophthalmus_dux"	"Callopsylla_caspia"	"Ceratophyllus_sciurorum"	"Amalaraeus_penicilliger"	"Leptopsylla_nana"	"Frontopsylla_elata"	"Ctenophthalmus_assimilis"	"Neopsylla_mana"	"Frontopsylla_protera"	"Amphipsylla_phaiomydis"	"Ophthalmopsylla_praefecta"	"Amphipsylla_schelkovnikovi"	"Ctenophthalmus_dilatatus"	"Neopsylla_pleskei"	"Ctenophthalmus_golovi"	"Amphipsylla_primaris"	"Rhadinopsylla_li"
"Marmota_caudata"	5.26315789473684	0	0	0	0	0	0	0	2.8025137470542	1.928672427337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00565593087195582
"Apodemus_uralensis"	0	4.63905057863134	0	0.260714647525947	0.145094311923887	0.0997563777011967	0.0867863024327816	0.0317556765216884	0	0	2.8184251194354	0	0.358321705380569	0.395710117055401	0.287215800744273	0.0782143942577841	0.116206909261185	0.0938961104678639	0.0730444451422397	0.0765121984697525	0.0443493378182394	0.0594319892860131	0.0726814500714	0.0646057333968001	0.0565300167222002	0.0416384674546665	0.0174113174308665	0.0248570920646333	0.0248570920646333	0.0242271500237999	0.00870565871543313	0
"Spermophilus_fulvus"	0	0	5.26315789473684	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ellobius_tancrei"	0	2.49610134760953	0	2.57152840739738	0.0780698768821234	0.053675213191158	0.04669649592836	0.0170865537282899	0	0	1.51649019977593	0	1.65154814757424	0.21291696214619	0.154540187726094	0.771458522219214	0.0625266351146271	0.0505220203792811	0.0393025113359998	0.0411683810020589	0.0238627365701966	0.0319781528641362	0.039107197128892	0.0347619530034596	0.0304167088780272	0.0224041176021521	0.00936838522585481	0.0133746808637923	0.0133746808637923	0.0130357323762973	0.00468419261292735	0
"Cricetulus_migratorius"	0	2.500458642155	0	0.140525778387823	2.20905725266452	0.218835473739293	0.0467780112030486	0.147502736587168	0	0	1.5191374458431	0	0.193136200975609	0.213288638528115	0.439436499376508	0.0421577335163468	0.0812057724459866	0.0506102136427619	0.0393711193748647	0.398007886921885	0.574424561615634	0.110265788740884	0.0391754642194496	0.034822634861733	0.0304698055040164	0.278145358392892	0.265086870319742	0.141249093875304	0.141249093875304	0.0130584880731498	0.132543435159871	0
"Alticola_argentatus"	0	3.22337795446992	0	0.181153844520158	0.410316513261174	1.34700415187605	0.0603022211700741	0.0410032094394722	0	0	1.95834238974662	0	0.248974712854403	0.274953516038923	0.946123320257474	0.0543461533560475	0.224484818280055	0.0652423696104385	0.0507538881452436	0.387068596144056	0.110776926014524	0.0526584068921449	0.0505016662112307	0.0448903699655385	0.0392790737198463	0.0660718703284178	0.0492379815913409	0.0358415832870551	0.0358415832870551	0.0168338887370769	0.0246189907956704	0
"Dryomys_nitedula"	0	2.80428239735925	0	0.157600673758215	0.0877087710057158	0.060302221170074	2.13406768706521	0.019196144378378	0	0	1.70372359963354	0	0.216603642051028	0.239204746080354	0.173620485618468	0.0472802021274645	0.0702464835356049	0.759301680479259	1.21505826250971	0.0462512334614999	0.0268089483548852	0.0359263341862466	0.0439355656065956	0.0390538360947517	0.0341721065829078	0.0251702410562178	0.0105250525206859	0.0150259852840309	0.0150259852840309	0.0146451885355318	0.00526252626034289	0
"Microtus_juldaschi"	0	2.73628079361881	0	0.153778983554609	0.737513682935838	0.109341891838592	0.0511897183423413	1.47505282444665	0	0	1.66240966591038	0	0.211351177089097	0.233404222434409	0.256491535536272	0.0461336950663826	0.0742245320491339	0.0553833417665662	0.0430842710023267	0.154282384017072	0.619519131238596	0.908848452059256	0.0428701633042793	0.038106811826026	0.0333434603477728	0.10279169638706	0.0885016419523006	0.0537775239326568	0.0537775239326568	0.0142900544347597	0.0442508209761502	0
"Citellophilus_lebedewi"	4.73684210526316	0	0	0	0	0	0	0	3.52226237234878	1.7358051846033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00509033778476024
"Oropsylla_silantiewi"	4.73684210526316	0	0	0	0	0	0	0	2.52226237234878	2.7358051846033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00509033778476014
"Pectinoctenus_nemorosa"	0	4.17514552076821	0	0.234643182773352	0.130584880731498	0.089780739931077	0.0781076721895034	0.0285801088695195	0	0	3.53658260749186	0	0.322489534842512	0.356139105349861	0.258494220669846	0.0703929548320057	0.104586218335066	0.0845064994210775	0.0657400006280157	0.0688609786227772	0.0399144040364155	0.0534887903574118	0.06541330506426	0.0581451600571201	0.0508770150499803	0.0374746207091998	0.0156701856877798	0.02237138285817	0.02237138285817	0.0218044350214199	0.00783509284388977	0
"Citellophilus_transcaucasicus"	0	0	4.73684210526316	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_dumalis"	0	3.03692330625826	0	1.46202622900015	0.0949850168732501	0.0653048427159089	0.0568140700461713	0.0207886403694194	0	0	1.84506307639404	0	2.00938357954866	0.259048970611198	0.188023895066747	0.438607868700044	0.0760740727227964	0.0614684581281253	0.0478180554587998	0.0500881968858384	0.0290329961604058	0.0389067526513657	0.0475804231734853	0.0422937094875425	0.0370069958015998	0.0272583430826184	0.01139820202479	0.0162725283842807	0.0162725283842807	0.0158601410578284	0.00569910101239495	0
"Leptopsylla_taschenbergi"	0	4.17514552076821	0	0.234643182773352	0.130584880731498	0.089780739931077	0.0781076721895034	0.0285801088695195	0	0	2.53658260749186	0	0.322489534842512	1.35613910534986	0.258494220669846	0.0703929548320057	0.104586218335066	0.0845064994210775	0.0657400006280157	0.0688609786227772	0.0399144040364155	0.0534887903574118	0.06541330506426	0.0581451600571201	0.0508770150499802	0.0374746207091998	0.0156701856877798	0.02237138285817	0.02237138285817	0.0218044350214199	0.00783509284388982	0
"Amphipsylla_kuznetzovi"	0	3.71226422461974	0	0.208629253430227	0.329577374532381	0.37844932810299	0.0694481942473873	0.0384737303304408	0	0	2.25536207534441	0	0.28673643997679	0.316655420320562	1.41702330971799	0.062588776029068	0.126586171129286	0.0751376096924624	0.0584516758143938	0.160437127070014	0.0906406889869036	0.0553960157819952	0.0581611996507153	0.0516988441339692	0.0452364886172232	0.0589363514941241	0.0395492849438857	0.0326993535054352	0.0326993535054352	0.0193870665502384	0.0197746424719428	0
"Ctenophthalmus_dux"	0	2.24649121284858	0	2.31437556665764	0.070262889193911	0.0483076918720422	0.042026846335524	0.0153778983554609	0	0	1.36484117979833	0	1.48639333281682	0.191625265931571	0.139086168953484	1.69431266999729	0.0562739716031644	0.045469818341353	0.0353722602023999	0.037051542901853	0.0214764629131769	0.0287803375777225	0.0351964774160028	0.0312857577031137	0.0273750379902245	0.0201637058419369	0.00843154670326933	0.0120372127774131	0.0120372127774131	0.0117321591386676	0.00421577335163462	0
"Callopsylla_caspia"	0	4.00526480586884	0	0.225095886412658	0.162411544891973	0.239450472832059	0.0749295824379785	0.0296898128196536	0	0	2.43337267992921	0	0.309367895739372	0.341648313227883	0.33756312301143	0.0675287659237973	1.11757956741733	0.0810680505181864	0.0630651337883762	0.106127746343694	0.0478857146199696	0.0526759604701476	0.0627517310010396	0.0557793164453687	0.0488069018896977	0.04040662905405	0.0194893853870367	0.0236895218048606	0.0236895218048606	0.0209172436670132	0.00974469269351829	0
"Ceratophyllus_sciurorum"	0	3.46744922227755	0	0.19487065003437	0.108450457805918	0.0745627081262154	0.867773349119153	0.023735717899957	0	0	2.10662630699686	0	0.267826853272546	0.295772747973771	0.214678884835607	0.058461195010311	0.0868586255551998	1.34116293356833	0.506231044469754	0.0571888921195941	0.0331488252434074	0.044422323390359	0.0543256067706926	0.0482894282406157	0.0422532497105388	0.031122590526941	0.0130140549367102	0.018579384528509	0.018579384528509	0.0181085355902308	0.00650702746835501	0
"Amalaraeus_penicilliger"	0	2.90492139527215	0	0.163256585549538	0.0908564293266106	0.062466323871069	1.49545632308887	0.0198850481549201	0	0	1.76486617070596	0	0.224377029460522	0.247789233136367	0.179851310198135	0.0489769756648613	0.072767462063511	0.545171894044351	1.85636495111319	0.0479110797709101	0.0277710574848626	0.0372156445191119	0.0455123081270878	0.0404553850018558	0.0353984618766239	0.0260735408948892	0.0109027715191933	0.0155652320100606	0.0155652320100606	0.0151707693756959	0.00545138575959658	0
"Leptopsylla_nana"	0	3.04283127760477	0	0.171007121085475	0.918479739050504	0.476392118331146	0.0569245950295384	0.0712072541617256	0	0	1.84865242610379	0	0.235029231541241	0.259552919424314	0.493652698676967	0.0513021363256426	0.122455091935031	0.0615880376672552	0.0479110797709101	1.26614818090448	0.241797313620639	0.0692093442750266	0.0476729852003841	0.042375986844786	0.0370789884891878	0.126108563752855	0.11021756868606	0.0657027810542267	0.0657027810542267	0.0158909950667947	0.0551087843430301	0
"Frontopsylla_elata"	0	2.29286076520298	0	0.128858777479062	1.7232736848469	0.177243081623238	0.0428943173678164	0.371711478743158	0	0	1.3930127008709	0	0.177101276578476	0.195580579778436	0.362562755947615	0.0386576332437185	0.0718285719299545	0.0464083553407705	0.0361023747303214	0.31433650770683	1.5250991279862	0.242984089264102	0.035922963632774	0.0319315232291325	0.0279400828254909	0.218767163392553	0.206792842181628	0.111379301898097	0.111379301898097	0.0119743212109246	0.103396421090814	0
"Ctenophthalmus_assimilis"	0	3.4140376067632	0	0.191868917184817	0.367552629136279	0.0936149455860353	0.0638690385533273	0.605898968039504	0	0	2.07417642608186	0	0.263701323525923	0.291216747501464	0.246204514586645	0.0575606751554451	0.087793267450246	0.0691013919405584	0.0537559309720505	0.0999690528417051	0.269982321404558	1.39325537546671	0.0534887903574118	0.0475455914288105	0.0416023925002092	0.0619359122821573	0.0441063154963535	0.0339395556053794	0.0339395556053794	0.0178295967858038	0.0220531577481767	0
"Neopsylla_mana"	0	4.17514552076821	0	0.234643182773352	0.130584880731498	0.089780739931077	0.0781076721895034	0.0285801088695195	0	0	2.53658260749186	0	0.322489534842512	0.356139105349861	0.258494220669846	0.0703929548320057	0.104586218335066	0.0845064994210775	0.0657400006280157	0.0688609786227772	0.0399144040364155	0.0534887903574118	1.06541330506426	0.0581451600571201	0.0508770150499802	0.0374746207091998	0.0156701856877798	0.02237138285817	0.02237138285817	0.0218044350214199	0.00783509284388982	0
"Frontopsylla_protera"	0	4.17514552076821	0	0.234643182773352	0.130584880731498	0.089780739931077	0.0781076721895034	0.0285801088695195	0	0	2.53658260749186	0	0.322489534842512	0.356139105349861	0.258494220669846	0.0703929548320057	0.104586218335066	0.0845064994210775	0.0657400006280157	0.0688609786227772	0.0399144040364155	0.0534887903574118	0.0654133050642601	1.05814516005712	0.0508770150499802	0.0374746207091998	0.0156701856877798	0.02237138285817	0.02237138285817	0.0218044350214199	0.00783509284388982	0
"Amphipsylla_phaiomydis"	0	4.17514552076821	0	0.234643182773352	0.130584880731498	0.089780739931077	0.0781076721895034	0.0285801088695195	0	0	2.53658260749186	0	0.322489534842512	0.356139105349861	0.258494220669846	0.0703929548320057	0.104586218335066	0.0845064994210775	0.0657400006280157	0.0688609786227772	0.0399144040364155	0.0534887903574118	0.0654133050642601	0.0581451600571201	1.05087701504998	0.0374746207091998	0.0156701856877798	0.02237138285817	0.02237138285817	0.0218044350214199	0.00783509284388982	0
"Ophthalmopsylla_praefecta"	0	3.0752982391518	0	0.17283176435946	1.19205153596954	0.151021417893527	0.0575319795570693	0.088107168331766	0	0	1.86837751821582	0	0.237536989719961	0.262322344964399	0.336779151394995	0.0518495293078379	0.0865856336872501	0.0622451810538822	0.0484222902333657	0.23420161839816	0.312524519132219	0.0796318872199167	0.0481816551975427	0.0428281379533713	0.0374746207091999	1.15910673604886	0.143046184316344	0.082230126646515	0.082230126646515	0.0160605517325142	0.0715230921581721	0
"Amphipsylla_schelkovnikovi"	0	2.2504127779395	0	0.12647320054904	1.98815152739806	0.196951926365364	0.0421002100827437	0.132752462928451	0	0	1.36722370125879	0	0.173822580878048	0.191959774675303	0.395492849438857	0.0379419601647121	0.073085195201388	0.0455491922784857	0.0354340074373782	0.358207098229696	0.516982105454071	0.0992392098667954	0.0352579177975047	0.0313403713755597	0.0274228249536148	0.250330822553603	1.23857818328777	0.127124184487774	0.127124184487774	0.0117526392658348	0.119289091643884	0
"Ctenophthalmus_dilatatus"	0	3.21277914935385	0	0.180558191661196	1.05936820406478	0.14336633314822	0.0601039411361236	0.0806662858989853	0	0	1.95190315437533	0	0.24815605786028	0.274049440012582	0.326993535054352	0.0541674574983589	0.0888357067682271	0.0650278458497816	0.050587004032697	0.213534038426237	0.278448254745243	0.0763640001121036	0.0503356114308824	0.0447427657163399	0.0391499200017975	0.143902721631401	0.127124184487774	1.07474778367297	0.0747477836729719	0.0167785371436274	0.0635620922438868	0
"Neopsylla_pleskei"	0	3.21277914935385	0	0.180558191661196	1.05936820406478	0.14336633314822	0.0601039411361236	0.0806662858989852	0	0	1.95190315437533	0	0.24815605786028	0.274049440012582	0.326993535054352	0.0541674574983589	0.0888357067682272	0.0650278458497816	0.050587004032697	0.213534038426237	0.278448254745243	0.0763640001121036	0.0503356114308824	0.0447427657163399	0.0391499200017975	0.143902721631401	0.127124184487774	0.0747477836729719	1.07474778367297	0.0167785371436274	0.0635620922438868	0
"Ctenophthalmus_golovi"	0	4.17514552076821	0	0.234643182773352	0.130584880731498	0.089780739931077	0.0781076721895034	0.0285801088695195	0	0	2.53658260749186	0	0.322489534842512	0.356139105349861	0.258494220669846	0.0703929548320057	0.104586218335066	0.0845064994210775	0.0657400006280157	0.0688609786227772	0.0399144040364155	0.0534887903574118	0.0654133050642601	0.0581451600571201	0.0508770150499801	0.0374746207091998	0.0156701856877798	0.02237138285817	0.02237138285817	1.02180443502142	0.00783509284388982	0
"Amphipsylla_primaris"	0	2.2504127779395	0	0.12647320054904	1.98815152739806	0.196951926365364	0.0421002100827437	0.132752462928451	0	0	1.36722370125879	0	0.173822580878048	0.191959774675303	0.395492849438857	0.0379419601647121	0.073085195201388	0.0455491922784857	0.0354340074373782	0.358207098229696	0.516982105454071	0.0992392098667954	0.0352579177975047	0.0313403713755597	0.0274228249536148	0.250330822553603	0.238578183287768	0.127124184487774	0.127124184487774	0.0117526392658348	1.11928909164388	0
"Rhadinopsylla_li"	4.73684210526316	0	0	0	0	0	0	0	2.52226237234878	1.7358051846033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00509033778476
