"Nephrosperma_vanhoutteanum"	"Phoenicophorium_borsigianum"	"Roscheria_melanochaetes"	"Erythroxylum_sechellarum"	"Dillenia_ferruginea"	"Dillenia_suffruticosa"	"Excoecaria_benthiamiana"	"Memecylon_eleagni"	"Gastonia_crassa"	"Psychotria_pervillei"	"Syzygium_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"	"Neophyllomyza_approximatonervis"	"Forcipomyia_sp1_M_PL_128"	"Unidentified_sp6_M_PL_128"	"Xylocopa_caffra"	"Unidentified_sp1_M_PL_128"	"Mabuya_sechellensis"	"Nectarinia_dussumieri"	"Lygistorrhina_sp1_M_PL_128"	"Ornidia_obesa"	"Phelsuma_sp1_M_PL_128"	"Unidentified_sp7_M_PL_128"	"Cratopus_aurostriatus"	"Unidentified_sp5_M_PL_128"	"Hemipyrellia_germana"	"Rhiparida_seychellensis"	"Unidentified_sp3_M_PL_128"	"Unidentified_sp4_M_PL_128"	"Chalcidoma_disjunctum"	"Polistes_olivaceus"	"Simosyrphus_aegyptius"	"Unidentified_sp2_M_PL_128"
"Nephrosperma_vanhoutteanum"	2.24275918381587	0.78166972491775	0.710202781948259	0.380943603988494	0.30729045041172	0.146543577714215	0.228260891161637	0.217984836897857	0.0671164705401622	0.11773667193971	0.0626497014011675	1.47698223692824	0.797026317013075	0.95120797145206	0.293519659319118	0.1551844306822	0.10334128791452	0.23898665814914	0.0550378045120379	0.065422497605508	0.141642844955284	0.0614580900823439	0.0700309610394598	0.0517281435607335	0.0857853455992526	0.0479386877815075	0.020486030027448	0.020486030027448	0.0206912574242934	0.0206912574242934	0.0122616470755045	0.0122616470755045	0.00775818940839963	0.0269131102057905
"Phoenicophorium_borsigianum"	0.862135726012224	2.49124061725853	0.287403238036074	0.495665640831663	0.28758186597178	0.136202553774821	0.211920857710464	0.19273509089561	0.0985717112314103	0.126342755286017	0.0733578377282482	1.37125260871477	1.3039589796611	0.378619214881591	0.117689850261468	0.494584534308679	0.0961147434207101	0.105743705565548	0.0752360753834361	0.076642164613439	0.105120270704694	0.0575163731943559	0.127005443595536	0.164861511436226	0.0336244031359167	0.019399718567435	0.0191721243981187	0.0191721243981187	0.0659446045744906	0.0659446045744906	0.0108413488628781	0.0108413488628781	0.00721072343513756	0.0103456287121467
"Roscheria_melanochaetes"	1.33163021615299	0.488585504661326	2.42542599551945	0.237925647222559	0.195125583193699	0.0929355369567297	0.144730247375087	0.174925420985142	0.0428692029951018	0.0881328450902959	0.0408716945844684	0.936489835956443	0.496198791244333	1.24286318543658	0.850540398675487	0.096998592837175	0.0655455860554379	0.372437347325946	0.0354108779926955	0.0434697744468388	0.0851526220242793	0.0390251166387398	0.0430957377003892	0.0323328642790583	0.141103294986047	0.163716254697563	0.0130083722129133	0.0130083722129133	0.0129331457116233	0.0129331457116233	0.00983955493041424	0.00983955493041425	0.0049201166624151	0.0159795625938358
"Erythroxylum_sechellarum"	0.985198975832313	1.162250468157	0.328173306513874	1.55677387113375	0.329908641099266	0.157253401223125	0.244923956793044	0.220838412868933	0.0705298912185558	0.13963844875664	0.0676685211403392	1.58480207336675	1.4092036172975	0.432104416283778	0.134403266368408	0.230740901766464	0.110899115480353	0.120875756980505	0.0583866976001219	0.0714904405684825	0.159299621349925	0.0659817282198531	0.0706659484826205	0.0769136339221546	0.0384125742130998	0.0221516981896865	0.0219939094066177	0.0219939094066177	0.0307654535688618	0.0307654535688618	0.0124221607238775	0.0124221607238775	0.00832518006475365	0.0118223877099878
"Dillenia_ferruginea"	0.853584584476999	0.724280255040038	0.289074938064739	0.35434631821773	1.85569139057522	0.288481780694552	0.302142580235566	0.246470461421817	0.103903010868471	0.122444588812282	0.122737986329428	1.95504022505366	0.598799399566754	0.376125640834901	0.118048821624298	0.14379093298589	0.245127158009438	0.111463932510858	0.092929021767803	0.154172373688108	0.072552031660573	0.371138278115044	0.0577037435672269	0.0479303109952966	0.0334944022403613	0.0195125583193699	0.123712759371681	0.123712759371681	0.0191721243981187	0.0191721243981186	0.0138639634549772	0.0138639634549772	0.0152725648602998	0.010243015013724
"Dillenia_suffruticosa"	0.646515784033304	0.544810215099283	0.218671851662893	0.268255802086507	0.458176945808994	2.5126627205846	0.229982695463492	0.187455829035035	0.0510401208461813	0.0874083480883781	0.058177582028182	1.4881233235873	0.450566382743257	0.284255509363455	0.0893181287530258	0.108160851527064	1.61155241087875	0.0844803111205152	0.0450149398653925	0.0622894124355412	0.0548938411982435	0.0916353891617988	0.038577581466125	0.0360536171756878	0.0253566121416295	0.0147603499872453	0.0305451297205996	0.0305451297205996	0.0144214468702751	0.0144214468702751	0.0105443903832207	0.0105443903832207	0.133023320501537	0.00775818940839964
"Excoecaria_benthiamiana"	1.00703334336016	0.847683430841856	0.340541758529616	0.417811455705781	0.479873509785898	0.229982695463492	1.35850866222019	0.292178606794947	0.0726761014106854	0.134833921113022	0.0820344095111977	2.31976193201298	0.701082952480979	0.442610638743418	0.139101643744389	0.168290092887721	0.162102437248102	0.131603041700623	0.0638554176151294	0.0835780787803543	0.0854900648440464	0.0959747019571797	0.0588241169517896	0.0560966976292405	0.0394931793744766	0.0229865687007491	0.0319915673190599	0.0319915673190599	0.0224386790516962	0.0224386790516962	0.0164350466322158	0.0164350466322158	0.0121755544657143	0.0120844001203219
"Memecylon_eleagni"	1.02180392295871	0.819124136306342	0.437313552462855	0.400269623324941	0.415918903649316	0.199171818349724	0.310439769719631	1.39358802628075	0.0669259771918616	0.125378785437566	0.0732233790551519	2.00872792171526	0.742512584468231	0.478934026463087	0.172116618107223	0.162620232943171	0.140396648053626	0.267284662986178	0.0581070414001508	0.0750602074208448	0.0847322586126509	0.0831837807298633	0.0568323695586738	0.0542067443143903	0.0442024040118375	0.0295186647912427	0.0277279269099544	0.0277279269099544	0.0216826977257561	0.0216826977257561	0.078389326478292	0.0783893264782921	0.0105443903832207	0.0122616470755045
"Gastonia_crassa"	0.503373529051217	0.670287636373591	0.171476811980407	0.204536684533812	0.280538129344873	0.0867682054385081	0.123549372398165	0.107081563506978	2.1340907935757	0.138065191015418	0.843389977518177	0.799437115517539	0.455287710594757	0.228732484208909	0.0699543887406167	0.133071810162404	0.0644746014920382	0.0615402289854039	1.40542602178633	0.828989121682418	0.0457287638246254	0.0561076258689746	0.416791187224721	0.0443572700541347	0.0197974212363475	0.0115746848086775	0.0187025419563249	0.0187025419563249	0.0177429080216539	0.0177429080216539	0.00602333794726754	0.00602333794726754	0.00459361087615632	0.0060404823486146
"Psychotria_pervillei"	0.981138932830919	0.954589706605459	0.391701533734648	0.449946112660283	0.367333766436846	0.16510465750027	0.254686295435708	0.222895618555673	0.153405767794909	1.14506000335907	0.177295499823061	1.64797014693693	1.05230335364972	0.552820615014597	0.155746602023386	0.189514132929025	0.117134476587282	0.128010515602516	0.136027764556169	0.243011247331749	0.0876566340558137	0.0734667532873692	0.0772895319828597	0.0631713776430083	0.0411739034060012	0.0264398535270888	0.0244889177624564	0.0244889177624564	0.0252685510572033	0.0252685510572033	0.0125378785437566	0.0125378785437566	0.0087408348088378	0.011773667193971
