"Spondias_cytherea"	"Uvaria_sp."	"Cerbera_manghas"	"Ochrosia_coccinea"	"Ochrosia_oppositifolia"	"Barringtonia_calyptrocalyx"	"Garcinia_hollrungii"	"Garcinia_ledermannii"	"Terminalia_sp."	"Pimelodendron_amboinicum"	"Pangium_edule"	"Gnetum_costatum"	"Gnetum_gnemon"	"Medusanthera_laxiflora"	"Neuburgia_corynocarpa"	"Ficus_conocephaliafolia"	"Ficus_hispidioides"	"Myristica_sp."	"Syzygium_pachycladum"	"Syzygium_samaragense"	"Syzygium_longipes"	"Syzygium_sp."	"Galearia_celebica"	"Morinda_bracteata"	"Nauclea_orientalis"	"Randia_dryadum"	"Versteegia_cauliflora"	"Pometia_pinnata"	"Phaleria_macrocarpa"	"Gmelina_moluccana"	"Adrama_selecta"	"Bactrocera_bancroftii"	"Bactrocera_bullata"	"Bactrocera_cheesmane"	"Bactrocera_diaphana"	"Bactrocera_enochra"	"Bactrocera_frauenfeldi"	"Bactrocera_hastigerina"	"Bactrocera_lineata"	"Bactrocera_neocheesmanae"	"Bactrocera_paramusae"	"Bactrocera_penefurva"	"Bactrocera_tinomiscii"	"Bactrocera_trivialis"	"Bactrocera_sp._1"	"Bactrocera_sp._2"	"Bactrocera_sp._3"	"Bactrocera_sp._4"	"Bactrocera_sp._5"	"Bactrocera_sp._6"	"Bactrocera_sp._7"	"Bactrocera_sp._8"	"Bactrocera_sp._9"	"Bactrocera_sp._10"	"Bactrocera_sp._11"	"Euphranta_marginata"	"Euphranta_perkinsi"	"Euphranta_quatei"	"Euphranta_sp."
"Spondias_cytherea"	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.30622009569378	0	0	0.0861244019138758	0	0	0	0	0	0	0	0	0	0	0	0	0	0.344497607655502	0	0	0	0
"Uvaria_sp."	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0
"Cerbera_manghas"	0	0	4.91386836705259	0	0.229559857272531	0	0	0	0	0	0.118819641466006	0	0	0	0	0	0.000910028945713246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203060825516635	0.132209000349962	0	0	0	0	4.39853884957752	0	0	0.00303342981904415	0	0	0	0	0
"Ochrosia_coccinea"	0	0	0	4.97965922778146	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227361924997632	0	0	0	0	0	0.0561367419577486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0632914247562852	0	4.67355068050687
"Ochrosia_oppositifolia"	0	0	0.12917355312763	0	5.11060124631122	0	0	0	0	0	0.00312347709035627	0	0	0	0	0	0.0202596182076381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.52066367479169	0.00347545051169131	0	0	0	0	0.145170919267648	0	0	0.0675320606921268	0	0	0	0	0
"Barringtonia_calyptrocalyx"	0	0	0	0	0	1.84346710699454	0	0	0.0343420124747053	0	0	0	0	0	0	0	0	0	3.19387586677124	0.0779220269416892	0.057498340886221	0.00718729261077762	0.0143745852215552	0	0	0	0	0	0.0344906628361228	0	0.0577085355233073	0	0.0309694067930861	0	0	0	0.625051912665948	0	0	0	0	0.0301719109599197	0	3.9929403393209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Garcinia_hollrungii"	0	0	0	0	0	0	4.68827874700286	0.0772225720836694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.497656575650314	0	0	0	0	0	0	0	0.265559845109952	0	0	0	0	0	4.47128226015321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Garcinia_ledermannii"	0	0	0	0	0	0	3.68094260265491	1.07820802430951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.504007267772419	0	0	0	0	0	0	0	0.208500944625908	0	0	0	0	0	4.52834116063725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Terminalia_sp."	0	0	0	0	0	0.094031700823598	0	0	4.78218145319322	0	0	0	0	0	0	0	0	0	0.365407895621869	0.00888150280938873	0.00673809020350504	0.00084226127543813	0.00168452255087626	0	0	0	0	0	0.00339046825894794	0	0.00294360106926046	0	0.00304432510413907	0	0	0	0.0614432572710402	0	0	0	0	4.20148799101976	0	0.467922930798961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pimelodendron_amboinicum"	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.46315789473684	0	0	0.568421052631579	0	0	0	0	0	0	0	0	0	0	0	1.70526315789474	0	0	0	0	0	0	0	0	0	0	0	0
