"Fuchsia_regia"	"Spirotheca_rivieri"	"Inga_sp1_M_PL_069_02"	"Aegiphila_obducta"	"Nematanthus_australis"	"Justicia_carnea"	"Vriesea_altodaserrae"	"Vriesea_incurvata"	"Heliconia_farinosa"	"Nidularium_inocentii"	"Clytolaema_rubricauda"	"Thalurania_glaucopis"	"Phaethornis_eurynome"	"Amazilia_versicolor"
"Fuchsia_regia"	2.96379172115056	1.053321527203	0.954869239589581	0.188501030417241	0.0350045639011459	0.016641054427723	0.017852382583949	0.0138675453564358	0.0137618119646377	0.00554701814257432	3.48190225119927	1.14681766371981	0.101695332613863	0.00642685773022167
"Spirotheca_rivieri"	1.88064303324367	2.15369659056026	1.01169171268228	0.132789542810965	0.0295023080810066	0.0117227900794945	0.0197408210034995	0.00976899173291205	0.00969450784958448	0.00390759669316482	3.85022048286184	0.80787565413204	0.0716392727080217	0.00710669556125985
"Inga_sp1_M_PL_069_02"	1.90157720362712	1.12842537183793	1.99738563806733	0.146815906945188	0.0308875994636088	0.0129610511567099	0.0192653728319326	0.0108008759639249	0.0107185244575333	0.00432035038556997	3.75748977584711	0.893210371461109	0.0792064237354494	0.00693553421949579
"Aegiphila_obducta"	1.79268326886601	0.707307564768609	0.701120861738246	1.67275206170416	0.0390045524405919	0.14767218004745	0.0116595956461546	0.123060150039542	0.0186735994702747	0.0492240600158167	2.27407026135102	1.55613328918956	0.902441100289973	0.00419745443261561
"Nematanthus_australis"	2.03901584724175	0.962512801142841	0.903462284310558	0.238902883698625	1.03998242219355	0.0210905790900397	0.0161439235166598	0.0175754825750331	0.0174414779377751	0.00703019303001322	3.14868692576566	1.45345649481459	0.128886872216909	0.00581181246599754
"Justicia_carnea"	1.29245522721982	0.509941368458009	0.505480995111686	1.20598947038751	0.0281207721200529	1.32275430871245	0.0084061170212596	0.26896192392704	0.0134629422082087	0.107584769570816	1.63951661031982	1.12191185068406	1.97238744213162	0.00302620212765338
"Vriesea_altodaserrae"	1.66384205682407	1.03047085638269	0.90161944853446	0.114264037332318	0.0258302776266562	0.0100873404255118	1.49693328937649	0.00840611702125986	0.00834202440489086	0.00336244680850394	3.44113256252415	0.695168700407572	0.0616448581559056	0.538895984175535
"Vriesea_incurvata"	1.29245522721982	0.509941368458009	0.505480995111686	1.20598947038751	0.0281207721200529	0.322754308712447	0.0084061170212596	1.26896192392704	0.0134629422082087	0.107584769570816	1.63951661031982	1.12191185068406	1.97238744213162	0.00302620212765338
"Heliconia_farinosa"	2.13766812517372	0.84342218291385	0.836044907687598	0.305002124681153	0.046510607834067	0.0269258844164175	0.0139033740081512	0.0224382370136812	1.02226715620273	0.00897529480547249	2.71169346895873	1.85559635022783	0.164547071433662	0.00500521464293439
"Nidularium_inocentii"	1.29245522721982	0.509941368458009	0.505480995111686	1.20598947038751	0.0281207721200529	0.322754308712447	0.0084061170212596	0.26896192392704	0.0134629422082087	1.10758476957082	1.63951661031982	1.12191185068406	1.97238744213162	0.00302620212765338
"Clytolaema_rubricauda"	2.08288376002421	1.28999684984203	1.12869397631351	0.143041646734531	0.032335680880777	0.012627855791937	0.0220868585527863	0.0105232131599475	0.010442978699456	0.00420928526397901	4.30778817086356	0.870248224954664	0.0771702298396152	0.00795126907900312
"Thalurania_glaucopis"	2.37518680574858	0.937135758793166	0.928938786319553	0.338891249645726	0.0516784531489633	0.029917649351575	0.0154481933423902	0.0249313744596458	0.0247412846697044	0.00997254978385832	3.01299274328748	2.06177372247537	0.182830079370736	0.00556134960326043
"Phaethornis_eurynome"	1.43606136357757	0.566601520508899	0.561645550124096	1.33998830043057	0.0312453023556143	0.358615898569386	0.00934013002362178	0.298846582141155	0.0149588246757875	0.119538632856462	1.82168512257758	1.24656872298229	2.19154160236847	0.00336244680850375
"Amazilia_versicolor"	1.49745785114167	0.927423770744417	0.811457503681014	0.102837633599086	0.0232472498639906	0.00907860638296065	1.34723996043884	0.00756550531913387	0.00750782196440178	0.00302620212765355	3.09701930627173	0.625651830366815	0.0554803723403151	1.48500638575798
