"Cordia_nodosa"	"Hirtella_myrmecophila"	"Maieta_guianensis"	"Myrcia_madida"	"Hirtella_physophora"	"Azteca_r.am.1"	"Allomerus_octoarticulatus"	"Pheidole_minutula"	"Myrcidris_sp."	"Allomerus_septemarticulatus"	"Pheidole_sp2"
"Cordia_nodosa"	5.26315789473685	0	0	0	0	3.78947368421053	0	0	0	0	0.947368421052632
"Hirtella_myrmecophila"	0	4.87726444420624	0	0	0.385893450530604	0	3.85893450530604	0	0	0.877907599957124	0
"Maieta_guianensis"	0	0	5.26315789473684	0	0	0	0	4.73684210526316	0	0	0
"Myrcia_madida"	0	0	0	5.26315789473684	0	0	0	0	4.73684210526316	0	0
"Hirtella_physophora"	0	3.85893450530604	0	0	1.40422338943081	0	4.04223389430807	0	0	0.694608210955087	0
"Azteca_r.am.1"	4.73684210526316	0	0	0	0	4.41052631578948	0	0	0	0	0.852631578947369
"Allomerus_octoarticulatus"	0	4.2877050058956	0	0	0.449137099367564	0	4.49137099367564	0	0	0.771786901061208	0
"Pheidole_minutula"	0	0	4.73684210526316	0	0	0	0	5.26315789473684	0	0	0
"Myrcidris_sp."	0	0	0	4.73684210526316	0	0	0	0	5.26315789473684	0	0
"Allomerus_septemarticulatus"	0	4.38953799978562	0	0	0.347304105477543	0	3.47304105477543	0	0	1.79011683996141	0
"Pheidole_sp2"	4.73684210526316	0	0	0	0	3.41052631578948	0	0	0	0	1.85263157894737
