"Diplopterys_pubipetala"	"Byrsonima_gardnerana"	"Banisteriopsis_muricata"	"Heteropterys_sp1_M_PL_059"	"Heteropterys_sp2_M_PL_059"	"Dicella_bracteosa"	"Carolus_chasei"	"Stigmaphyllon_paralias"	"Banisteriopsis_stellaris"	"Banisteriopsis_schizoptera"	"Stigmaphyllon_auriculatum"	"Stigmaphyllon_ciliatum"	"Janusia_anisandra"	"Centris_aenea"	"Centris_fuscata"	"Centris_caxiensis"	"Centris_tarsata"	"Centris_flavifrons"	"Centris_trigonoides"	"Centris_obsoleta"	"Epicharis_sp1_M_PL_059"	"Apis_mellifera"	"Centris_sp1_M_PL_059"	"Centris_sp2_M_PL_059"	"Xylocopa_sp1_M_PL_059"	"Xylocopa_grisescens"
"Stigmaphyllon_auriculatum"	0.849729575435835	0.621758925911618	0.518164187999548	0.483830261168471	0.402551471394271	0.359882045308399	0.254700534365126	0.210408481860371	0.143032403743639	0.10444264232992	1.12058787133527	0.113278410757868	0.0807910831265077	1.30245889566049	1.10491609520506	0.807339731524349	0.320479431055834	0.587707424431803	0.195163580423469	0.10707682918178	0.105917281256221	0.0730544708066745	0.0496875768687056	0.0432064398452796	0.0299720094736009	0.00986233952990076
"Stigmaphyllon_ciliatum"	0.856406923607961	0.590756707710059	0.522672426699525	0.482265363038217	0.405616332595101	0.356460745831863	0.256096300233765	0.22240296440675	0.143859048835671	0.106167101797708	0.120493596156458	1.11533320930792	0.0846271745158423	1.3656427218532	1.17408290236114	0.702900186266632	0.319098826847715	0.556965107511753	0.196282216206666	0.108008441046065	0.106738140466239	0.0734101581701989	0.0500780319736858	0.0435823534045525	0.0301048732694951	0.00994814588582177
"Janusia_anisandra"	0.862892666127854	0.593497621154471	0.505233677221846	0.46937851120634	0.435333918783377	0.318430051111771	0.273941168143493	0.235025947169005	0.155414322931984	0.116820815377189	0.102212961228233	0.100655048477176	1.0943211858041	1.3054107907484	1.31766435119681	0.708485622948904	0.48917168779741	0.303039575749795	0.195924646675505	0.104404784054303	0.106636015098402	0.0747314715418175	0.0504572830193406	0.0421282461973503	0.0291714001248641	0.00961623011026475
"Centris_aenea"	0.94953011651333	0.686893758348788	0.548147190989324	0.519227871814342	0.478236477349239	0.358401197319583	0.311123643948401	0.248577939080612	0.169287007447578	0.125657418693455	0.12302637758784	0.12127030957633	0.0974627965943373	2.09605217292681	0.994032664752677	0.798813656311768	0.361365585307763	0.342467974958615	0.214596191612504	0.113272712579063	0.116690461983256	0.0823333092037083	0.0555233712198472	0.0457065331459376	0.0318702477341961	0.0104330130007031
"Centris_fuscata"	0.969923634441999	0.599759632870459	0.575116628755864	0.516693076688043	0.476467277268002	0.358038156780155	0.296588008053449	0.302933614591566	0.173787131227786	0.128082975900457	0.115397741025169	0.115278934128017	0.108775293532194	1.09909302769402	2.02433303675904	0.758460444836548	0.355631746726956	0.336279515343207	0.219004971427522	0.118845853193055	0.119891342122722	0.0831841213078983	0.056715873539405	0.0479553442708817	0.032816288932017	0.0109463285835708
"Centris_caxiensis"	0.895245356468935	0.97229150679479	0.487230059673289	0.513514361093984	0.476397309779542	0.349651425139876	0.313126149196359	0.175583503665198	0.176375184428346	0.11867922256166	0.102999033739164	0.0843050643574188	0.0714439283645953	1.07891714618732	0.926492170583377	1.91871138575199	0.378779292868414	0.336163427372681	0.20269817709872	0.100684399038226	0.108722023021025	0.0802601746288298	0.0523490928782682	0.0406270382084072	0.0294800040302652	0.00927356306931032
"Centris_tarsata"	0.948513910624863	0.757373896742975	0.552329458136036	0.53834141626466	0.512806516922206	0.334078763560413	0.310973259897655	0.179514942690827	0.176524847573327	0.142281640838924	0.0904055151796018	0.0846258713092756	0.109072065522395	1.07921343720291	0.960566153743923	0.837537321562084	1.37781090904768	0.326531632679699	0.220428774286427	0.114136963554395	0.118421887433327	0.0840299539073809	0.0554639490111149	0.0460552659956332	0.0324490312480478	0.0105126150642206
"Centris_flavifrons"	0.932942783246717	0.674246874592413	0.640749377968443	0.585909394164024	0.374848176307667	0.503069435859804	0.226743421448657	0.178012013057203	0.127746656665748	0.0932962980437597	0.173711752000197	0.154767295361673	0.0707986265468548	1.07165199951651	0.951700787670421	0.778828188373167	0.342135799197136	1.40820532148253	0.222711066402678	0.132408632788645	0.120169241409136	0.0783814779961872	0.0545534339356131	0.0534280448094533	0.036788369187988	0.0121955319673752
"Centris_trigonoides"	0.903168866527176	0.509901249217005	1.08030064604605	0.589801413743144	0.569059869863455	0.264010051148733	0.21163964932429	0.168523553219193	0.119485969430534	0.0878681233327843	0.085097435850442	0.080460334058607	0.0675249435017407	0.990616362326127	0.914331460346233	0.692772620945757	0.340714972265183	0.328542434771574	1.30691640052517	0.223240375195015	0.162112666453546	0.0872487653221336	0.0528124167715044	0.0900794496400939	0.0532083566697027	0.020561613504804
"Centris_obsoleta"	0.703541630867168	0.443076191831169	1.8548531308296	0.399572551077068	0.360894291854367	0.240908441306094	0.185978385331981	0.15204045724873	0.105134476153263	0.0775943592340836	0.0784290810234965	0.0743742335273342	0.060444874978807	0.878360332630627	0.833484733577607	0.57805209798701	0.296355624667553	0.328117883884142	0.375004665349521	1.38329895513216	0.206310529319595	0.0752882296209502	0.0411392987540971	0.154664490667362	0.0777772020156255	0.0353038511305935
"Epicharis_sp1_M_PL_059"	1.12189812320224	0.504456020961003	1.08913533021987	0.43902269159429	0.502921988305592	0.262216158227435	0.210277267222721	0.168635161735087	0.118750618523674	0.0873659317976683	0.0846324687549707	0.0801812825511939	0.0673490621674118	0.987123142518647	0.917254813656618	0.680943196815892	0.335434245744159	0.32485943251752	0.297077278716306	0.225066031985013	1.17055527717866	0.0974992071132711	0.0656025173736902	0.0908161181693913	0.0501968668437952	0.0207297661038828
"Apis_mellifera"	1.40423792073887	0.593931399405302	0.601942125713394	0.413819667332505	0.577786657901023	0.275713142250889	0.226315643170664	0.178327550259642	0.127707912949798	0.093653957273275	0.0884064972805409	0.0835173538602988	0.0714822771269559	1.05482094689968	0.963850796893691	0.761308468037233	0.360476324008475	0.320909674404679	0.242146935640414	0.124389248938961	0.147661842657055	1.112297927297	0.0821122173991373	0.0501921530806335	0.0315344549723433	0.0114569045075359
"Centris_sp1_M_PL_059"	1.73784346540355	0.546192763026812	0.493373474188628	0.412412989537372	0.387864274215248	0.279912324538375	0.227150435010898	0.181623746501798	0.128236752405009	0.0941836443974779	0.0901937536638461	0.0854592502159639	0.0723952321581843	1.06701435126837	0.985746541190312	0.744836549757099	0.356898454506305	0.335029241017624	0.219860387211806	0.101953914303632	0.14903180577284	0.123168326098706	1.10161966026512	0.0411392987540971	0.0274688724840177	0.00939049210691347
"Centris_sp2_M_PL_059"	0.703541630867168	0.443076191831169	1.8548531308296	0.399572551077068	0.360894291854367	0.240908441306094	0.185978385331981	0.15204045724873	0.105134476153263	0.0775943592340836	0.0784290810234966	0.0743742335273342	0.060444874978807	0.878360332630627	0.833484733577607	0.57805209798701	0.296355624667553	0.328117883884142	0.375004665349521	0.383298955132158	0.206310529319595	0.0752882296209502	0.0411392987540971	1.15466449066736	0.0777772020156256	0.0353038511305935
"Xylocopa_sp1_M_PL_059"	0.720294878469798	0.481801432305563	1.430236325954	0.696245673573486	0.36813873846261	0.257163962577856	0.199904100822788	0.160652612349603	0.112905778598057	0.0831250104513268	0.0834220930348557	0.0787744183885121	0.064177080274701	0.939109966567643	0.874554100038254	0.643155421260286	0.320163774980738	0.346423809853553	0.339646676741602	0.295553367659377	0.174852419505887	0.0725292464363895	0.0421189378088272	0.119258376423959	1.06856977675486	0.0272220207054689
"Xylocopa_grisescens"	0.703541630867168	0.443076191831169	1.8548531308296	0.399572551077068	0.360894291854367	0.240908441306094	0.185978385331981	0.15204045724873	0.105134476153263	0.0775943592340836	0.0784290810234965	0.0743742335273342	0.060444874978807	0.878360332630627	0.833484733577607	0.57805209798701	0.296355624667553	0.328117883884142	0.375004665349521	0.383298955132158	0.206310529319595	0.0752882296209502	0.0411392987540971	0.154664490667362	0.0777772020156255	1.03530385113059
