"Cecropia_schreberiana"	"Guarea_guidonia"	"Schefflera_morototoni"	"Alchornea_latifolia"	"Dendropanax_arboreus"	"Ocotea_floribunda"	"Inga_vera"	"Ficus_sp1_M_SD_006"	"Miconia_prasina"	"Musa_acuminata"	"Phytolacca_rivinoides"	"Tournefortia_hisutissima"	"Casearia_sylvestris"	"Citrus_sinensis"	"Coffea_arabica"	"Miconia_laevigatta"	"Momordica_charantia"	"Murraya_paniculata"	"Piper_amalaga"	"Roystonea_borinquena"	"Solanum_rugosum"	"Spindalis_portoricensis"	"Loxigilla_portoricensis"	"Vireo_altiloquous"	"Turdus_plumbeus"	"Coereba_flaveola"	"Tyrannus_dominicensis"	"Nesospingus_speculiferus"	"Melanerpes_portoricensis"	"Tyrannus_caudifasciatus"	"Columba_squamosa"	"Euphonia_musica"	"Icterus_dominicensis"	"Myarchus_antillarum"	"Vireo_flavirostris"	"Vireo_latimeri"
"Cecropia_schreberiana"	2.52588716519442	0.746343807849434	0.597550921527102	0.166323188188554	0.167105312140614	0.151755158422227	0.156404335251059	0.106715277384471	0.108657005934451	0.0718683872011578	0.0747384838845799	0.0747384838845799	0	0.0349151008948438	0.0349151008948438	0.0427616903846889	0.0312404422581533	0.0429529622875964	0.0427616903846889	0.0427616903846889	0.0427616903846889	1.56792864743859	0.821038473386968	0.659507461347049	0.497416787776083	0.403112407129794	0.277692820072474	0.190902054611539	0.0878115361805374	0.0559757855887076	0.0273159285160009	0.0598236433861836	0.032340774240521	0.0279878927943538	0.0279878927943538	0
"Guarea_guidonia"	1.18171102909494	2.41051452822842	0.372502629023082	0.259961529174559	0.219416545466345	0.104623068147438	0.158598573449889	0.0622471394588694	0.133425184149196	0.0373819979757581	0.0422447141272227	0.0422447141272227	0	0.0472823249828257	0.0472823249828257	0.022242288795576	0.0276668551126129	0.027085582053329	0.022242288795576	0.022242288795576	0.022242288795576	0.815550589171122	1.57486072301442	0.893110583008931	0.311148838492282	0.232262094906768	0.245927601001004	0.120380364681462	0.11838218760292	0.180788589617132	0.0188321522665388	0.0279878927943538	0.0168218990890911	0.0903942948085659	0.0903942948085659	0
"Schefflera_morototoni"	1.41918343862687	0.558753943534623	1.82106451672105	0.110215979487489	0.163787521621418	0.267688268817361	0.11668820483124	0.15171914902014	0.0688013747576476	0.0755251163995286	0.09832829663893	0.09832829663893	0	0.0221921653886103	0.0221921653886103	0.0449374442577195	0.0641502121253167	0.0247894677082081	0.0449374442577195	0.0449374442577195	0.0449374442577195	1.64770628944972	0.581859777622111	0.419185346229305	0.830524370374385	0.323005767919114	0.570224107780593	0.11017541203648	0.0545655122184478	0.0419065457650967	0.0481838883871249	0.0336122393358995	0.0339863023797879	0.0209532728825484	0.0209532728825484	0
"Alchornea_latifolia"	1.26405623023301	1.24781534003788	0.352691134359965	1.31101002298141	0.198956883197526	0.0952804051365305	0.177158245082736	0.0616826683444702	0.150727274364168	0.0385028505995676	0.0422959322256065	0.0422959322256065	0	0.0688564630000433	0.0688564630000433	0.0229091961067427	0.0216847711478213	0.0296504943734849	0.0229091961067427	0.0229091961067427	0.0229091961067427	0.840003857247232	1.39254178641706	1.30062207888971	0.301571450737881	0.249250955964678	0.192753521313967	0.131779974993266	0.0767312491253603	0.0935861505028412	0.0171504729245755	0.0299381738739397	0.0173262827698054	0.0467930752514206	0.0467930752514206	0
"Dendropanax_arboreus"	1.27000037226867	1.05319941823846	0.524120069188536	0.198956883197526	1.23419936510101	0.177625174968164	0.13879761509269	0.113079973758204	0.110606245105677	0.0540531150950234	0.0726207886198714	0.0726207886198714	0	0.0304126107366994	0.0304126107366994	0.0321616034815389	0.0274723412083238	0.0263341088752639	0.0321616034815389	0.0321616034815389	0.0321616034815389	1.17925879432309	1.4362540131657	0.574460425026545	0.629365102151839	0.242335461610118	0.244198588518434	0.117040483890062	0.0695739343692527	0.0789899563678843	0.0319725314942695	0.0300789561853105	0.0243239017927605	0.0394949781839422	0.0394949781839422	0
"Ocotea_floribunda"	1.15333920400893	0.502190727107702	0.856602460215554	0.0952804051365305	0.177625174968164	1.58625372238089	0.0888518072148849	0.206791913777913	0.0586622907225375	0.0521563969339033	0.118912484976793	0.118912484976793	0	0.0187128706029832	0.0187128706029832	0.0310330561756725	0.0656423329518275	0.0203785234557639	0.0310330561756725	0.0310330561756725	0.0310330561756725	1.13787872644132	0.521890577701078	0.353465333611905	1.36701333690631	0.224746844213828	0.583487404016245	0.0905712153589506	0.0461480807825397	0.0376643045330776	0.285525670028561	0.0273159285160009	0.0234703786202565	0.0188321522665388	0.0188321522665388	0
"Inga_vera"	1.48584118488506	0.951591440699336	0.466752819324961	0.22144780635342	0.173497018865862	0.111064759018606	1.26066715474027	0.072944471498425	0.117313773252657	0.0457863658540204	0.0500936795907835	0.0500936795907835	0	0.046392971167789	0.046392971167789	0.0272428876831421	0.0245198923346677	0.0297863556598421	0.0272428876831421	0.0272428876831421	0.0272428876831421	0.998905881715212	1.09691857133403	0.876311677613792	0.355456763007755	0.769509942877593	0.217954598530379	0.132383802932632	0.0708756544577133	0.0713693580524502	0.0199916566233491	0.0351909754314882	0.0206038646343092	0.0356846790262251	0.0356846790262251	0
"Ficus_sp1_M_SD_006"	1.35172684686997	0.497977115670955	0.809168794774082	0.102804447240784	0.18846662293034	0.344653189629855	0.0972592953312333	1.21046403205525	0.0646947273858335	0.0714583583180455	0.126490877627244	0.126490877627244	0	0.0204957612351288	0.0204957612351288	0.0425177231992371	0.0368999096257983	0.0235403843830061	0.0425177231992371	0.0425177231992371	0.0425177231992371	1.55898318397203	0.550895513805299	0.387142156663543	1.3062490688801	0.249355343681804	0.327999196673763	0.104623930591138	0.0506887250530021	0.0373482836753216	0.0620375741333739	0.0320145832153413	0.0321562612431205	0.0186741418376608	0.0186741418376608	0
"Miconia_prasina"	1.37632207516972	1.06740147319357	0.36694066537412	0.25121212394028	0.184343741842795	0.0977704845375626	0.156418364336877	0.0646947273858335	1.2210036588884	0.0411636844772317	0.0445935598248932	0.0445935598248932	0	0.0526817786427818	0.0526817786427818	0.0244923922639528	0.0216281633596564	0.121738486239646	0.0244923922639528	0.0244923922639528	0.0244923922639528	0.898054383011604	1.24222384015913	0.995100263252545	0.312684828725739	0.254014185280566	0.192250340974723	0.541059938842871	0.0726246570250941	0.0800551104895174	0.0175986872167613	0.0325971017803354	0.0185236580147542	0.0400275552447587	0.0400275552447587	0
"Musa_acuminata"	1.365499356822	0.448583975709097	0.604200931196229	0.0962571264989189	0.135132787737558	0.130390992334758	0.0915727317080408	0.107187537477068	0.0617455267158475	1.76764392066122	0.0794678351352457	0.0794678351352457	0	0.0197157193657923	0.0197157193657923	0.051748132793423	0.0261085445510595	0.0234748231492842	0.051748132793423	0.051748132793423	0.051748132793423	1.89743153575884	0.494799578687224	0.372408032464967	0.431195369761685	0.236897902851011	0.232075951564974	0.104332547330152	0.0491626733296121	0.0336437981781822	0.0234703786202565	0.032340774240521	0.795439764297547	0.0168218990890911	0.0168218990890911	0
