"Memecylon_eleagni"	"Mimusops_sechellarum"	"Roscheria_melanochaetes"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Unidentified_sp1_M_PL_124"	"Unidentified_sp2_M_PL_124"	"Unidentified_sp4_M_PL_124"	"Cratopus_aurostriatus"	"Lasioglossum_mahense"	"Lygistorrhina_sp1_M_PL_124"	"Simosyrphus_aegyptius"	"Unidentified_sp3_M_PL_124"
"Memecylon_eleagni"	4.70824159262667	0.392060430838712	0.162855871271465	0	3.90188928696631	0.161498739010869	0.0732851420721592	0	0.0882135969387101	0.211870871668201	0.0882135969387101	0.2118708716682	0
"Mimusops_sechellarum"	1.96030215419356	2.33353938190558	0.969316358637703	0	2.11289110582554	0.961238722315723	0.436192361386967	0	0.525046360928756	0.0882135969387103	0.525046360928756	0.0882135969387101	0
"Roscheria_melanochaetes"	0.814279356357324	0.969316358637703	3.47956217974182	0	0.877662459342916	1.7838991615773	1.56580298088382	0	0.218096180693483	0.0366425710360796	0.218096180693483	0.0366425710360796	0
"Excoecaria_benthiamiana"	0	0	0	5.26315789473684	0	0	0	3.15789473684211	0	0	0	0	1.57894736842105
"Apis_mellifera"	4.10725188101717	0.444819180173797	0.184771044072193	0	4.42695833916301	0.183231285371591	0.0831469698324868	0	0.100084315539104	0.184826334645773	0.100084315539104	0.184826334645773	0
"Unidentified_sp1_M_PL_124"	1.07665826007246	1.2816516297543	2.3785322154364	0	1.16046480735341	2.3587111136411	1.07033949694638	0	0.288371616694717	0.0484496217032608	0.288371616694717	0.0484496217032608	0
"Unidentified_sp2_M_PL_124"	0.732851420721592	0.872384722773933	3.13160596176763	0	0.789896213408624	1.60550924541957	2.40922268279544	0	0.196286562624135	0.0329783139324717	0.196286562624135	0.0329783139324716	0
"Unidentified_sp4_M_PL_124"	0	0	0	4.73684210526316	0	0	0	3.8421052631579	0	0	0	0	1.42105263157895
"Cratopus_aurostriatus"	1.7642719387742	2.10018544371502	0.872384722773933	0	1.90160199524298	0.86511485008415	0.39257312524827	0	1.47254172483588	0.0793922372448392	0.47254172483588	0.0793922372448391	0
"Lasioglossum_mahense"	4.237417433364	0.35285438775484	0.146570284144318	0	3.51170035826968	0.145348865109782	0.0659566278649433	0	0.0793922372448391	1.19068378450138	0.0793922372448391	0.19068378450138	0
"Lygistorrhina_sp1_M_PL_124"	1.7642719387742	2.10018544371502	0.872384722773933	0	1.90160199524298	0.86511485008415	0.39257312524827	0	0.47254172483588	0.0793922372448391	1.47254172483588	0.0793922372448391	0
"Simosyrphus_aegyptius"	4.237417433364	0.35285438775484	0.146570284144318	0	3.51170035826968	0.145348865109782	0.0659566278649433	0	0.0793922372448391	0.19068378450138	0.0793922372448391	1.19068378450138	0
"Unidentified_sp3_M_PL_124"	0	0	0	4.73684210526316	0	0	0	2.8421052631579	0	0	0	0	2.42105263157895
