"Arvicola_terrestris"	"Apodemus_sylvaticus"	"Apodemus_agrarius"	"Microtus_arvalis"	"Chionomys_gud"	"Spermophilus_pygmaeus"	"Cricetulus_migratorius"	"Microtus_socialis"	"Cricetus_cricetus"	"Microtus_majori"	"Mesocricetus_raddei"	"Amphipsylla_rossica"	"Nosopsyllus_consimilis"	"Ctenophthalmus_wagneri"	"Leptopsylla_taschenbergi"	"Nosopsyllus_mokrzeckyi"	"Ctenophthalmus_proximus"	"Ctenophthalmus_orientalis"	"Citellophilus_tesquorum"	"Megabothris_turbidus"	"Ctenophthalmus_golovi"	"Ctenophthalmus_secundus"	"Paradoxopsyllus_hesperius"	"Ctenophthalmus_chionomydis"	"Rhadinopsylla_ucrainica"	"Amphipsylla_kuznetzovi"	"Callopsylla_caspia"	"Ctenophthalmus_acuminatus"	"Megabothris_walkeri"	"Hystrichopsylla_talpae"
"Arvicola_terrestris"	3.29681117574987	0.679189838649372	0.402258043082786	0.268667244608184	0.234806470343994	0.0486542499341432	0.144714268797005	0.0702820065117209	0.0326098830049499	0.0767832184959179	0.00838149555889774	2.02645299116028	0.493915771829358	0.811328797789603	0.303996194481314	0.239365823930008	0.249857334714628	0.161415209693464	0.0436800960820414	0.131584810023968	0.0805869078933134	0.0320684347320264	0.0387544313703471	0.0298342338790016	0.0220241260619435	0.0149171169395008	0.0149171169395008	0.00820433034720584	0.0120171651222218	0.0219212122734361
"Apodemus_sylvaticus"	0.91911144399045	2.41834755588598	0.891305230014981	0.272768261244481	0.190684519320961	0.101953590316533	0.224901457409649	0.126743543667898	0.06384381510769	0.0336970280944178	0.0198014496837989	0.623971291858671	0.966991117712965	0.411875755602071	0.767975478413192	0.672130347028588	0.567157829842069	0.274819617179538	0.0961829239400583	0.0577903762274188	0.0382805729895872	0.091705805828224	0.0417806654864869	0.0242281506901927	0.0205390306859602	0.0121140753450963	0.0121140753450963	0.0231874298118242	0.0243245830559183	0.00967297822020146
"Apodemus_agrarius"	0.884288778253719	1.44790090107919	1.97957237615089	0.255825174967857	0.183118893419131	0.0805875819347828	0.21003084169554	0.115389285892189	0.0600777409767663	0.0317574223504736	0.0146088980163055	0.587332583676521	0.909949410115933	0.409450279360831	0.702030609783581	0.796997221116233	0.707734407332869	0.246775696733595	0.073858568770947	0.0511352100369441	0.0367242049799455	0.0713432266673508	0.039552020105974	0.0232668711638426	0.015641248979045	0.0116334355819213	0.0116334355819213	0.0155347456200237	0.0170613899394927	0.00918753971618734
"Microtus_arvalis"	1.39975634440864	1.05015780579125	0.606305664673821	1.3941181115688	0.199956035398525	0.0820392845254582	0.255951949259579	0.140104107740153	0.0781438114706803	0.0427059991435483	0.0139187807563842	0.933834921623637	1.18358170590095	0.762829363204864	0.395020016950257	0.359747521780629	0.318525238315263	0.278232381590123	0.0732075330698446	0.128552310756589	0.0469036385902076	0.0531393590143771	0.0457432026417045	0.025406178615342	0.0160973837591835	0.012703089307671	0.012703089307671	0.0132610971562312	0.0450059320659586	0.0323481416126594
"Chionomys_gud"	1.43922554175554	0.863688705159647	0.51057856165099	0.2352423945865	1.72279321661952	0.0638686077144726	0.231520568817393	0.0840711031057132	0.0394266681190575	0.061802830600621	0.0109396966073883	1.08538119255574	0.597164154551807	0.606984692102586	0.465430859450783	0.36559110372325	0.2699323813029	0.21366756878643	0.0572086410373305	0.0664648375543725	0.22672451166018	0.041422865719901	0.204639374013242	0.218896079288127	0.0637344172502308	0.109448039644064	0.109448039644064	0.0106018430794651	0.0124085823263837	0.0116929215723074
"Spermophilus_pygmaeus"	0.316860802696108	0.490651653398314	0.238740711481794	0.102549105656823	0.0678603956966271	3.78993099943618	0.141949531106999	0.0706351356540098	0.0194208576181627	0.0104073700646416	0.0141513319271881	0.210105781554772	0.294152170941763	0.138021309102457	0.169678105220429	0.15552657110264	0.131834600385705	0.358422351659268	3.15741151281274	0.0187788137227726	0.013323359705203	0.0255039104008949	0.02081237335415	0.0086222620414538	0.00554424191600366	0.0043111310207269	0.0043111310207269	0.0107847549384348	0.0062097595259172	0.00348796483710014
"Cricetulus_migratorius"	1.00528178724319	1.1544941480362	0.663697459757907	0.341269265679438	0.262389977993045	0.151412833180799	1.37098993284277	0.178017762499497	0.0787364237892915	0.0329423136661031	0.0239259900485998	0.666460671647483	1.19255752990798	0.506592779439229	0.428644156328303	0.42267551699583	0.340241553235624	0.563455790072229	0.131448818600846	0.0585575998358024	0.0477475162550186	0.0867627173020163	0.159397501810993	0.0333389619097046	0.0172055179063858	0.0166694809548523	0.0166694809548523	0.0197532290069915	0.0173107226400922	0.0113525604589221
"Microtus_socialis"	0.938895522887349	1.25118626441387	0.70121181426792	0.359241301897827	0.183231891384247	0.144892585956943	0.34234185096057	1.19903874677014	0.0894577095029996	0.0304352297752814	0.0232249769196953	0.61958739028079	1.35494425504543	0.454705656125627	0.450487683813084	0.421476495396733	0.36160704154015	0.529860987569204	0.126472779824597	0.0576865814771799	0.0373597888142192	0.159320575566432	0.0522658414858409	0.0232812285523514	0.0149137940694549	0.0116406142761757	0.0116406142761757	0.0197846881672586	0.0184740681744035	0.0113320208080493
"Cricetus_cricetus"	0.894197318188364	1.29367730612951	0.749390769025979	0.411283218266738	0.176382462637889	0.0817720320764747	0.310801672852467	0.183623719506157	1.11824334474663	0.0293571863270461	0.014428864979592	0.594432129452131	1.79093720990508	0.4126505326496	0.467295839932248	0.440769858033518	0.37867125840452	0.261587980648679	0.07412357813492	0.0591512285907691	0.0358365171597735	0.0663908659975134	0.0485127507554956	0.0224109481939906	0.0147404558170635	0.0112054740969953	0.0112054740969953	0.01470568041901	0.0201771890400842	0.0120371339347679
"Microtus_majori"	2.22244760202073	0.72074198979727	0.418139394281235	0.23725555079749	0.291846700058488	0.0462549780650736	0.13725964027543	0.0659429978464429	0.0309881411229931	1.084143925836	0.00813697463568691	2.00535279348955	0.469352546833638	0.697233425148033	0.407448796653903	0.253072650780262	0.240912484478333	0.148672630454813	0.0418769720486156	0.0929647210484241	0.173119236812308	0.0327752364133646	0.0440783407667518	0.0370816983603726	0.0203184492491267	0.0185408491801863	0.0185408491801863	0.00825188759085393	0.0114604540856949	0.0157880826887425
