"Meriones_persicus"	"Meriones_libycus"	"Meriones_tristrami"	"Microtus_socialis"	"Apodemus_fulvipectus"	"Microtus_arvalis"	"Cricetulus_migratorius"	"Allactaga_elater"	"Arvicola_terrestris"	"Dryomys_nitedula"	"Xenopsylla_conformis"	"Nosopsyllus_iranus"	"Nosopsyllus_laeviceps"	"Stenoponia_tripectinata"	"Rhadinopsylla_ucrainica"	"Nosopsyllus_consimilis"	"Ctenophthalmus_secundus"	"Leptopsylla_taschenbergi"	"Amphipsylla_schelkovnikovi"	"Mesopsylla_apscheronica"	"Ctenophthalmus_bogatschevi"	"Amphipsylla_rossica"	"Ctenophthalmus_proximus"	"Nosopsyllus_mokrzeckyi"	"Myoxopsylla_jordani"	"Ceratophyllus_sciurorum"	"Callopsylla_caspia"	"Megabothris_turbidus"	"Neopsylla_pleskei"	"Stenoponia_ivanovi"
"Meriones_persicus"	3.15463714109262	1.03996168133306	0.798999585703907	0.143240293107299	0.0289468360066113	0.0485980121951225	0.0351140549045643	0.0123644884558032	0.00129580193785081	0	2.03473851651263	1.62316077601809	0.274789234425785	0.317511053682551	0.213966691034326	0.156785481718091	0.0499716320623704	0.0186846763057093	0.0184361242928297	0.00920941209121892	0.00855747606044549	0.00390918270700562	0.00128926848270199	0.00119271853439153	0	0.00105261221842223	0.00105669068685713	0.000526306109211117	0.00105342164713693	0.000950830673382833
"Meriones_libycus"	2.01188126009563	2.15877194940841	0.806509559321874	0.159286718689117	0.0295380650666892	0.0490750516791998	0.0354338760937163	0.0113391461403428	0.00132226824185681	0	1.8930989967364	1.48855792249966	0.481159715281176	0.284623060505729	0.309647618108391	0.158018893780077	0.055454104924024	0.0190543831870676	0.0187425725593298	0.0084457088493588	0.00864147649133735	0.00405555812132179	0.00131560134315837	0.0012170793957259	0	0.00107411145697052	0.00117506595754267	0.00053705572848526	0.00106301628281149	0.00096016405459304
"Meriones_tristrami"	2.05434478458653	1.07189264554142	1.87108498921779	0.145893327789703	0.0272156699376316	0.0455589553245944	0.032744391857632	0.0132048240028236	0.00121830647871279	0	1.69810628125574	1.73347667816745	0.379041431461933	0.417415456418318	0.250075368900164	0.146738611354454	0.0487500326360144	0.0175591488995591	0.0173030586469038	0.00983531718830999	0.0080223377854177	0.00375037484932556	0.00121216375697138	0.00112138798012611	0	0.000989660725004785	0.00107626225418633	0.000494830362502394	0.000982331755728962	0.000891370865046412
"Microtus_socialis"	1.52750509289013	0.878035396052717	0.605098556242537	1.75743019430153	0.135511874465932	0.278668792777155	0.0662183642828615	0.00862344953157985	0.00606617419239343	0	1.19419882124791	1.13205209286782	0.358435148013082	0.195672715679582	0.218529950100666	0.879493900662513	0.496609873826308	0.0845256017395533	0.0530956232882421	0.00642298309938362	0.0490699395977164	0.0293212955069277	0.00603558844016287	0.00558359899053356	0	0.00492770452603388	0.0129646489743556	0.00246385226301695	0.00198655092848584	0.00545221551085738
"Apodemus_fulvipectus"	0.760804720092956	0.401299974895929	0.278204626029123	0.333988862320074	2.89151757298734	0.146163926864219	0.31782769649106	0.00391204815250797	0.129438466903634	0	0.638234682233535	0.513558093223397	0.125894245500297	0.0931005767378478	0.101076257160923	0.473570812549632	0.161659629716819	1.77073189807793	0.398816718697202	0.00291380138255766	0.0257375610347863	0.0110430392746124	0.128785835978069	0.119141401189171	0	0.105146093563176	0.00246385226301694	0.0525730467815882	0.0095348308947318	0.00285972900386515
"Microtus_arvalis"	1.37447856230118	0.71745591857091	0.501148508570538	0.739078102582889	0.157285095212583	1.71375852069712	0.0460607955061232	0.00685154126528816	0.00704085003020591	0	1.02531901744848	0.899443036146433	0.236942363621271	0.167788207465887	0.155068251918251	1.4269686367189	0.213687951251435	0.097182745494666	0.0390963946427548	0.00510321694242153	0.301770522122754	0.106042389551775	0.00700534994602	0.00648073759082818	0	0.00571945800773029	0.00545221551085738	0.00285972900386515	0.00138182386518369	0.0335300580136393
"Cricetulus_migratorius"	1.52277951436127	0.794309389100807	0.552288742665394	0.269288014750303	0.524415699210249	0.0706265531093889	1.49798411861292	0.00799045168913655	0.0234754112373742	0	1.47441345803043	1.04895465840212	0.217543868237154	0.185442321100604	0.238143237310203	0.226577521155449	0.156199362733998	0.364356358531903	0.67881403521957	0.0059515088443224	0.0124364147866533	0.00613202252403693	0.0233570478193706	0.0216078995310957	0	0.0190696617894636	0.00198655092848584	0.00953483089473184	0.0449395235583875	0.0013818238651837
"Allactaga_elater"	1.10939306765517	0.525901777888314	0.460802823822671	0.0725559201967408	0.0133549230033893	0.0217359240140176	0.0165319690120067	3.04228365748156	0.000597831662973037	0	0.805098920021709	1.15665382236418	0.144167575602388	0.142438417380666	0.101883614728872	0.0699465759521558	0.0243848232335576	0.00863032126333367	0.00869275948605713	2.26597679315868	0.00382741270681615	0.00181105282722068	0.000594817385680736	0.00055027306569451	0	0.000485633563759611	0.000535248591615301	0.000242816781879806	0.0004959590703602	0.000425268078535128
"Arvicola_terrestris"	0.481668091755403	0.25406439789963	0.176132308065334	0.211449500420571	1.83062974620854	0.0925368861112777	0.201217810606064	0.00247673117517401	2.01298242249485	0	0.4040685781313	0.32513539970971	0.0797040809443261	0.0589422961692029	0.0639917269473981	0.299819314427974	0.102347269020717	1.1210564706452	0.252492239837263	0.00184473770288823	0.0162945386413337	0.00699138624420287	0.826362343053702	1.06853228020114	0	0.0665683544075833	0.00155987336375831	0.0332841772037917	0.00603653431818193	0.00181050429348152
"Dryomys_nitedula"	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0
"Xenopsylla_conformis"	2.4774869536574	1.19149188142745	0.804157022288633	0.136352134948288	0.0295672594951427	0.044141015257492	0.0413967278810602	0.0109255351804537	0.00132357512724338	0	2.76700633582939	1.43426072379039	0.302383721306153	0.285123620406747	0.217414991278742	0.142276017009185	0.047594590038135	0.0192510508016551	0.0210804347967781	0.00813763999647587	0.00777265703447141	0.00359676208351336	0.00131690163920686	0.00121828231600049	0	0.00107517307255064	0.00100587640535622	0.000537586536275324	0.00124190183643181	0.000863628559385713
