"Allomerus_demararae"	"Pseudomyrmex_dendroicus"	"Pachychondyla_luteola"	"Crematogaster_victima"	"Pheidole_minutula"	"Azteca_sp8_M_PA_001"	"Myrmelachista_sp1_M_PA_001"	"Azteca_sp7_M_PA_001"	"Azteca_sp9_M_PA_001"	"Camponotus_balzani"	"Azteca_sp12_M_PA_001"	"Azteca_sp11_M_PA_001"	"Crematogaster_limata"	"Azteca_sp10_M_PA_001"	"Azteca_sp13_M_PA_001"	"Gnamptogenys_pleurodon"	"Cordia_nodosa"	"Triplaris_americana"	"Cecropia_sp1_M_PA_001"	"Clidemia_heterophylla"	"Pleurothyrium_sp1_M_PA_001"	"Triplaris_poeppigiana"	"Maieta_guianensis"	"Tococa_sp1_M_PA_001"
"Allomerus_demararae"	4.22108409515985	0	0	0	0	0	0	0.444580398189096	0.191141253998497	0	0	0	0.184061948294849	0.0382282507996993	0.0920309741474243	0.0920309741474243	4.39703543148805	0	0	0	0	0	0	0.339806673775105
"Pseudomyrmex_dendroicus"	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0
"Pachychondyla_luteola"	0	0	4.375	0	0	0	0	0	0	0.888157894736842	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0
"Crematogaster_victima"	0	0	0	3.13404560185408	2.12911229288276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.69800736926435	0	0	2.03883473599881	0
"Pheidole_minutula"	0	0	0	2.12911229288276	3.13404560185408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76757967527006	0	0	1.9692624299931	0
"Azteca_sp8_M_PA_001"	0	0	0	0	0	4.65413533834586	0	0	0	0	0	0.609022556390977	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0
"Myrmelachista_sp1_M_PA_001"	0	0	0	0	0	0	4.04511278195489	0	0	0	1.21804511278196	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0
"Azteca_sp7_M_PA_001"	2.59338565610306	0	0	0	0	0	0	1.56563652572148	0.673123983988533	0	0	0	0.148193466063032	0.134624796797707	0.074096733031516	0.074096733031516	3.5401772448391	0	0	0	0	0	0	1.19666486042406
"Azteca_sp9_M_PA_001"	1.33798877798948	0	0	0	0	0	0	0.80774878078624	2.63708944396861	0	0	0	0.0764565015993987	0.327417888793721	0.0382282507996993	0.0382282507996993	1.82646087154119	0	0	0	0	0	0	2.91038123372197
"Camponotus_balzani"	0	0	3.375	0	0	0	0	0	0	1.88815789473684	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0
"Azteca_sp12_M_PA_001"	0	0	0	0	0	0	3.04511278195489	0	0	0	2.21804511278196	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0
"Azteca_sp11_M_PA_001"	0	0	0	0	0	3.65413533834586	0	0	0	0	0	1.60902255639098	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0
"Crematogaster_limata"	3.22108409515985	0	0	0	0	0	0	0.444580398189096	0.191141253998497	0	0	0	1.18406194829485	0.0382282507996993	0.0920309741474243	0.0920309741474243	4.39703543148805	0	0	0	0	0	0	0.339806673775105
"Azteca_sp10_M_PA_001"	1.33798877798948	0	0	0	0	0	0	0.80774878078624	1.63708944396861	0	0	0	0.0764565015993987	1.32741788879372	0.0382282507996993	0.0382282507996993	1.82646087154119	0	0	0	0	0	0	2.91038123372197
"Azteca_sp13_M_PA_001"	3.22108409515985	0	0	0	0	0	0	0.444580398189096	0.191141253998497	0	0	0	0.184061948294849	0.0382282507996993	1.09203097414742	0.0920309741474243	4.39703543148805	0	0	0	0	0	0	0.339806673775105
"Gnamptogenys_pleurodon"	3.22108409515985	0	0	0	0	0	0	0.444580398189096	0.191141253998497	0	0	0	0.184061948294849	0.0382282507996993	0.0920309741474243	1.09203097414742	4.39703543148805	0	0	0	0	0	0	0.339806673775105
"Cordia_nodosa"	3.57898232795539	0	0	0	0	0	0	0.493978220210107	0.212379171109441	0	0	0	0.204513275883165	0.0424758342218882	0.102256637941583	0.102256637941583	4.88559492387561	0	0	0	0	0	0	0.377562970861228
"Triplaris_americana"	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0
"Cecropia_sp1_M_PA_001"	0	0	3.75	0	0	0	0	0	0	0.986842105263158	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0
"Clidemia_heterophylla"	0	0	0	2.33827305336244	2.39856905190072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.46160133922066	0	0	1.80155655551619	0
"Pleurothyrium_sp1_M_PA_001"	0	0	0	0	0	0	3.38345864661654	0	0	0	1.35338345864662	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0
"Triplaris_poeppigiana"	0	0	0	0	0	4.06015037593985	0	0	0	0	0	0.676691729323308	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0
"Maieta_guianensis"	0	0	0	2.40953196072586	2.3273101445373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.45666803024934	0	0	2.8064898644875	0
"Tococa_sp1_M_PA_001"	1.48665419776609	0	0	0	0	0	0	0.897498645318044	1.81898827107623	0	0	0	0.0849516684437763	0.363797654215246	0.0424758342218882	0.0424758342218882	2.0294009683791	0	0	0	0	0	0	3.23375692635774
