"Pheidole_minutula"	"Allomerus_octoarticulatus"	"Azteca_sp2_M_PA_001"	"Pseudomyrmex_concolor"	"Allomerus_sp1_M_PA_001"	"Pseudomyrmex_nigrescens"	"Crematogaster_sp3_M_PA_001"	"Camponotus_balzanii"	"Azteca_isthmica"	"Crematogaster_sp4_M_PA_001"	"Allomerus_prancei"	"Crematogaster_sp2_M_PA_001"	"Allomerus_auripunctata"	"Solenops_sp1_M_PA_001"	"Azteca_schummani"	"Azteca_sp1_M_PA_001"	"Azteca_sp6_M_PA_001"	"Crematogaster_sp1_M_PA_001"	"Azteca_polymorpha"	"Crematogaster_sp5_M_PA_001"	"Azteca_alfari"	"Azteca_sp3_M_PA_001"	"Azteca_sp4_M_PA_001"	"Azteca_sp5_M_PA_001"	"Maieta_guianensis"	"Hirtella_physophora"	"Tachigali_myrmecophila"	"Cordia_nodosa"	"Maieta_poeppiggi"	"Duroia_saccifera"	"Tachigali_polyphylla"	"Tococa_bullifera"	"Pourouma_heterophylla"	"Cecropia_purpurascens"	"Amaioua_guianensis"	"Cecropia_ficifolia"	"Hirtella_myrmecophila"	"Cecropia_concolor"	"Cecropia_distachya"
"Pheidole_minutula"	4.27979737636174	0.100324540536545	0.334642746612633	0.00689735448194651	0	0.00493167963373548	0.296660890231705	0	0	0.114330287036972	0.00496000279587262	0.042141433279038	0.0150939667911327	0.00402958001305284	0.000567694379799639	0.0194802151801112	0	0.0140403884556034	0.00047115988870988	0.00672898500439201	0	0.00649340506003707	0.0113306090494634	0.00023557994435494	3.06931178556657	0.0870756046386527	0.0102084642553807	0.259736202401483	0.952159524605415	0.036289920446008	0.00461270049228749	0.314739140262872	0	0	0	0	0.00270876259448672	0	0
"Allomerus_octoarticulatus"	0.122395939454585	4.46823696928705	0.123810505555983	0.00414497248418476	0	0.00296369810137395	0.0608575286719692	0	0	0.0104967839685329	0.174837762941051	0.0168241547016209	0.0753548172842704	0.138677847755692	0.000341156539054923	0.0117066559532217	0	0.0415796272932091	0.000283144034349074	0.00404379066824842	0	0.00390221865107389	0.00255874937419962	0.000141572017174537	0.113957506127481	3.06937406052068	0.00613478741089661	0.156088746042955	0.0334285729888474	1.16336765524767	0.0027720072483387	0.0710763715055451	0	0	0	0	0.120642398170751	0	0
"Azteca_sp2_M_PA_001"	1.10341662396598	0.334622987989145	2.55241725752033	0.0506296125119347	0	0.0362006954322236	0.322331809038519	0	0	0.132334246805281	0.0142830122240549	0.214026146430873	0.10470144647324	0.0132560843064418	0.00416712618579921	0.142993338793833	0	0.100015169501231	0.00345852060510821	0.0493937065671651	0	0.047664446264611	0.0355164038185198	0.00172926030255411	1.00810595940389	0.250746214600075	0.074934613110678	1.90657785058444	0.305600418959667	0.161416206813639	0.0338592483784042	0.986566772736661	0	0	0	0	0.00903482067570694	0	0
"Pseudomyrmex_concolor"	0.024749330788161	0.0121910955417199	0.0550969312629878	3.21032577456598	0	1.47525312398384	0.0073738016429373	0	0	0.00301751810558417	0.000505557648574689	0.0073449714477009	0.00417052722285726	0.000481743657293348	0.19810062988056	0.00572056362984028	0	0.00399211815470872	0.125104147104301	0.0644589280954308	0	0.00190685454328009	0.000812203908930311	0.0625520735521507	0.0225634894751538	0.00887534538608898	2.71058985392653	0.0762741817312037	0.00688481634125316	0.00614520123622732	1.88261883789457	0.0225612196925086	0	0	0	0	0.000329159579626438	0	0
"Allomerus_sp1_M_PA_001"	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0
"Pseudomyrmex_nigrescens"	0.0261593441441621	0.0128856439190172	0.0582359013474901	2.18080896588916	0	2.49129460534785	0.00779390022620963	0	0	0.00318943147436439	0.00053436016621932	0.00776342752351768	0.00440812957001276	0.000509189449535835	0.189956400309785	0.00604647430560641	0	0.00421955622020852	0.132231552682176	0.06813126777629	0	0.00201549143520214	0.000858476608955633	0.0661157763410879	0.0238489715671858	0.00938098958473918	2.86501697478047	0.0806196574080855	0.00727705656293323	0.00649530427103503	1.7200086662319	0.0238465724709898	0	0	0	0	0.000347912385813465	0	0
"Crematogaster_sp3_M_PA_001"	2.26203928801675	0.380359554199808	0.745392308401574	0.0156693284912418	0	0.0112037315751763	1.3778443272588	0	0	0.148062508069409	0.0196624855046354	0.108573543055836	0.0366026908125655	0.0153471957460352	0.00128968139059629	0.0442549228890863	0	0.0330529863693115	0.00107037547329429	0.0152868286996759	0	0.0147516409630288	0.0321593100833751	0.000535187736647147	2.13069581439959	0.345185856636932	0.023191468588043	0.590065638521151	0.611372774154476	0.122267597489859	0.0104790785270714	0.893314168982642	0	0	0	0	0.0102697079633948	0	0
"Camponotus_balzanii"	0	0	0	0	0	0	0	3.80039420413382	1.20818239931813	0	0	0	0	0	0	0	0	0	0	0	0.254581291284892	0	0	0	0	0	0	0	0	0	0	0	0	3.96015341998721	0	0.466013211165566	0	0.155337737055189	0.155337737055189
"Azteca_isthmica"	0	0	0	0	0	0	0	1.89857234178564	3.19198806733433	0	0	0	0	0	0	0	0	0	0	0	0.172597485616876	0	0	0	0	0	0	0	0	0	0	0	0	2.68484977626252	0	1.23119539740038	0	0.410398465800128	0.410398465800128
"Crematogaster_sp4_M_PA_001"	2.32471583641843	0.174946399475548	0.816061188632568	0.0170992692649769	0	0.0122261539850635	0.394833354851758	0	0	1.19639447603489	0.00823424176809962	0.120679615914456	0.0363005474315724	0.0069929827354856	0.00140737424556272	0.0482935081234811	0	0.0342481097569466	0.00116805506009504	0.0166818635712079	0	0.0160978360411604	0.0361930538954874	0.000584027530047518	1.79007341168023	0.144556688817749	0.0253078596353925	0.643913441646415	1.0407740959814	0.0706950754593339	0.0114353710488222	1.00536260820798	0	0	0	0	0.00472355278583981	0	0
