"Microtus_oeconomus"	"Sorex_arcticus"	"Clethrionomys_rutilus"	"Sorex_caecutiens"	"Sorex_roboratus"	"Neomys_fodiens"	"Lemmus_sibiricus"	"Clethrionomys_rufocanus"	"Arvicola_terrestris"	"Microtus_middendorffi"	"Sorex_minutus"	"Corrodopsylla_birulai"	"Peromyscopsylla_bidentata"	"Megabothris_rectangulatus"	"Amphipsylla_sibirica"	"Amalaraeus_penicilliger"	"Catallagia_dacenkoi"	"Megabothris_calcarifer"	"Catallagia_ioffi"	"Rhadinopsylla_integella"	"Amphalius_runatus"
"Microtus_oeconomus"	2.59283312713338	0.848511159759903	0.596536448994841	0.390312662525396	0.29367080758808	0.173627761181514	0.125579368018812	0.167992765517646	0.0514256824415004	0.0195937121457935	0.00307439942998209	1.82243566210605	1.0077197787785	0.819155048902466	0.585634285246493	0.303409594674735	0.0814702546587047	0.0826701636490873	0.0170172378941909	0.00878759788657663	0.00854248146635765
"Sorex_arcticus"	1.08007695435573	2.13957782599811	0.475370858321295	0.560557393451358	0.437048786798082	0.264147882435137	0.11680282812898	0.130317736131052	0.0380404642964241	0.0163982967578588	0.00481886806281685	2.85651790168088	0.52124101502391	0.479209136581925	0.490126869762669	0.252117016261588	0.0527783868928398	0.0408785661626467	0.0133083181486246	0.016070732547858	0.014594162200221
"Clethrionomys_rutilus"	1.20248199024512	0.752795491726468	1.95032152781508	0.35754261080192	0.266880068055381	0.154292518945193	0.339336656852405	0.155304868224679	0.0538314175194958	0.0276699416780897	0.00270080287301366	1.60097592528088	0.555536364193393	0.668273714857239	0.827023812378458	0.905961812620552	0.0498981633546247	0.0858573634828142	0.0276463909569425	0.00794138488836138	0.00772717324989755
"Sorex_caecutiens"	1.03061897253607	1.16280913848174	0.468351271174416	1.57702875208464	0.451086122601865	0.272020489027468	0.116706652236907	0.126111275931124	0.0370707363024897	0.016384651493287	0.00496983286683464	2.9460064827292	0.466551277990496	0.447675055328058	0.489719027966024	0.249530256524016	0.0554791979609398	0.0394254075625153	0.012949649800095	0.0202647506560656	0.00924099874574905
"Sorex_roboratus"	1.00890132284292	1.17956177942278	0.454843986954601	0.586896998223932	1.45976868887786	0.27724914042178	0.115262773713679	0.124329146934907	0.0356842495892509	0.0155869097781429	0.00507289797699139	3.00710118969434	0.451483131565171	0.427968949214231	0.465875414480049	0.243916234026843	0.0572873340125852	0.038491331695835	0.0127079785757205	0.022721647725269	0.00928889427311641
"Neomys_fodiens"	0.999532787342229	1.19461474758954	0.44063719374438	0.593053678780607	0.464579640706766	1.28300994314626	0.113761338784408	0.119861846027062	0.0345994433669909	0.0143222009985152	0.00518507425008559	3.07359679157851	0.447614084015352	0.429898122160203	0.428074674288956	0.238001600571962	0.0470821934994013	0.0378504720869123	0.0122695608577732	0.0131905542467738	0.00926405195731356
"Lemmus_sibiricus"	0.901631642292367	0.658820446300538	1.20864854182261	0.317337189228443	0.240886246188138	0.141882119158082	1.61111313196385	0.123879129529813	0.0377325546225596	0.0187008952972204	0.00252599833322138	1.49735567863734	0.413817774999299	0.470161252502751	0.558948981661364	1.66745224589318	0.0393052839183069	0.0571732098154651	0.0190964209991339	0.00705382086902494	0.00647743596728899
"Clethrionomys_rufocanus"	1.41246548902336	0.860782941286683	0.647784779305569	0.401564852307	0.304279228024904	0.175061380381631	0.145068980633597	1.23887678538339	0.0509740026522966	0.0231978570896837	0.00310159864872192	1.83855875454794	0.783037424599516	0.70285073027447	0.693358173013878	0.357407362690353	0.170896960293269	0.0542003502027365	0.0935428655957494	0.00901795639729929	0.0339715276479466
"Arvicola_terrestris"	1.42873961217908	0.830274481600213	0.741937363203485	0.390048616747935	0.288576974939159	0.166979922336347	0.146008580930774	0.168435834851067	1.06848849079065	0.0307803000155702	0.00288771714256677	1.71177455062152	0.600401207850675	0.991855915592773	0.919988967132043	0.363315139355338	0.0568073019470676	0.057286035357729	0.0182871496358713	0.00867094827559545	0.00845488949454257
"Microtus_middendorffi"	1.2520382061162	0.823194497244512	0.877137151195442	0.396508566137546	0.289916521873458	0.158976431083519	0.166437968145261	0.176303713881596	0.0707946900358115	1.04912666048172	0.0027234885417745	1.61442348559633	0.543668006430858	0.539632380350843	1.4683412966203	0.422876369066073	0.0539483500847369	0.0566447611864661	0.0199977270815134	0.00870657444527198	0.00860315440076494
"Sorex_minutus"	0.982270617879276	1.20953588376703	0.428077255372666	0.601349776886992	0.471779511860199	0.28777162087975	0.112406925828352	0.117860748651433	0.0332087471395179	0.0136174427088725	1.00527936376276	3.12948951936708	0.441458657296464	0.407673461448967	0.4070102320763	0.232772127152505	0.0466891096956815	0.0370562483114164	0.0120204002301176	0.0133754390159785	0.00929691066865249
"Corrodopsylla_birulai"	1.09141179764364	1.34392875974114	0.475641394858517	0.668166418763324	0.524199457622443	0.319746245421944	0.124896584253724	0.130956387390481	0.0368986079327976	0.0151304918987472	0.00586595973639564	3.47721057707453	0.490509619218294	0.452970512721074	0.452233591195889	0.258635696836117	0.0518767885507572	0.0411736092349071	0.0133560002556863	0.0148615989066428	0.0103299007429472
"Peromyscopsylla_bidentata"	2.11125553652282	0.85791144112132	0.577393532620675	0.370181669749836	0.275330696626628	0.162902174838374	0.120753383524386	0.195117522195289	0.0452761566575919	0.0178251805387167	0.0028948108675178	1.71597955313416	1.84190954468809	0.699478646553817	0.532774840546086	0.292693120450077	0.0738934948098657	0.0699176645703352	0.0187814763152772	0.00849408447292862	0.00923546919620881
"Megabothris_rectangulatus"	1.85617048315133	0.853060236043001	0.751215487977818	0.384175047480106	0.282277392034918	0.169215218297101	0.148384225080655	0.189420764187446	0.0808960498533113	0.0191359000124412	0.00289130114502813	1.71389906763612	0.756528323400406	1.67687023557853	0.571950789260743	0.369892955576469	0.0680511337923052	0.0683857277515429	0.0198572091262294	0.00864799877313318	0.00907445384136612
"Amphipsylla_sibirica"	1.39115356235133	0.914660552493903	0.974596834661603	0.440565073486163	0.322129468748286	0.176640478981688	0.184931075716957	0.195893015423995	0.0786607667064573	0.0545851783130225	0.00302609837974944	1.79380387288481	0.604075562700953	0.599591533723158	1.63149032957812	0.469862632295636	0.0599426112052632	0.0629386235405179	0.0222196967572371	0.00967397160585775	0.00955906044529438
