"Rhombomys_opimus"	"Meriones_libycus"	"Meriones_tamariscinus"	"Meriones_meridianus"	"Cricetulus_migratorius"	"Spermophilus_erythrogenys"	"Apodemus_uralensis"	"Allactaga_elater"	"Xenopsylla_gerbilli"	"Paradoxopsyllus_repandus"	"Echidnophaga_oschanini"	"Coptopsylla_lamellifer"	"Nosopsyllus_laeviceps"	"Xenopsylla_conformis"	"Ctenophthalmus_dolichus"	"Rhadinopsylla_cedestis"	"Xenopsylla_hirtipes"	"Stenoponia_conspecta"	"Stenoponia_vlasovi"	"Paradoxopsyllus_teretifrons"	"Neopsylla_teratura"	"Nosopsyllus_tersus"	"Pectinoctenus_lauta"	"Neopsylla_setosa"	"Neopsylla_mana"	"Mesopsylla_hebes"
"Rhombomys_opimus"	5.23246834055366	0.023646608785896	0.00466818003330908	0.00104631621436238	0.000939464834490453	0	0.000388984315125265	0	4.02792254598712	0.227768047059918	0.184630071781057	0.123027996222146	0.0843424511606488	0.0182434621991389	0.0240312670753331	0.0111843632929223	0.00876612258093928	0.00816156240294334	0.00785928231394525	0.00517512761742842	0.00232734021074565	0.00211596062298542	0.000844190293448745	0	0.000442314442442859	0
"Meriones_libycus"	3.24573143855043	1.66487460637904	0.287326939170308	0.0644008656761034	0.000582755661431407	0	0.000241289299529995	0	2.64902585379321	0.141285883243659	0.173411158444735	0.076315002627962	0.516847614854521	1.12288688871155	0.0149067388425627	0.0069377275116329	0.00543767831992861	0.00506266602200241	0.00487515987303924	0.0162955003190458	0.00144366306656342	0.00131254304274144	0.000523656293212427	0	0.00027437029679376	0
"Meriones_tamariscinus"	2.50777850823869	1.12453819295965	1.51481494718347	0.11538955712733	0.000450259718328634	0	0.000186429509368013	0	2.03198528743662	0.109162975503053	0.12821042130574	0.0589639429724522	0.353787784420542	2.01192048324575	0.0115175269442505	0.0053603584520411	0.00420136202997825	0.00391161292446245	0.00376673837170448	0.011307473060273	0.00111543030592901	0.00101412186930513	0.000404597244930578	0	0.000211989176130284	0
"Meriones_meridianus"	2.50777850823869	1.12453819295965	0.51481494718347	1.11538955712733	0.000450259718328634	0	0.000186429509368013	0	2.03198528743662	0.109162975503053	0.12821042130574	0.0589639429724522	0.353787784420542	2.01192048324575	0.0115175269442505	0.0053603584520411	0.00420136202997825	0.00391161292446245	0.00376673837170448	0.011307473060273	0.00111543030592901	0.00101412186930513	0.000404597244930578	0	0.000211989176130284	0
"Cricetulus_migratorius"	2.43932044275437	0.0110237945954103	0.00217625530525498	0.000487781361522668	2.31859368287866	0	0.491555937841625	0	1.87777415337748	0.106183012918279	0.0860725529769923	0.05735432814564	0.0393195432667277	0.00850490579065164	0.0112031181512983	0.00521402983142185	0.00408667203003337	0.00380483257968622	0.00366391285451259	0.00241258881457849	0.522670016723914	0.000986438076214995	1.83049094237757	0	0.177101057348159	0
"Spermophilus_erythrogenys"	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0
"Apodemus_uralensis"	2.42399465813491	0.0109545341986633	0.00216258230866924	0.000484716724356899	1.1797342508199	0	1.64582715255035	0	1.86597645688207	0.105515885320893	0.0855317755598674	0.056993981852161	0.0390725060833878	0.00845147109135105	0.0111327310988865	0.00518127107746921	0.00406099624990833	0.00378092754301808	0.0036408931895729	0.00239743097967518	0.266420446908594	0.00098024047411582	1.68506728168062	0	0.59263780927157	0
"Allactaga_elater"	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316
"Xenopsylla_gerbilli"	4.70767885846681	0.0225563175217022	0.00442083899138467	0.00099087770496553	0.000845241375915481	0	0.000349971202386018	0	4.62405961501163	0.204924091268326	0.166158353417008	0.110688925210629	0.076244034728648	0.0172768420352964	0.0216210554158354	0.0100626295646026	0.00788692587495901	0.0073429999525479	0.0070710369913422	0.00466624952746334	0.00209392003801931	0.00190374072843847	0.000759522378031451	0	0.000397952594064286	0
"Paradoxopsyllus_repandus"	4.7092215064983	0.0212819479073064	0.00420136202997817	0.000941684592926142	0.000845518351041408	0	0.000350085883612739	0	3.62513029138841	1.20499124235393	0.166167064602952	0.110725196599931	0.0759082060445839	0.016419115979225	0.0216281403677998	0.0100659269636301	0.00788951032284535	0.007345406162649	0.00707335408255072	0.00465761485568557	0.00209460618967108	0.00190436456068688	0.00075977126410387	0	0.000398082998198573	0
