"Phoenicophorium_borsigianum"	"Nephrosperma_vanhoutteanum"	"Dillenia_ferruginea"	"Erythroxylum_sechellarum"	"Psychotria_pervillei"	"Paragenipa_wrightii"	"Northea_hornei"	"Lasioglossum_mahense"	"Apis_mellifera"	"Unidentified_sp6_M_PL_096"	"Forcipomyia_sp1_M_PL_096"	"Unidentified_sp4_M_PL_096"	"Unidentified_sp5_M_PL_096"	"Rhiparida_seychellensis"	"Scaptodrosophila_sp1_M_PL_096"	"Lygistorrhina_sp1_M_PL_096"	"Nectarinia_dussumieri"	"Neophyllomyza_approximatonervis"	"Unidentified_sp7_M_PL_096"	"Phelsuma_sp1_M_PL_096"	"Hemipyrellia_germana"	"Cratopus_aurostriatus"	"Ornidia_obesa"	"Unidentified_sp1_M_PL_096"	"Unidentified_sp2_M_PL_096"	"Unidentified_sp3_M_PL_096"
"Phoenicophorium_borsigianum"	3.62484371568069	0.579637103925667	0.340605149965899	0.334831366716394	0.207652492604373	0.138582651746147	0.0370054140976728	1.26876897264043	0.450349808443199	0.844718044457732	0.728205210739424	0.213003596545659	0.349538501154924	0.107303558454243	0.174769250577462	0.113588819205666	0.0538325208552499	0.0998437748449933	0.116512833718308	0.0293761776496382	0.058256416859154	0.029128208429577	0.0122617853987724	0.029128208429577	0.029128208429577	0.029128208429577
"Nephrosperma_vanhoutteanum"	1.58339891804085	2.00694966658058	0.532177443875517	0.492792584980514	0.334842720682963	0.228850045057495	0.0841465155189312	2.19662042788852	0.777390333153232	0.368988497864876	0.318093532642135	0.284119376245741	0.152684895668225	0.102081034529445	0.0763424478341123	0.0767376001329224	0.0972054464449932	0.0582617871580339	0.0508949652227415	0.0819209246645561	0.0254474826113708	0.0127237413056854	0.0191583879795186	0.0127237413056854	0.0127237413056854	0.0127237413056854
"Dillenia_ferruginea"	1.52591107184723	0.872771007955848	1.73614614321932	0.462341881177253	0.353182239848226	0.226092593707853	0.0867129569811212	1.69002219140653	1.07968253350941	0.355591776564399	0.306544634969309	0.291612997429773	0.147141424785268	0.274528615421126	0.0735707123926342	0.0729686338536673	0.143903960579187	0.0579762905872107	0.0490471415950894	0.0581792186210232	0.0245235707975447	0.0122617853987724	0.0625012611558953	0.0122617853987724	0.0122617853987724	0.0122617853987724
"Erythroxylum_sechellarum"	1.63048317705375	0.878456347139177	0.502545523018754	1.65776780357225	0.291600936591763	0.248289911403675	0.0540141959574773	1.84933374227266	0.72242271657006	0.37996081179556	0.32755242396169	0.627224604285344	0.157225163501611	0.0985707492316357	0.0786125817508056	0.169044640720188	0.0773901394005515	0.0568023470709086	0.0524083878338704	0.043589576288798	0.0262041939169352	0.0131020969584676	0.0180916388286751	0.0131020969584676	0.0131020969584676	0.0131020969584676
"Psychotria_pervillei"	1.55047194477932	0.915236769866764	0.588637066413709	0.44712143610737	1.40167687421281	0.218754093336972	0.141259710019898	1.86514429803008	0.943166505706804	0.361315337131609	0.311478738906559	0.245543983109097	0.149509794675148	0.109682036676099	0.0747548973375742	0.0723695610597986	0.252959028805385	0.121478061121556	0.0498365982250494	0.0836574327499318	0.0249182991125247	0.0124591495562624	0.0211909343908935	0.0124591495562624	0.0124591495562624	0.0124591495562624
"Paragenipa_wrightii"	1.55212569955685	0.938285184735729	0.565231484269631	0.571066796228453	0.328131140005457	1.24870743550855	0.0596101544321741	1.93675226601759	0.908053137796394	0.361700721057444	0.311810966428831	0.469425789405373	0.149669263885839	0.106338211049133	0.0748346319429194	0.0821095000241212	0.08654863972884	0.0571051843717872	0.0498897546286129	0.0474210735496529	0.0249448773143065	0.0124724386571532	0.0203483334337067	0.0124724386571532	0.0124724386571532	0.0124724386571532
"Northea_hornei"	1.03615159473484	0.862501784069044	0.541955981132008	0.310581626755494	0.529723912574617	0.149025386080435	1.8332176093904	1.29505093582703	0.607737595271921	0.241460326987315	0.20815545429941	0.179145939874402	0.0999146180637167	0.0946940976269619	0.0499573090318584	0.049285042696794	0.908025209055389	0.0567620892704062	0.0333048726879056	0.843880890217442	0.0166524363439528	0.00832621817197639	0.0195104153207523	0.00832621817197639	0.00832621817197639	0.00832621817197639
"Lasioglossum_mahense"	1.82182211456061	1.15463381465935	0.541673779296966	0.545316359900911	0.358681595775015	0.248301572566357	0.0664128685039501	2.67220219699451	0.674502386926545	0.424549617768143	0.365991049800123	0.289527173478373	0.175675703904059	0.107280308202773	0.0878378519520295	0.086595858489999	0.0924278383744702	0.0654398217225157	0.0585585679680196	0.0552314111485682	0.0292792839840098	0.0146396419920049	0.0195002560546908	0.0146396419920049	0.0146396419920049	0.0146396419920049
"Apis_mellifera"	1.5762243295512	0.996031364352579	0.843501979304226	0.51924132753473	0.442109299550065	0.283766605561373	0.0759671994089901	1.64409956813345	1.7952779608086	0.367316562511484	0.316652209061624	0.291185451329127	0.15199306034958	0.146796461744739	0.0759965301747898	0.0786345428944607	0.117604426935005	0.0645248230603988	0.0506643534498599	0.0560493428539802	0.02533217672493	0.012666088362465	0.0303660712549521	0.012666088362465	0.012666088362465	0.012666088362465
"Unidentified_sp6_M_PL_096"	3.26235934411262	0.521673393533101	0.306544634969309	0.301348230044755	0.186887243343935	0.124724386571532	0.0333048726879056	1.14189207537638	0.405314827598879	1.76024624001196	0.655384689665482	0.191703236891093	0.314584651039431	0.0965732026088191	0.157292325519716	0.102229937285099	0.0484492687697249	0.089859397360494	0.104861550346477	0.0264385598846744	0.0524307751732386	0.0262153875866193	0.0110356068588951	0.0262153875866193	0.0262153875866193	0.0262153875866193
"Forcipomyia_sp1_M_PL_096"	3.26235934411262	0.5216733935331	0.306544634969309	0.301348230044755	0.186887243343935	0.124724386571532	0.0333048726879056	1.14189207537638	0.405314827598879	0.760246240011959	1.65538468966548	0.191703236891093	0.314584651039431	0.096573202608819	0.157292325519716	0.102229937285099	0.0484492687697249	0.089859397360494	0.104861550346477	0.0264385598846744	0.0524307751732386	0.0262153875866193	0.0110356068588951	0.0262153875866193	0.0262153875866193	0.0262153875866193
"Unidentified_sp4_M_PL_096"	1.70402877236527	0.832063887576812	0.520737495410309	1.03044042132592	0.263082839045461	0.335304135289552	0.0511845542498292	1.61307996652236	0.665566745895148	0.39709956213155	0.342327208734095	1.44732494156245	0.164317060192365	0.102372376037812	0.0821585300961827	0.121722428456207	0.0733495399326496	0.056864235390819	0.0547723533974551	0.0412978664567922	0.0273861766987276	0.0136930883493638	0.0187465498347711	0.0136930883493638	0.0136930883493638	0.0136930883493638
"Unidentified_sp5_M_PL_096"	3.26235934411262	0.5216733935331	0.306544634969309	0.301348230044755	0.186887243343935	0.124724386571532	0.0333048726879056	1.14189207537638	0.405314827598879	0.760246240011959	0.655384689665482	0.191703236891093	1.31458465103943	0.0965732026088191	0.157292325519716	0.102229937285099	0.0484492687697249	0.089859397360494	0.104861550346477	0.0264385598846744	0.0524307751732386	0.0262153875866193	0.0110356068588951	0.0262153875866193	0.0262153875866193	0.0262153875866193
"Rhiparida_seychellensis"	2.00299975781254	0.697553735951209	1.14386923092136	0.37785453872127	0.274205091690247	0.177230351748556	0.0631293984179746	1.39464400663605	0.782914462638605	0.466770479275959	0.402388344203413	0.238868877421562	0.193146405217638	1.19690823678895	0.0965732026088191	0.0778578260739002	0.102492132604087	0.0647389068058244	0.064382135072546	0.0437203844675053	0.032191067536273	0.0160955337681365	0.0411792923131689	0.0160955337681365	0.0160955337681365	0.0160955337681365
"Scaptodrosophila_sp1_M_PL_096"	3.26235934411262	0.521673393533101	0.306544634969309	0.301348230044755	0.186887243343935	0.124724386571532	0.0333048726879056	1.14189207537638	0.405314827598879	0.760246240011959	0.655384689665482	0.191703236891093	0.314584651039431	0.0965732026088191	1.15729232551972	0.102229937285099	0.0484492687697249	0.089859397360494	0.104861550346477	0.0264385598846744	0.0524307751732386	0.0262153875866193	0.0110356068588951	0.0262153875866193	0.0262153875866193	0.0262153875866193
"Lygistorrhina_sp1_M_PL_096"	2.54438955020692	0.629248321089964	0.364843169268337	0.777605347312863	0.217108683179396	0.164219000048243	0.0394280341574352	1.35089539244399	0.503261074524549	0.592933636253577	0.511149686425497	0.34082279967738	0.245351849484239	0.0934293912886803	0.122675924742119	1.12219403303033	0.0569300114460335	0.0743644833618235	0.0817839498280796	0.0315553833947719	0.0408919749140398	0.0204459874570199	0.0131343540936601	0.0204459874570199	0.0204459874570199	0.0204459874570199
"Nectarinia_dussumieri"	1.2058484671576	0.797084660848944	0.719519802895935	0.355994641242537	0.758877086416156	0.17309727945768	0.726420167244311	1.44187427864174	0.752668332384035	0.281005758864404	0.242246343848624	0.205378711811419	0.11627824504734	0.122990559124905	0.0581391225236699	0.0569300114460335	1.44385703853413	0.0746021864468043	0.0387594150157799	0.344386055620039	0.01937970750789	0.00968985375394498	0.0259027129042537	0.00968985375394498	0.00968985375394498	0.00968985375394498
