"Sorex_araneus"	"Apodemus_uralensis"	"Clethrionomys_glareolus"	"Microtus_agrestis"	"Clethrionomys_rutilus"	"Microtus_arvalis"	"Sorex_caecutiens"	"Arvicola_terrestris"	"Sicista_betulina"	"Hystrichopsylla_talpae"	"Amalaraeus_penicilliger"	"Rhadinopsylla_integella"	"Megabothris_walkeri"	"Amphipsylla_sibirica"	"Corrodopsylla_birulai"	"Ctenophthalmus_assimilis"	"Ceratophyllus_sciurorum"
"Sorex_araneus"	4.58011994350575	0.173184371822194	0.103358396601054	0.158785047557221	0.13106377053693	0.0432766019678073	0.0196491425503523	0.0402563911727439	0.013464229022789	3.31790578044727	0.255667536302472	0.792346672309996	0.107926946641641	0.0866892474655012	0.0910417858934204	0.0719406986590519	0.0133234375438061
"Apodemus_uralensis"	1.17918182578935	2.28159223650354	0.7556109332207	0.400188556884555	0.245424566589514	0.101074658924013	0.14962108556323	0.045496395983802	0.104967635278143	0.91957286665563	2.48931437393347	0.359746646328661	0.344168441466468	0.233636606519451	0.167702395612446	0.138673591811261	0.0840271829357738
"Clethrionomys_glareolus"	1.11290552619274	1.19491961532576	1.76085754437991	0.415463809387682	0.324147781823516	0.121791033365305	0.158771991833881	0.0709771964944502	0.103323395933595	0.891910541548232	2.31983960348066	0.294625707271725	0.353007244284642	0.375792207521392	0.150782266156066	0.24176494265221	0.109119592348228
"Microtus_agrestis"	1.7931091955852	0.663727362637798	0.435730336674885	1.54603967934003	0.432546608291285	0.169910946457375	0.0866519972402569	0.0701530834143777	0.0652886850956305	1.46809261826592	1.13367790732577	0.482440245957194	0.691225241230697	0.389189541819428	0.332489299225084	0.182075091239103	0.0576521601999667
"Clethrionomys_rutilus"	1.83886441692723	0.505723349335968	0.422374382376097	0.537406392119475	1.54177770558896	0.172647155582044	0.0818864634908003	0.109647432252222	0.0528305970640458	1.56894231427614	0.836596184775912	0.423413091035131	0.61607841800012	0.65296204794261	0.29497867483934	0.289591915068673	0.0542794593252327
"Microtus_arvalis"	1.6697555592579	0.572756400569405	0.436417869559009	0.580529067062699	0.474779677850622	1.24888780254913	0.116916084359749	0.0852362041989096	0.0778792293294248	1.40689212804732	0.937188417630725	0.373378300975427	0.887552308436293	0.305229509810452	0.26605390333245	0.410989914629573	0.149557622400921
"Sorex_caecutiens"	1.01083922231257	1.13047042425552	0.75857729431743	0.394747987427837	0.300250366132935	0.155888112479665	1.3025588010949	0.061333478969699	0.148492207746289	0.814230288009611	2.19383081620991	0.271680505403505	0.340008973559149	0.371931679987793	0.144851380288297	0.159698182695111	0.440610279109778
"Arvicola_terrestris"	2.32983863912255	0.386719365862317	0.38150243115767	0.359534552498685	0.452295658040414	0.127854306298364	0.0690001638409113	1.11930663096392	0.0371061469520101	2.12698766564015	0.674038403009924	0.453858186453853	0.295614123531869	0.612075820323628	0.147056879805723	0.383371047724934	0.043839978773078
"Sicista_betulina"	1.03898967292522	1.18963319981895	0.740484337524097	0.446139348153476	0.290568283852252	0.15575845865885	0.222738311619434	0.0494748626026802	1.12937141958189	0.832683359117231	2.2844806339555	0.283766936177849	0.502733919776648	0.26052573277755	0.153521824338788	0.155722098907028	0.263407600212566
"Hystrichopsylla_talpae"	4.05327276081026	0.164989326998899	0.101193016587267	0.158817407253041	0.136609752958081	0.0445453971941104	0.0193352838841332	0.0448968372694491	0.0131823223079245	3.94330212796127	0.246472659372945	0.703993538879116	0.109304882308611	0.0898160030864988	0.0864094615137331	0.0706223899432579	0.0132368316714181
