"Microtus_agrestis"	"Apodemus_sylvaticus"	"Sorex_araneus"	"Clethrionomys_glareolus"	"Neomys_fodiens"	"Sorex_minutus"	"Ctenophthalmus_nobilis"	"Megabothris_walkeri"	"Palaeopsylla_soricis"	"Amalaraeus_penicilliger"	"Ctenophthalmus_bisoctodentatus"	"Doratopsylla_dasycnema"	"Hystrichopsylla_talpae"
"Microtus_agrestis"	4.00751390110315	0.667220127745774	0.280709449057705	0.141835113608231	0.11058620214799	0.0552931010739951	3.2561492854686	0.884940238977422	0.277768101868812	0.166979745879298	0.0948628432574899	0.0280709449057705	0.0280709449057705
"Apodemus_sylvaticus"	3.00249057485598	1.70515768477939	0.231646054853825	0.145246133419088	0.119078297885706	0.059539148942853	3.50619432663468	0.753405696120117	0.232602982518954	0.125103773952333	0.0732061150663157	0.0231646054853825	0.0231646054853824
"Sorex_araneus"	1.68425669434623	0.308861406471766	2.93114844972009	0.261457350012051	0.0516226627911391	0.0258113313955695	1.52000062662798	0.374051416807514	1.86519721974144	0.0701773622644263	0.321185789877779	0.293114844972009	0.293114844972009
"Clethrionomys_glareolus"	2.55303204494817	0.580984533676353	0.784372050036153	1.19678176627456	0.0986583332010752	0.0493291666005376	2.90493981092055	0.575455516056594	0.872208293986529	0.106376335206174	0.120987739086085	0.0784372050036153	0.0784372050036153
"Neomys_fodiens"	2.98582745799573	0.714469787314236	0.232301982560126	0.147987499801613	1.12171411137676	0.0608570556883789	3.58380439053787	0.675632621131012	0.233541230443155	0.124409477416489	0.0729939892226084	0.0232301982560126	0.0232301982560126
"Sorex_minutus"	2.98582745799573	0.714469787314236	0.232301982560126	0.147987499801613	0.121714111376758	1.06085705568838	3.58380439053787	0.675632621131012	0.233541230443155	0.124409477416489	0.0729939892226084	0.0232301982560126	0.0232301982560126
"Ctenophthalmus_nobilis"	3.3175860644397	0.79385531923804	0.258113313955696	0.164430555335125	0.135237901529731	0.0676189507648655	3.98200487837541	0.750702912367791	0.25949025604795	0.138232752684988	0.0811044324695649	0.0258113313955696	0.0258113313955695
"Megabothris_walkeri"	3.53976095590969	0.669693952106771	0.249367611205009	0.127879003568132	0.100093721649039	0.0500468608245194	2.94720402633281	1.78767724555586	0.246980283725273	0.14749003982957	0.0839327770523293	0.024936761120501	0.0249367611205009
"Palaeopsylla_soricis"	1.87493468761448	0.348904473778431	2.09834687220912	0.327078110244948	0.0583853076107887	0.0291926538053944	1.71912294631767	0.416779228786399	2.3883804678592	0.0781222786506034	0.241083598681153	0.209834687220912	0.209834687220912
"Amalaraeus_penicilliger"	3.60676251099283	0.600498114971196	0.252638504151935	0.127651602247408	0.0995275819331911	0.0497637909665955	2.93053435692174	0.79644621507968	0.24999129168193	1.15028177129137	0.0853765589317409	0.0252638504151935	0.0252638504151935
"Ctenophthalmus_bisoctodentatus"	2.56129676795222	0.439236690397893	1.44533605445001	0.181481608629127	0.0729939892226081	0.0364969946113041	2.14926746044346	0.566546245103221	0.964334394724612	0.106720698664676	1.18722188491087	0.144533605445001	0.144533605445001
"Doratopsylla_dasycnema"	1.51583102491161	0.277975265824589	2.63803360474808	0.235311615010846	0.0464603965120252	0.0232301982560126	1.36800056396519	0.336646275126763	1.67867749776729	0.0631596260379837	0.289067210890001	1.26380336047481	0.263803360474808
"Hystrichopsylla_talpae"	1.51583102491161	0.277975265824589	2.63803360474808	0.235311615010846	0.0464603965120252	0.0232301982560126	1.36800056396519	0.336646275126763	1.67867749776729	0.0631596260379837	0.289067210890001	0.263803360474808	1.26380336047481
